Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"2013-W Proof $1 American Silver Eagle Box, OGP & COA",204404469442,"Apr 6, 2026",$102.41,$0.00,,,Fixed price,https://www.ebay.com/itm/204404469442
2013-W Silver Eagle 2 Coin Set Reverse Proof/Enhanced with Box/CoA,225036083746,"Feb 8, 2026",$256.98,$11.20,,,Fixed price,https://www.ebay.com/itm/225036083746
,,"Dec 16, 2025",$66.86,$0.00,,,Fixed price,
,,"Dec 26, 2025",$80.34,$0.00,,,Fixed price,
,,"Dec 24, 2025",$75.11,$0.00,,,Fixed price,
2013 W REVERSE PROOF & ENHANCED SILVER EAGLE 2 COIN WEST POINT SET WITH BOX/COA,384760377258,"Mar 27, 2026",$262.65,$0.00,,,Fixed price,https://www.ebay.com/itm/384760377258
,,"Oct 19, 2025",$57.33,$0.00,,,Fixed price,
(1) 2013 BU American silver eagle coin 1oz .999,227164143681,"Jan 10, 2026",$86.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227164143681
2013 $1 American Silver Eagle NGC MS69 Brown Label,314397294254,"Apr 3, 2026",$90.42,$0.00,,,Fixed price,https://www.ebay.com/itm/314397294254
,,"Dec 24, 2025",$73.34,$0.00,,,Fixed price,
,,"Nov 30, 2025",$59.71,$0.00,,,Fixed price,
2013-W Proof $1 American Silver Eagle NGC PF69UC Brown Label,314465215176,"Apr 5, 2026",$112.78,$0.00,,,Fixed price,https://www.ebay.com/itm/314465215176
2013-W American Silver Eagle Reverse Proof,135302999446,"Jan 25, 2026",$98.38,$0.00,,,Fixed price,https://www.ebay.com/itm/135302999446
2013 $1 American Silver Eagle NGC MS70 Brown Label,204327255469,"Oct 16, 2025",$65.72,$0.00,,,Fixed price,https://www.ebay.com/itm/204327255469
2013 $1 American Silver Eagle PCGS MS70 Gary Whitley Signature Label,314838185385,"Dec 28, 2025",$76.74,$0.00,,,Fixed price,https://www.ebay.com/itm/314838185385
(1) 2013 BU American silver eagle coin 1oz .999,326950895427,"Jan 13, 2026",$92.59,$0.00,,,Fixed price,https://www.ebay.com/itm/326950895427
2013 $1 American Silver Eagle 1 oz Brilliant Uncirculated,204267068412,"Apr 4, 2026",$79.54,$0.00,,,Fixed price,https://www.ebay.com/itm/204267068412
2013 (S) American Silver Eagle Struck SF Mint 1st Releases MS70 Silver Lbl NGC,126964098393,"Nov 21, 2025",$66.09,$0.00,,,Fixed price,https://www.ebay.com/itm/126964098393
2013 $1 1-oz American Silver Eagle NGC MS69 Brown Label,145653252214,"Apr 7, 2026",$101.53,$0.00,,,Fixed price,https://www.ebay.com/itm/145653252214
2013-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,146596053719,"Feb 28, 2026",$101.91,$0.00,,,Fixed price,https://www.ebay.com/itm/146596053719
2013-W American Eagle 1 oz Silver Proof Coin,187918302216,"Feb 28, 2026",$124.17,$0.00,,,Fixed price,https://www.ebay.com/itm/187918302216
,,"Dec 15, 2025",$62.50,$4.92,,,Fixed price,
"2013 (20) coin tube, roll of original BU Silver Eagles from just opened mint box",116988266392,"Jan 18, 2026","$2,014.12",$0.00,,,Fixed price,https://www.ebay.com/itm/116988266392
2011 W United States 1 oz Proof American .999 Silver Eagle w/OGP & COA Nice!,227189074071,"Mar 5, 2026",$104.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227189074071
2013-W PROOF SILVER EAGLE PCGS CERTIFIED PR70-DEEP CAMEO JOHN MERCANTI SIGNED #1,298072187419,"Mar 4, 2026",$126.35,$8.65,,,Fixed price,https://www.ebay.com/itm/298072187419
2013 American Silver Eagle MS70 PCGS Blue Label,127406883987,"Dec 3, 2025",$69.29,$0.00,,,Fixed price,https://www.ebay.com/itm/127406883987
2013 Silver American Eagle $1 - BU - Brilliant Uncirculated - In Capsule,134976557790,"Mar 13, 2026",$106.32,$0.00,,,Fixed price,https://www.ebay.com/itm/134976557790
2013-S SILVER AMERICAN EAGLE PCGS MS-69 FIRST STRIKE EDITION VERY NICE!!!,326951612971,"Jan 14, 2026",$99.02,$0.00,,,Fixed price,https://www.ebay.com/itm/326951612971
2013-W American Silver Eagle Enhanced Finish,365669778762,"Mar 12, 2026",$113.65,$0.00,,,Fixed price,https://www.ebay.com/itm/365669778762
"2013-W $1 1-oz Proof American Silver Eagle Box, OGP, &COA",387373404691,"Mar 17, 2026",$104.76,$0.00,,,Fixed price,https://www.ebay.com/itm/387373404691
2013-W Burnished Annual Set - American Silver Eagle MS69 NGC,125947709288,"Apr 3, 2026",$119.59,$0.00,,,Fixed price,https://www.ebay.com/itm/125947709288
2013 1 oz American Silver Eagle BU,141918878159,"Apr 7, 2026",$98.87,$0.00,,,Fixed price,https://www.ebay.com/itm/141918878159
"2013-W Proof $1 American Silver Eagle Box, OGP & COA",157655669168,"Feb 19, 2026",$107.26,$0.00,,,Fixed price,https://www.ebay.com/itm/157655669168
2013 American Silver Eagles 1 oz.,227175712431,"Jan 28, 2026",$91.18,$13.96,,,Fixed price,https://www.ebay.com/itm/227175712431
2013-W American Silver Eagle $1 – NGC MS70 – Early Release–Bullion Perfection 🦅,157414417847,"Jan 9, 2026",$83.63,$5.34,,,Fixed price,https://www.ebay.com/itm/157414417847
"$1 Proof American Silver Eagles in Box w/ COA,OGP,Sold Each, Variety of Years",188006417565,"Jan 29, 2026",$100.00,$5.00,,,Fixed price,https://www.ebay.com/itm/188006417565
2013 W ENHANCED UNCIRCULATED SILVER EAGLE FROM WEST POINT SET ONE COIN IN CAP,234445693910,"Mar 21, 2026",$133.32,$0.00,,,Fixed price,https://www.ebay.com/itm/234445693910
Better Date 2013 American Silver Eagle In Capsule 1 Troy Oz .999 Fine Silver,257298620203,"Jan 11, 2026",$88.85,$0.00,,,Fixed price,https://www.ebay.com/itm/257298620203
,,"Dec 7, 2025",$53.87,$10.17,,,Fixed price,
,,"Oct 15, 2025",$291.37,$0.00,,,Fixed price,
2013-W PF70 REVERSE American Silver Eagle West Point Set NGC Brown Label,126115624399,"Mar 27, 2026",$189.98,$0.00,,,Fixed price,https://www.ebay.com/itm/126115624399
2013 American Silver Eagle MS70 NGC Brown Label,136533826290,"Dec 16, 2025",$70.32,$0.00,,,Fixed price,https://www.ebay.com/itm/136533826290
2013-W American Silver Eagle Burnished 1 oz .999 US Mint $1 Coin OGP Box & COA,146288310451,"Mar 30, 2026",$104.47,$0.00,,,Fixed price,https://www.ebay.com/itm/146288310451
,,"Oct 13, 2025",$63.28,$0.00,,,Fixed price,
,,"Dec 21, 2025",$73.16,$0.00,,,Fixed price,
,,"Dec 27, 2025",$78.70,$10.12,,,Fixed price,
2013 $1 American Silver Eagle NGC MS69 Brown Label,314397294254,"Apr 8, 2026",$90.67,$0.00,,,Fixed price,https://www.ebay.com/itm/314397294254
"2013-W Proof $1 American Silver Eagle Box, OGP & COA",204404469442,"Apr 10, 2026",$102.77,$0.00,,,Fixed price,https://www.ebay.com/itm/204404469442
Dansco Album Replacement Page 7181 4 American Eagle Silver Dollars 2013 to 2021,116009907321,"Apr 5, 2026",$18.07,$0.00,,,Fixed price,https://www.ebay.com/itm/116009907321
2013 W REVERSE PROOF & ENHANCED SILVER EAGLE 2 COIN WEST POINT SET WITH BOX/COA,384760377258,"Mar 27, 2026",$264.72,$0.00,,,Fixed price,https://www.ebay.com/itm/384760377258
,,"Jan 10, 2026",$86.99,$0.00,,,Fixed price,
,,"Oct 19, 2025",$58.02,$0.00,,,Fixed price,
2013 (S) American Silver Eagle Struck SF Mint 1st Releases MS70 Silver Lbl NGC,126964098393,"Nov 21, 2025",$66.10,$0.00,,,Fixed price,https://www.ebay.com/itm/126964098393
2013-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,146596053719,"Feb 28, 2026",$103.22,$0.00,,,Fixed price,https://www.ebay.com/itm/146596053719
Dansco Coins 7181-4 Page For American Eagle Silver Dollars 2013- 2021 Collection,276240718780,"Apr 2, 2026",$21.04,$0.00,,,Fixed price,https://www.ebay.com/itm/276240718780
Dansco Coin Album 7181 PAGE 4 ONLY American Silver Eagle Dollar 2013-2021 Book,335696607251,"Jan 6, 2026",$12.10,$6.50,,,Fixed price,https://www.ebay.com/itm/335696607251
2013 American Eagle WP Two Coin Silver Proof Set Box & COA - NO COINS,125947709924,"Mar 7, 2026",$20.88,$0.00,,,Fixed price,https://www.ebay.com/itm/125947709924
,,"Jan 9, 2026",$83.63,$5.34,,,Fixed price,
2013-W West Point Silver Eagle 2 Coin Box Set NGC PF69/SP69 Reverse/Enhanced ER,224476668878,"Mar 16, 2026",$268.13,$0.00,,,Fixed price,https://www.ebay.com/itm/224476668878
2013-W (Burnished) American Silver Eagle NGC - MS70 EARLY RELEASES,224994215559,"Mar 14, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/224994215559
2013-W American Eagle 1 oz Silver Proof Coin with capsule,277679601166,"Jan 27, 2026",$113.64,$9.98,,,Fixed price,https://www.ebay.com/itm/277679601166
2013 $1 American Silver Eagle NGC MS69 Brown Label,314397294254,"Apr 11, 2026",$91.63,$0.00,,,Fixed price,https://www.ebay.com/itm/314397294254,26
,,"Jan 13, 2026",$92.59,$0.00,,,Fixed price,,45
2013 $1 American Silver Eagle 1 oz Brilliant Uncirculated,204267068412,"Apr 4, 2026",$80.68,$0.00,,,Fixed price,https://www.ebay.com/itm/204267068412,14
,,"Oct 19, 2025",$59.56,$0.00,,,Fixed price,,14
Dansco Coins 7181-4 Page For American Eagle Silver Dollars 2013- 2021 Collection,276240718780,"Apr 12, 2026",$20.94,$0.00,,,Fixed price,https://www.ebay.com/itm/276240718780,11
2013-W American Silver Eagle Proof Coin 1 Oz,365896075789,"Mar 1, 2026",$97.15,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075789,6
"2013 AMERICAN EAGLE, BU COIN, .999 FINE SILVER - FREE SHIPPING",137111257425,"Mar 16, 2026",$89.12,$0.00,,,Fixed price,https://www.ebay.com/itm/137111257425,10
2013-W Silver Eagle $1 NGC MS 70 West Point Label,145101188764,"Jan 23, 2026",$85.28,$3.99,,,Fixed price,https://www.ebay.com/itm/145101188764,7
2013 1 oz American Silver Eagle Coin,177204736968,"Jan 30, 2026",$62.02,$0.00,,,Fixed price,https://www.ebay.com/itm/177204736968,24
(1) 2013 BU American silver eagle coin 1oz .999 in airtight capsule,236580219987,"Jan 14, 2026",$93.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236580219987,11
Better Date 2013 American Silver Eagle Roll Of 20 1 Troy Oz .999 Fine Silver,257308381643,"Jan 28, 2026","$2,157.99",$0.00,,,Fixed price,https://www.ebay.com/itm/257308381643,5
,,"Dec 8, 2025",$61.25,$0.00,,,Fixed price,,5
,,"Dec 26, 2025",$77.00,$0.00,,,Fixed price,,30
,,"Dec 27, 2025",$79.59,$0.00,,,Fixed price,,20
2013 American Silver Eagle Coin 1 oz $1 - BU,305404613154,"Apr 9, 2026",$88.44,$0.00,,,Fixed price,https://www.ebay.com/itm/305404613154,5
2013-W American Silver Eagle West Point Set Reverse Proof PR70 ICG,365280097523,"Mar 20, 2026",$152.38,$0.00,,,Fixed price,https://www.ebay.com/itm/365280097523,5
2013 W American Silver Eagle Choice Proof Bullion $1 Coin OGP COA,365978729861,"Apr 11, 2026",$110.67,$0.00,,,Fixed price,https://www.ebay.com/itm/365978729861,37
2013 W REVERSE PROOF SILVER EAGLE FROM WEST POINT SET ONE COIN IN CAP,384760377252,"Feb 24, 2026",$146.45,$0.00,,,Fixed price,https://www.ebay.com/itm/384760377252,5
2013 1 oz American Silver Eagle Coin,394286658367,"Dec 31, 2025",$77.10,$0.00,,,Fixed price,https://www.ebay.com/itm/394286658367,7
2013-W $1 1-oz Proof American Silver Eagle NGC PF69UC Brown Label,134967366914,"Apr 8, 2026",$116.55,$0.00,,,Fixed price,https://www.ebay.com/itm/134967366914,4
2013 American Silver Eagle MS69+ ICG,136533779337,"Dec 28, 2025",$84.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136533779337,4
"2015 American Silver Eagle, encapsulated BU (GV0037)",137146212920,"Apr 3, 2026",$80.29,$0.00,,,Fixed price,https://www.ebay.com/itm/137146212920,8
2013-W Burnished American Silver Eagle (w/Box & COA),141475212066,"Apr 3, 2026",$117.38,$0.00,,,Fixed price,https://www.ebay.com/itm/141475212066,4
2013-W American Silver Eagle West Point 2 Coin Set Enhanced Reverse Proof US $1,145929198079,"Apr 8, 2026",$237.74,$0.00,,,Fixed price,https://www.ebay.com/itm/145929198079,4
,,"Dec 26, 2025",$71.71,$0.00,,,Fixed price,,7
,,"Dec 29, 2025",$195.00,$0.00,,,Fixed price,,4
,,"Dec 26, 2025",$61.01,$3.00,,,Fixed price,,8
,,"Dec 23, 2025",$204.99,$0.00,,,Fixed price,,4
2013-W (Burnished) American Silver Eagle NGC - MS70 EARLY RELEASES,224358442092,"Mar 26, 2026",$136.25,$0.00,,,Fixed price,https://www.ebay.com/itm/224358442092,4
"2013 MS-69 EARLY RELEASE AMERICAN SILVER EAGLES, NGC GRADED BEAUTIES",227166171205,"Feb 20, 2026",$106.31,$5.38,,,Fixed price,https://www.ebay.com/itm/227166171205,11
2013(S) Silver Eagle NGC MS69 First Releases Blue Label,257356593529,"Feb 23, 2026",$98.13,$0.00,,,Fixed price,https://www.ebay.com/itm/257356593529,8
2013-W Uncirculated $1 American Silver Eagle Box & COA | No Coin,277089474226,"Apr 11, 2026",$5.71,$5.95,,,Fixed price,https://www.ebay.com/itm/277089474226,4
2013 SILVER AMERICAN EAGLE 1 OUNCE .999 BU,277120977409,"Jan 27, 2026",$68.71,$5.24,,,Fixed price,https://www.ebay.com/itm/277120977409,4
2013-W Enhanced $1 American Silver Eagle PCGS MS70 FS Flag Label,316876280635,"Nov 25, 2025",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/316876280635,4
2013 Silver Eagle West Point Mint 2 Coin Set Reverse Proof & Enhanced w/ COA/BOX,336479387262,"Apr 10, 2026",$260.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336479387262,4
BUY 2 or MORE Get 5% OFF - 2013 West Point Mint -MS 69,358189882452,"Apr 9, 2026",$80.99,$7.85,,,Fixed price,https://www.ebay.com/itm/358189882452,8
2013-W American Silver Eagle West Point Set Enhanced MS70 ICG,365896110287,"Mar 12, 2026",$151.21,$0.00,,,Fixed price,https://www.ebay.com/itm/365896110287,4
,,"Nov 24, 2025",$78.00,$0.00,,,Fixed price,,5
,,"Jan 3, 2026",$81.01,$5.47,,,Fixed price,,13
"2013 (20) coin tube, roll of original BU Silver Eagles from just opened mint box",117001094702,"Jan 25, 2026","$2,185.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117001094702,4
2013-W American Eagle Reverse Proof & Enhanced 2 Coin SILVER Set - w/OGP & COA,124739855098,"Jan 18, 2026",$220.00,$9.07,,,Fixed price,https://www.ebay.com/itm/124739855098,3
,,"Dec 18, 2025",$79.99,$0.00,,,Fixed price,,4
,,"Dec 11, 2025",$188.88,$0.00,,,Fixed price,,3
2013 W REVERSE PROOF SILVER EAGLE NGC PF70 & ENHANCED SP70 2 COIN WEST POINT SET,127533354393,"Jan 14, 2026",$299.98,$0.00,,,Fixed price,https://www.ebay.com/itm/127533354393,3
2013 American Silver Eagle MS70 ICG,136308802520,"Feb 9, 2026",$95.63,$0.00,,,Fixed price,https://www.ebay.com/itm/136308802520,3
2013 Limited Edition Silver Proof Set US Mint 8 Coins OGP American Silver Eagle,146633498881,"Mar 31, 2026",$239.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146633498881,3
2013-W Silver American Eagle $1 NGC SP70 Enhanced Finish Brown Label - STOCK,147250319152,"Apr 12, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147250319152,3
U.S. Mint American Eagle 2013 1 oz .999 Fine Silver Liberty Walking,147254114708,"Apr 11, 2026",$72.00,$6.50,,,Fixed price,https://www.ebay.com/itm/147254114708,14
,,"Dec 11, 2025",$63.75,$5.10,,,Fixed price,,4
2013 American Silver Eagle – PCI Mint State 70 – Early Strike – Boutique Bullion,157329092341,"Mar 20, 2026",$102.50,$5.60,,,Fixed price,https://www.ebay.com/itm/157329092341,4
2013-W American Silver Eagle 2-Coin Set | PCGS PF70 DCAM + SP70 Enhanced Finish,157410143861,"Mar 5, 2026",$293.65,$5.56,,,Fixed price,https://www.ebay.com/itm/157410143861,3
,,"Dec 26, 2025",$71.49,$10.82,,,Fixed price,,4
2013 AMERICAN EAGLE SILVER $1 FIRST STRIKE PCGS MS70 SIGNED MERCANTI,198033480984,"Mar 27, 2026",$128.33,$8.05,,,Fixed price,https://www.ebay.com/itm/198033480984,3
American Eagle 2013-W 1 oz Fine Silver Proof Coin With Case,198084972301,"Feb 28, 2026",$89.56,$7.66,,,Fixed price,https://www.ebay.com/itm/198084972301,9
,,"Oct 30, 2025","$5,316.67",$0.00,,,Fixed price,,3
2013 American Silver Eagle 1 oz Coin .999 Fine Silver,205989057714,"Jan 16, 2026",$94.33,$4.69,,,Fixed price,https://www.ebay.com/itm/205989057714,3
2013 United States Annual Dollar Coin Set,224176641657,"Jan 25, 2026",$119.00,$0.00,,,Fixed price,https://www.ebay.com/itm/224176641657,3
2013-W (Burnished) Silver American Eagle ANACS MS70,225592869238,"Jan 21, 2026",$104.00,$0.00,,,Fixed price,https://www.ebay.com/itm/225592869238,3
Dansco Update Page #7181-4 for American Silver Eagle Album dated 2013 to 2021,226666176372,"Oct 25, 2025",$15.50,$0.00,,,Fixed price,https://www.ebay.com/itm/226666176372,3
,,"Nov 30, 2025",$58.50,$0.00,,,Fixed price,,9
"2013 MS 70 American Silver Eagle Coin, John Mercanti Signed , First Strike!",227107381546,"Jan 14, 2026",$98.00,$6.00,,,Fixed price,https://www.ebay.com/itm/227107381546,3
