Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Feb 28, 2026",$97.89,$0.00,,,Fixed price,,100
"2014-W Proof $1 American Silver Eagle Box, OGP & COA",314639806280,"Jul 21, 2026",$102.94,$0.00,,,Fixed price,https://www.ebay.com/itm/314639806280,50
1 oz American Silver Eagle MS-69 PCGS (Random Year),112615725128,"Aug 8, 2026",$80.96,$0.00,,,Fixed price,https://www.ebay.com/itm/112615725128,95
2014 American Silver Eagle Coin 1 oz $1 - BU,305452422057,"Jul 15, 2026",$80.35,$0.00,,,Fixed price,https://www.ebay.com/itm/305452422057,48
2014 W American Silver Eagle Choice Proof Bullion $1 Coin OGP COA,365541235985,"Jul 30, 2026",$106.72,$0.00,,,Fixed price,https://www.ebay.com/itm/365541235985,75
2014 $1 American Silver Eagle 1 oz Brilliant Uncirculated,313894174492,"Aug 8, 2026",$76.91,$0.00,,,Fixed price,https://www.ebay.com/itm/313894174492,27
2014 $1 American Silver Eagle NGC MS70 Brown Label,175744312311,"Aug 9, 2026",$105.92,$0.00,,,Fixed price,https://www.ebay.com/itm/175744312311,14
2014 $1 American Silver Eagle PCGS MS70 - Standard Blue Label,198335156942,"May 14, 2026",$96.88,$0.00,,,Fixed price,https://www.ebay.com/itm/198335156942,17
,,"Apr 25, 2026",$95.00,$0.00,,,Fixed price,,18
2014 $1 American Silver Eagle PCGS MS70 - Standard Blue Label,206286518787,"May 30, 2026",$99.56,$0.00,,,Fixed price,https://www.ebay.com/itm/206286518787,54
2014 $1 American Silver Eagle NGC MS69 Brown Label,315637833712,"Jun 6, 2026",$96.74,$0.00,,,Fixed price,https://www.ebay.com/itm/315637833712,12
,,"May 1, 2026",$95.00,$0.00,,,Fixed price,,17
2014 American Silver Eagle Coin - NGC MS69,376268420403,"Aug 6, 2026",$91.23,$0.00,,,Fixed price,https://www.ebay.com/itm/376268420403,11
,,"Apr 3, 2026",$81.89,$0.00,,,Fixed price,,13
"2014-W $1 1-oz Proof American Silver Eagle Box, OGP, &COA",145853062847,"Jul 14, 2026",$101.10,$0.00,,,Fixed price,https://www.ebay.com/itm/145853062847,10
2014-W American Proof Silver Eagle Mint Issued COA (NO Coin),326151500542,"Jun 15, 2026",$3.76,$0.00,,,Fixed price,https://www.ebay.com/itm/326151500542,21
2014-W Proof $1 American Silver Eagle NGC PF69UC Brown Label,175907925437,"Jul 19, 2026",$109.31,$0.00,,,Fixed price,https://www.ebay.com/itm/175907925437,9
,,"Feb 11, 2026",$94.70,$0.00,,,Fixed price,,20
2014-W $1 American Silver Eagle PCGS MS70 - West Point Label,227343622247,"May 15, 2026",$98.43,$0.00,,,Fixed price,https://www.ebay.com/itm/227343622247,14
,,"Apr 18, 2026",$81.50,$0.00,,,Fixed price,,20
