Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Dec 18, 2025",$198.88,$0.00,,,Auction,,1
,,"Dec 23, 2025",$300.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$386.29,$8.80,,,Auction,,1
2014 Great Britain 1oz .999 Silver Britannia Coin (£2) [SKUF12],157668951478,"Feb 17, 2026",$87.00,$5.56,,,Auction,https://www.ebay.com/itm/157668951478,1
,,"Dec 27, 2025",$71.99,$4.95,,,Fixed price,,1
,,"Feb 3, 2026",$100.00,$5.07,,,Auction,,1
2014 Great Britain 1oz .999 Silver Britannia Coin (£2) [CP1],168134677876,"Feb 13, 2026",$101.72,$0.00,,,Auction,https://www.ebay.com/itm/168134677876,1
2014 Great Britain 1oz .999 Silver Britannia Coin (£2) [J13],168167489652,"Feb 25, 2026",$91.50,$2.45,,,Auction,https://www.ebay.com/itm/168167489652,1
2014 Great Britain 1oz .999 Silver Britannia Coin (£2) [J10],168167532565,"Feb 26, 2026",$89.00,$5.07,,,Auction,https://www.ebay.com/itm/168167532565,1
2014 Great Britain 1oz .999 Silver Britannia Coin (£2) [E12],168198368717,"Mar 11, 2026",$92.00,$5.00,,,Auction,https://www.ebay.com/itm/168198368717,1
Lot of (2) Great Britain 1oz. 999 Silver Britannia Coins BU (Milk Spotting),178082053699,"May 1, 2026",$149.50,$5.00,,,Auction,https://www.ebay.com/itm/178082053699,1
,,"Dec 3, 2025",$58.00,$0.00,,,Fixed price,,1
,,"Dec 12, 2025",$66.00,$6.24,,,Auction,,1
,,"Jan 25, 2026",$110.00,$4.25,,,Fixed price,,1
,,"Nov 16, 2025",$54.62,$0.00,,,Fixed price,,1
,,"Dec 12, 2025",$55.00,$5.09,,,Auction,,1
,,"Nov 27, 2025",$305.00,$0.00,,,Auction,,1
