Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
China Gold Panda 1/20 oz 20 Yuan - BU - Random Date,374916342042,"May 19, 2026",$278.26,$0.00,,,Fixed price,https://www.ebay.com/itm/374916342042,44
,,"Jan 28, 2026",$319.00,$9.99,,,Fixed price,,2
,,"Jan 17, 2026",$274.99,$5.00,,,Auction,,1
2015 China 1/20 oz .999 Gold PANDA Bullion Coin Mint Sealed,168167400821,"Feb 22, 2026",$295.00,$5.00,,,Auction,https://www.ebay.com/itm/168167400821,1
,,"Feb 3, 2026",$315.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$235.50,$5.15,,,Auction,,1
,,"Jan 9, 2026",$265.00,$8.00,,,Auction,,1
,,"Jan 31, 2026",$340.00,$6.00,,,Auction,,1
,,"Jan 29, 2026",$299.00,$4.88,,,Fixed price,,1
,,"Nov 29, 2025",$264.95,$7.95,,,Fixed price,,1
,,"Dec 18, 2025",$289.95,$6.95,,,Fixed price,,1
