Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
A0882- 2015-16 Upper Deck AHL Hockey Card #s 1-150 -You Pick- 15+ FREE US SHIP,234668998062,"May 5, 2026",$1.01,$0.48,,,Fixed price,https://www.ebay.com/itm/234668998062,200
A8148- 2015 Stadium Club Baseball Card #s 1-200 -You Pick- 15+ FREE US SHIP,236223025871,"May 4, 2026",$0.83,$0.50,,,Fixed price,https://www.ebay.com/itm/236223025871,134
A5853- 2015 Panini Florida State Seminoles Card G1 -You Pick- 15+ FREE US SHIP,334507941064,"May 5, 2026",$1.13,$0.33,,,Fixed price,https://www.ebay.com/itm/334507941064,115
A8148- 2015 Stadium Club Baseball Card #s 201-300 -You Pick- 15+ FREE US SHIP,336086084665,"May 4, 2026",$0.93,$0.21,,,Fixed price,https://www.ebay.com/itm/336086084665,113
B2011- 2015 Panini Michigan Cards 1-50 +Inserts -You Pick- 15+ FREE US SHIP,334590954753,"Apr 29, 2026",$1.00,$0.29,,,Fixed price,https://www.ebay.com/itm/334590954753,77
B4118- 2015 Bowman Chrome BB Cards 1-200 +Rookies -You Pick- 15+ FREE US SHIP,235324790253,"Apr 26, 2026",$0.80,$0.45,,,Fixed price,https://www.ebay.com/itm/235324790253,57
A6220- 2015 Topps Baseball Cards 500-701 +Inserts -You Pick- 15+ FREE US SHIP,334064516301,"Apr 29, 2026",$0.77,$0.19,,,Fixed price,https://www.ebay.com/itm/334064516301,55
A7199- 2015 Topps Football Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,334468247159,"Mar 5, 2026",$0.72,$0.00,,,Fixed price,https://www.ebay.com/itm/334468247159,54
B0880- 2015 Panini Alabama Cards 1-80 +Inserts -You Pick- 15+ FREE US SHIP,234630137880,"May 10, 2026",$1.41,$0.39,,,Fixed price,https://www.ebay.com/itm/234630137880,53
A3862- 2015 Panini Miami Hurricanes Cards Group1 -You Pick- 15+ FREE US SHIP,235569891853,"May 8, 2026",$0.91,$0.61,,,Fixed price,https://www.ebay.com/itm/235569891853,49
A4683- 2015 Panini Oregon Ducks Cards 1-49 +Inserts -You Pick- 15+ FREE US SHIP,334507951572,"Apr 21, 2026",$0.87,$0.57,,,Fixed price,https://www.ebay.com/itm/334507951572,59
A7199- 2015 Topps Football Cards 251-500 +Rookies -You Pick- 15+ FREE US SHIP,234583205983,"Mar 13, 2026",$0.73,$0.60,,,Fixed price,https://www.ebay.com/itm/234583205983,43
A4123- 2015 Topps Allen and Ginter BB Cards 1-350 -You Pick- 15+ FREE US SHIP,257039347975,"May 5, 2026",$0.76,$0.10,,,Fixed price,https://www.ebay.com/itm/257039347975,42
,,"Dec 8, 2025",$0.88,$0.34,,,Fixed price,,40
2015 Topps Baseball Update Series Singles Complete Your Set US#1-400 You Pick,167760849884,"May 11, 2026",$0.90,$0.19,,,Fixed price,https://www.ebay.com/itm/167760849884,39
A4317- 2015 Topps Update BB Card #s 1-237 +Rookies -You Pick- 15+ FREE US SHIP,336183183035,"Apr 22, 2026",$1.36,$0.83,,,Fixed price,https://www.ebay.com/itm/336183183035,38
A6220- 2015 Topps Baseball Cards 249-499 +Rookies -You Pick- 15+ FREE US SHIP,234083519546,"May 5, 2026",$1.12,$0.34,,,Fixed price,https://www.ebay.com/itm/234083519546,35
A0716- 2015-16 O-Pee-Chee Hockey Card #s 1-250 -You Pick- 15+ FREE US SHIP,334538968472,"May 8, 2026",$0.79,$0.26,,,Fixed price,https://www.ebay.com/itm/334538968472,38
A6220- 2015 Topps Baseball Card #s 1-248 +Rookies -You Pick- 15+ FREE US SHIP,234076529948,"Apr 27, 2026",$0.79,$0.73,,,Fixed price,https://www.ebay.com/itm/234076529948,33
A3638- 2015 Panini UCLA Bruins College Cards G1 -You Pick- 15+ FREE US SHIP,334507951575,"Apr 21, 2026",$1.02,$1.19,,,Fixed price,https://www.ebay.com/itm/334507951575,35
A9416- 2015-16 Panini Prizm Basketball Cards 1-250 -You Pick- 15+ FREE US SHIP,257009708873,"Apr 6, 2026",$0.88,$0.27,,,Fixed price,https://www.ebay.com/itm/257009708873,32
