Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
U.S. Mint 2016 American Eagle $1 1 oz Silver .999 PCGS MS69 30th Anniversary,117237772689,"Jun 15, 2026",$80.88,$5.89,,,Auction,https://www.ebay.com/itm/117237772689,1
U.S. Mint 2016 American Silver Eagle $1 1 oz .999 Silver PCGS MS69 First Strike,117225183938,"Jun 1, 2026",$86.77,$6.36,,,Fixed price,https://www.ebay.com/itm/117225183938,1
West Point Mint 2016-W American Silver Eagle $1 1 oz .999 Silver NGC MS69 ER,117225177866,"May 31, 2026",$80.00,$6.07,,,Fixed price,https://www.ebay.com/itm/117225177866,1
2016-W Burnished Silver Eagle MS69 CAC CACg,126765567915,"May 30, 2026",$117.50,$0.00,,,Fixed price,https://www.ebay.com/itm/126765567915,2
2016 $1 American Silver Eagle NGC MS69 Brown Label,175640863175,"May 28, 2026",$103.68,$0.00,,,Fixed price,https://www.ebay.com/itm/175640863175,46
2016-W Burnished Annual Set - American Silver Eagle MS69 NGC,125969997616,"May 21, 2026",$171.00,$0.00,,,Fixed price,https://www.ebay.com/itm/125969997616,1
2016 American Silver Eagle - NGC MS69,404433397873,"May 18, 2026",$98.26,$0.00,,,Fixed price,https://www.ebay.com/itm/404433397873,23
2016 1oz American Eagle MS69 NGC - 30th Anniversary - OFFICIAL RED BOOK LABEL 🔥,188343862251,"May 8, 2026",$86.50,$6.50,,,Fixed price,https://www.ebay.com/itm/188343862251,2
2016 $1 Silver Eagle NGC MS69 6037279-016,127843281754,"May 5, 2026",$102.50,$12.00,,,Fixed price,https://www.ebay.com/itm/127843281754,1
2016 $1 1-oz American Silver Eagle NGC MS69 Brown Label,134957418090,"May 4, 2026",$96.93,$0.00,,,Fixed price,https://www.ebay.com/itm/134957418090,21
2016 (P) $1 Silver Eagle NGC MS69 30th Anniversary Struck at Philadelphia,187923258651,"May 4, 2026",$117.14,$3.00,,,Fixed price,https://www.ebay.com/itm/187923258651,7
