Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2017 P Australia Kangaroo 1/10 oz .9999 Gold $15 MS 70 NGC,236626824040,"Mar 3, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236626824040,1
2017-P Australia $15 Gold Kangaroo • 1/10 oz .9999 •Uncirculated • Perth Mint,188081584687,"Feb 28, 2026",$559.99,$9.99,,,Fixed price,https://www.ebay.com/itm/188081584687,1
"2017 gold kangaroo, 1/10 oz .9999 fine gold bullion, ungraded",236639889749,"Feb 17, 2026",$545.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236639889749,1
2017 Australia Kangaroo 1/10 oz .9999 Gold $15 Coin - Free S&H USA,366202806133,"Feb 15, 2026",$520.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366202806133,1
2017 P Australia Kangaroo 1/10 oz .9999 Gold $15 MS 70 NGC,236628727276,"Feb 12, 2026",$695.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236628727276,1
2017P Australia Kangaroo Gold $15 NGC MS 70 1/10 oz .9999,366172373862,"Feb 9, 2026",$540.00,$0.00,,,Auction,https://www.ebay.com/itm/366172373862,1
2017P Australia Kangaroo Gold $15 NGC MS 69 1/10 oz .9999,336419449309,"Feb 9, 2026",$521.00,$0.00,,,Auction,https://www.ebay.com/itm/336419449309,1
2017 Australia Kangaroo 1/10 oz .9999 Gold $15 Coin - Free S&H USA,206042409792,"Feb 3, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206042409792,1
2017 Australia Kangaroo 1/10 oz .9999 Gold $15 Coin - Free S&H USA,206031077991,"Jan 27, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206031077991,1
2017 Australia Kangaroo 1/10 oz .9999 Gold $15 Coin - Free S&H USA,397539876280,"Jan 27, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397539876280,1
,,"Jan 23, 2026","$1,299.00",$0.00,,,Fixed price,,1
,,"Jan 5, 2026",$481.00,$6.99,,,Auction,,1
,,"Dec 7, 2025",$455.00,$0.00,,,Auction,,1
,,"Dec 6, 2025",$499.00,$15.00,,,Auction,,1
