Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2 - 2018 China Pure Silver Pandas (each 30g .999 BU) (In Capsules),306514798508,"Jan 13, 2026",$144.22,$4.88,,,Fixed price,https://www.ebay.com/itm/306514798508,41
,,"Jan 23, 2026",$125.81,$5.83,,,Fixed price,,6
,,"Jan 15, 2026",$86.00,$0.00,,,Fixed price,,4
2018 China Silver Panda 10 Yuan 30g PCGS MS69 First Strike 35th Anniversary Coin,257450164614,"Apr 19, 2026",$89.95,$14.92,,,Fixed price,https://www.ebay.com/itm/257450164614,5
2018 Chinese Panda - 30g Pure 0.999 Silver Coin - 10 Yuan,117129643780,"Apr 17, 2026",$96.67,$5.29,,,Fixed price,https://www.ebay.com/itm/117129643780,3
,,"Dec 4, 2025",$61.00,$0.00,,,Fixed price,,2
2018 SILVER CHINA 10 YUAN 30g PANDA PCGS MINT STATE 70 FIRST STRIKE RED LABEL,306794165635,"Mar 2, 2026",$140.00,$6.33,,,Fixed price,https://www.ebay.com/itm/306794165635,3
,,"Feb 13, 2026",$141.33,$7.45,,,Fixed price,,3
,,"Jan 16, 2026",$88.00,$2.44,,,Auction,,1
,,"Jan 17, 2026",$97.00,$9.00,,,Fixed price,,1
,,"Jan 15, 2026",$179.99,$0.00,,,Fixed price,,1
"2018 Chinese Panda 30g Silver Coin 10 Yuan, Proof Finish, in Capsule",127695853866,"Feb 27, 2026",$92.00,$0.00,,,Auction,https://www.ebay.com/itm/127695853866,1
"2018 Chinese Panda 30g Silver Coin 10 Yuan, Proof Finish, in Capsule",127699000754,"Mar 1, 2026",$93.00,$4.85,,,Auction,https://www.ebay.com/itm/127699000754,1
2018 Chinese Panda 30g .999 Silver Coin 10 Yuan in Capsule,127714633150,"Mar 15, 2026",$95.00,$5.20,,,Fixed price,https://www.ebay.com/itm/127714633150,1
,,"Dec 29, 2025",$299.00,$5.00,,,Fixed price,,1
,,"Jan 25, 2026",$335.00,$2.66,,,Fixed price,,1
2018 Chinese Silver Panda 30g .999 Fine Silver Mint in Capsule* 10 Yuan Coin BU,137071884186,"Feb 25, 2026",$94.97,$0.00,,,Fixed price,https://www.ebay.com/itm/137071884186,1
2018 China Silver Panda 30g 0.999 Fine Ag BU in Original Capsule,137212270010,"Apr 10, 2026",$83.99,$0.00,,,Fixed price,https://www.ebay.com/itm/137212270010,1
,,"Dec 14, 2025",$65.00,$6.35,,,Fixed price,,1
,,"Feb 12, 2026",$140.00,$6.50,,,Fixed price,,1
,,"Jan 6, 2026",$125.00,$6.20,,,Fixed price,,1
,,"Feb 17, 2026",$120.00,$6.50,,,Fixed price,,1
,,"Feb 17, 2026",$120.00,$6.50,,,Fixed price,,1
2018 China Silver Panda 30g .999 Fine Silver Coin 10 Yuan BU In Mint Capsule,147248658175,"Apr 16, 2026",$87.72,$5.29,,,Fixed price,https://www.ebay.com/itm/147248658175,1
02/0000026 L#8494 30g Silver 2018 CHINA Panda Coin- A.3,157704315359,"Feb 26, 2026",$120.00,$0.00,,,Auction,https://www.ebay.com/itm/157704315359,1
2019 China Panda 30g Silver 10 Yuan PCGS MS70 First Strike Red Label,157779444114,"Apr 12, 2026",$129.00,$5.20,,,Fixed price,https://www.ebay.com/itm/157779444114,1
,,"Jan 14, 2026",$99.99,$2.00,,,Fixed price,,1
,,"Dec 14, 2025",$76.00,$4.50,,,Fixed price,,1
