Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2020 Australia Lunar Year of the Mouse 1 oz Silver Coin PCSG MS70 FS Red Label,133524951787,"Mar 20, 2026",$100.86,$10.04,,,Fixed price,https://www.ebay.com/itm/133524951787
2020 P Australia Silver Lunar Year of the MOUSE NGC MS 70 1oz $1 Coin Series III,254358856312,"Apr 9, 2026",$156.81,$19.35,,,Fixed price,https://www.ebay.com/itm/254358856312
,,"Dec 4, 2025",$59.32,$4.17,,,Fixed price,
2020 Australia Perth Mint Lunar Mouse Colorized 1/4 oz Silver Coin,296815472329,"Mar 20, 2026",$38.24,$0.00,,,Fixed price,https://www.ebay.com/itm/296815472329
2020 Australia 1 oz .9999 Fine Silver Lunar Year of The Mouse Coin BU - Capsule,364896910770,"Mar 21, 2026",$102.53,$0.00,,,Fixed price,https://www.ebay.com/itm/364896910770
2020 Australia Lunar Year of the MOUSE GILDED 1oz Silver $1 Coin w/ OGP/BOX Gilt,223735327020,"Mar 9, 2026",$287.02,$25.45,,,Fixed price,https://www.ebay.com/itm/223735327020
2020 AUSTRALIA LUNAR SERIE MOUSE COLORED 1/2 oz,136629273242,"Jan 12, 2026",$45.91,$4.75,,,Fixed price,https://www.ebay.com/itm/136629273242
2020 Australia - Lunar Series III MOUSE 1/2 oz.9999 Silver Coin w/Capsule,317455320234,"Apr 4, 2026",$91.03,$0.00,,,Fixed price,https://www.ebay.com/itm/317455320234
2020 Australia Perth Mint Lunar Mouse Colorized 1/4 oz Silver Coin,167466888235,"Mar 20, 2026",$32.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167466888235
2020 Australia PROOF Lunar Year of the Mouse 1/2 oz Silver 50c Coin SERIES III,223648239952,"Feb 16, 2026",$113.08,$17.73,,,Fixed price,https://www.ebay.com/itm/223648239952
2020 Australia Colored Silver Lunar Year of the MOUSE NGC MS 70 1/2oz 50c Coin,264987653365,"Feb 16, 2026",$111.68,$0.00,,,Fixed price,https://www.ebay.com/itm/264987653365
,,"Nov 17, 2025",$67.89,$0.00,,,Fixed price,
2020 Year of the Mouse Australian 1oz .999 Silver,117078524300,"Mar 26, 2026",$115.00,$5.17,,,Fixed price,https://www.ebay.com/itm/117078524300
2020 P Australia Silver Lunar Year of The Mouse PCGS MS70 dragon privy,366256095778,"Mar 27, 2026",$148.33,$0.00,,,Fixed price,https://www.ebay.com/itm/366256095778
Special Release 2020 Australia Perth Mint Lunar Mouse 1/4 oz Silver Colored BU,145805339305,"Jan 20, 2026",$26.45,$5.99,,,Fixed price,https://www.ebay.com/itm/145805339305
,,"Oct 27, 2025",$58.97,$5.04,,,Fixed price,
,,"Dec 18, 2025",$35.00,$0.00,,,Fixed price,
2020 Year of the Mouse Australian 1oz .999 Silver,117035967554,"Mar 8, 2026",$115.00,$5.52,,,Fixed price,https://www.ebay.com/itm/117035967554
2020 Australia Colorized Silver Lunar Year of the MOUSE NGC MS 70 1oz Coin,117064454506,"Mar 2, 2026",$199.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117064454506
2020 P ** Australia Silver Lunar ** Year of the MOUSE Dragon Privy ** NGC MS 70,117064791038,"Mar 2, 2026",$139.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117064791038
2020 Year of the Mouse Rotating Charm 1oz. 9999 Silver Antiqued,127659354364,"Mar 17, 2026",$187.50,$8.10,,,Fixed price,https://www.ebay.com/itm/127659354364
2020-P Year of the Mouse Dragon Privy First Strike PCGS MS70,127688104824,"Feb 26, 2026",$157.00,$6.87,,,Fixed price,https://www.ebay.com/itm/127688104824
"2020 1oz Silver Australia Lunar III series, The year of the Mouse Capsule. Gem!!",127797537520,"Apr 8, 2026",$99.00,$5.95,,,Fixed price,https://www.ebay.com/itm/127797537520
"2020 1oz Silver Lunar III series, The year of the Mouse Capsule. Gem BU!!",127797538451,"Apr 9, 2026",$99.00,$5.95,,,Fixed price,https://www.ebay.com/itm/127797538451
,,"Jan 6, 2026",$69.00,$4.59,,,Fixed price,
"2020 Lunar III Year of the Mouse 3 Coins Set 1oz, 2oz, & 5oz",136412914482,"Feb 1, 2026",$988.00,$7.55,,,Fixed price,https://www.ebay.com/itm/136412914482
,,"Nov 26, 2025",$60.00,$0.00,,,Fixed price,
2020 AUSTRALIA LUNAR SERIE MOUSE COLORED 1/2 oz,136973517069,"Jan 22, 2026",$46.40,$0.00,,,Fixed price,https://www.ebay.com/itm/136973517069
,,"Dec 14, 2025",$50.00,$4.75,,,Fixed price,
2020 Tuvalu 1 oz Silver Coin Year of the Mouse Rotating Charm Coin Lunar Series,146877924126,"Jan 25, 2026",$165.00,$5.77,,,Fixed price,https://www.ebay.com/itm/146877924126
,,"Dec 27, 2025",$269.00,$25.00,,,Fixed price,
2020 Australian Lunar Series III $1 Year of the Mouse High Relief PF70 UC FR,146962181100,"Feb 6, 2026",$249.95,$6.20,,,Fixed price,https://www.ebay.com/itm/146962181100
,,"Nov 25, 2025",$51.99,$4.95,,,Fixed price,
,,"Jan 10, 2026",$295.00,$25.00,,,Fixed price,
Australia 1 $ 2020 Year of the Mouse Proof coloured 1 oz Silver Color Lunar III,147085228687,"Feb 20, 2026",$360.00,$25.00,,,Fixed price,https://www.ebay.com/itm/147085228687
2020 Australia Reverse Proof Year Of The Mouse 1/2 Oz .9999 Silver Coin,147113945156,"Jan 31, 2026",$65.00,$5.77,,,Fixed price,https://www.ebay.com/itm/147113945156
2020 LUNAR Year of the MOUSE 1oz $1 Silver Rotating Charm Coin NGC MS68 Antiqued,147195129541,"Mar 14, 2026",$155.50,$5.29,,,Auction,https://www.ebay.com/itm/147195129541
2020 Australia Lunar Year of the Mouse 1 Oz High Relief Silver Proof Coin RARE,157294594765,"Mar 29, 2026",$675.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157294594765
,,"Jan 2, 2026",$125.00,$0.00,,,Auction,
,,"Jan 4, 2026",$61.00,$4.95,,,Auction,
Australia 2020 Year of the Mouse PCGS MS70 FDI 1 Oz Pure $1 Silver Coin,157589062986,"Jan 23, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157589062986
2020-P Australia Lunar Series Year of the Mouse 1oz .9999 Fine Silver in Capsule,157641923064,"Jan 28, 2026",$125.00,$7.70,,,Auction,https://www.ebay.com/itm/157641923064
2020 Year of the Mouse Australian 1oz .999 Silver BU in Capsule,157645983310,"Feb 27, 2026",$115.00,$5.30,,,Fixed price,https://www.ebay.com/itm/157645983310
2020-P Australia S $1 Year of The Mouse NGC MS70 BERT Purple Core 1oz Silver,157722823934,"Mar 12, 2026",$120.00,$7.75,,,Fixed price,https://www.ebay.com/itm/157722823934
2020 Australia Opal Lunar Mouse 1oz .999 Silver Coin Perth Mint Box & COA,157743844842,"Mar 13, 2026",$400.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157743844842
New 2020 Australia 1 oz Silver Lunar Year of The Mouse New in Capsule,168090357211,"Jan 20, 2026",$117.38,$6.56,,,Auction,https://www.ebay.com/itm/168090357211
2020 $1 Australian Lunar Series III Year of the Mouse 1oz Silver Proof Coin,168200443732,"Mar 25, 2026",$249.94,$0.00,,,Fixed price,https://www.ebay.com/itm/168200443732
2020-P Australia Year of Mouse NGC MS70 1oz Silver Lunar Series III Gem,168285696078,"Apr 4, 2026",$123.49,$8.00,,,Fixed price,https://www.ebay.com/itm/168285696078
2020 Australian Lunar Series III Year of the Mouse 1oz Silver Proof High Relief,177292727705,"Jan 27, 2026",$675.00,$100.00,,,Fixed price,https://www.ebay.com/itm/177292727705
,,"Dec 24, 2025",$89.00,$0.00,,,Fixed price,
2020 Australia 1 oz .9999 Fine Silver Lunar Year of The Mouse Coin BU - Capsule,364896910770,"Mar 21, 2026",$105.20,$0.00,,,Fixed price,https://www.ebay.com/itm/364896910770,9
2020 Australia Lunar Year of the MOUSE GILDED 1oz Silver $1 Coin w/ OGP/BOX Gilt,223735327020,"Mar 9, 2026",$309.02,$23.64,,,Fixed price,https://www.ebay.com/itm/223735327020,7
,,"Jan 12, 2026",$45.91,$4.75,,,Fixed price,,20
2020 Australia Perth Mint Lunar Mouse Colorized 1/4 oz Silver Coin,167466888235,"Apr 11, 2026",$33.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167466888235,5
2020 Australia Colored Silver Lunar Year of the MOUSE NGC MS 70 1/2oz 50c Coin,264987653365,"Apr 11, 2026",$123.34,$0.00,,,Fixed price,https://www.ebay.com/itm/264987653365,5
,,"Nov 17, 2025",$68.31,$0.00,,,Fixed price,,7
2020 PROOF Silver Lunar Year of the MOUSE NGC PF70 1/2oz Coin Half Dollar FR,254358879783,"Apr 10, 2026",$116.12,$0.00,,,Fixed price,https://www.ebay.com/itm/254358879783,2
,,"Dec 30, 2025",$84.95,$4.65,,,Fixed price,,1
2020 $1 Australian 1 Oz Silver Bullion Lunar Coin • Year of the Mouse,177727616203,"Jan 14, 2026",$111.95,$4.65,,,Fixed price,https://www.ebay.com/itm/177727616203,1
2020 Australia Perth Mint Lunar Year of the Mouse BU 1/2 oz Silver (in Capsule),177746322109,"Jan 28, 2026",$70.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177746322109,1
,,"Jan 12, 2026",$86.65,$4.46,,,Fixed price,,1
2020 Australia Perth Mint Lunar Year of the Mouse BU 1/2 oz Silver (in Capsule),177819283467,"Jan 29, 2026",$73.99,$0.00,,,Fixed price,https://www.ebay.com/itm/177819283467,1
,,"Nov 21, 2025",$149.00,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$85.00,$4.76,,,Fixed price,,1
,,"Nov 4, 2025",$16.50,$4.99,,,Auction,,1
,,"Nov 29, 2025",$17.96,$4.99,,,Auction,,1
,,"Dec 9, 2025",$74.99,$0.00,,,Fixed price,,1
2020-P Australia Lunar Series Year of the Mouse 1oz .9999 Fine Silver in Capsule,187988276069,"Feb 3, 2026",$133.50,$4.99,,,Auction,https://www.ebay.com/itm/187988276069,1
2020 1/4 oz Australia Lunar Year of the Mouse Special Release Silver Colorized,188003403634,"Feb 7, 2026",$30.00,$5.30,,,Auction,https://www.ebay.com/itm/188003403634,1
2020 P SILVER AUSTRALIA $1 LUNAR YEAR OF THE MOUSE 1 OZ COIN IN CAPSULE,188025619710,"Feb 5, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188025619710,1
2020 1/4 oz Australia Lunar Year of the Mouse Special Release Silver Colorized,188051291635,"Feb 21, 2026",$33.00,$5.50,,,Auction,https://www.ebay.com/itm/188051291635,1
2020 Australian- 1oz Silver Proof- Year of the Mouse- Lunar Series III w/COA,188089420447,"Feb 24, 2026",$198.00,$6.95,,,Fixed price,https://www.ebay.com/itm/188089420447,1
,,"Dec 22, 2025",$42.95,$4.95,,,Fixed price,,1
,,"Dec 28, 2025",$83.00,$4.99,,,Fixed price,,1
,,"Dec 29, 2025",$83.00,$5.58,,,Auction,,1
2020 Lunar Year of the Mouse 1 oz Silver Colorized $1.00 Dollar(Extremely Rare),206087640168,"Feb 24, 2026",$188.88,$0.00,,,Fixed price,https://www.ebay.com/itm/206087640168,1
2020 Australia Perth Mint Lunar Mouse Colorized 1/4 oz of Silver Coin,206096085147,"Mar 1, 2026",$36.50,$0.00,,,Fixed price,https://www.ebay.com/itm/206096085147,1
2020 Australia Lunar Year of the Mouse Gilded 1 oz .9999 Silver Coin in Capsule,206187631028,"Apr 3, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206187631028,1
2020 Australia Opal Series Lunar Year of the Mouse 1oz Silver Proof $1 Coin,223829692970,"Jan 24, 2026",$517.27,$33.29,,,Fixed price,https://www.ebay.com/itm/223829692970,1
,,"Dec 12, 2025",$66.95,$0.00,,,Fixed price,,1
2020 Australia 1 oz .9999 Fine Silver Lunar Year of The Mouse Coin BU - Capsule,227148806906,"Dec 29, 2025",$91.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227148806906,1
2020 P Australia 1 Oz .999 Fine Silver Lunar Year of the Mouse NGC MS 70,227169869891,"Jan 13, 2026",$119.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227169869891,1
2020 Australian- 1oz Silver Proof- Year of the Mouse- Lunar Series III w/COA,227180107398,"Jan 21, 2026",$175.00,$6.25,,,Fixed price,https://www.ebay.com/itm/227180107398,1
,,"Oct 20, 2025",$40.00,$4.00,,,Fixed price,,1
RARE NGC ERROR 2020 LUNAR Year of the MOUSE 1oz $1 Silver Rotating Charm Coin,254507177194,"Jan 25, 2026",$233.20,$0.00,,,Fixed price,https://www.ebay.com/itm/254507177194,1
2020 Australia OPAL LUNAR Year of the MOUSE 1 oz Silver Proof Coin NGC PF70 ER,254517633899,"Jan 3, 2026",$496.00,$30.00,,,Fixed price,https://www.ebay.com/itm/254517633899,1
,,"Dec 18, 2025",$59.00,$5.09,,,Fixed price,,1
2020 AUSTRALIAN LUNAR YEAR OF THE MOUSE 1 OZ,257298428226,"Jan 19, 2026",$125.95,$0.00,,,Fixed price,https://www.ebay.com/itm/257298428226,1
2020 Australia 1/2 oz Lunar Year of the Mouse 9999 Silver Coin,257352614401,"Mar 2, 2026",$78.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257352614401,1
Australian Lunar Series III 2020 Year Of The Mouse 1/10 oz Gold Proof Coin RARE!,257366702371,"Feb 28, 2026","$1,050.00",$5.20,,,Fixed price,https://www.ebay.com/itm/257366702371,1
2020 Australia GILDED Silver Lunar Year of the MOUSE NGC MS70 1oz $1 Coin GILT,264503496417,"Dec 20, 2025",$299.99,$0.00,,,Fixed price,https://www.ebay.com/itm/264503496417,1
2020 Australia OPAL LUNAR Year of the MOUSE 1 oz Silver Proof Coin NGC PF70 FR,264615857784,"Apr 11, 2026",$697.87,$0.00,,,Fixed price,https://www.ebay.com/itm/264615857784,1
2020 Australia PROOF Silver Lunar Year of the MOUSE NGC PF70 1oz $1 Coin RED LB,264987622752,"Jan 5, 2026",$197.99,$28.36,,,Fixed price,https://www.ebay.com/itm/264987622752,1
,,"Dec 31, 2025",$118.99,$5.00,,,Fixed price,,1
,,"Oct 20, 2025",$152.00,$0.00,,,Fixed price,,4
,,"Oct 30, 2025",$189.50,$0.00,,,Fixed price,,1
2020 Australia $1 1oz .9999 Silver Lunar Year of the Mouse Colorized Coloured,267468148091,"Feb 8, 2026",$218.49,$23.05,,,Fixed price,https://www.ebay.com/itm/267468148091,1
2020 Perth MINT Lunar Year of The Mouse 1 oz Silver Dragon Privy BU Australian,267598594471,"Mar 11, 2026",$129.99,$5.89,,,Fixed price,https://www.ebay.com/itm/267598594471,1
,,"Oct 26, 2025",$170.00,$0.00,,,Fixed price,,1
,,"Dec 15, 2025","$1,333.00",$0.00,,,Fixed price,,1
2020 Australia GILDED Silver Lunar Year of the MOUSE NGC MS70 1oz $1 Coin GILT,277479231422,"Jan 31, 2026",$170.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277479231422,1
2020-P $1 Australia Silver 1oz Lunar Year of the Mouse PCGS MS70 First Strike,277711811187,"Feb 27, 2026",$144.00,$5.52,,,Fixed price,https://www.ebay.com/itm/277711811187,1
NL - Lot of 2 Australian Silver Lunars - 1/2 OZ - 2010 Tiger - 2020 Mouse,287039809265,"Jan 19, 2026",$100.00,$5.00,,,Fixed price,https://www.ebay.com/itm/287039809265,1
Perth Mint Australian Lunar 2020 Mouse 1/2 oz 0.9999 Silver Coin 50 Cents,287164340088,"Mar 1, 2026",$52.00,$5.20,,,Auction,https://www.ebay.com/itm/287164340088,1
Perth Mint Australian Lunar Mouse 2020 1/2 oz Silver Coin 50 Cents,287164342733,"Mar 4, 2026",$49.99,$5.20,,,Auction,https://www.ebay.com/itm/287164342733,1
"2020-P $1 Australia Silver 1oz Lunar Year of the Mouse, FREE SHIPPING, 3/5",287181833927,"Mar 27, 2026",$134.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287181833927,1
2020 Australia Lunar Year of The Mouse Dragon Privy 1oz Silver coin,297987535772,"Feb 10, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297987535772,1
Australia 2020 Year of the Mouse 1/2 oz Perth Mint Silver Coin,297990190677,"Feb 3, 2026",$56.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297990190677,1
2020 Australian Opal Lunar Series Year of The Mouse 1 Oz Silver Proof Coin,298092714360,"Mar 6, 2026",$400.00,$9.65,,,Auction,https://www.ebay.com/itm/298092714360,1
,,"Dec 11, 2025",$69.99,$0.00,,,Fixed price,,1
Australian Lunar Series III 2020 Year Of The Mouse 1/10 Oz Gold Proof Coin,306718383384,"Jan 18, 2026",$615.00,$5.07,,,Fixed price,https://www.ebay.com/itm/306718383384,1
2020 P SILVER AUSTRALIA $1 LUNAR YEAR OF THE MOUSE 1 OZ COIN IN CAPSULE,306736267601,"Jan 30, 2026",$143.00,$5.95,,,Fixed price,https://www.ebay.com/itm/306736267601,1
,,"Oct 24, 2025",$48.00,$10.60,,,Fixed price,,1
,,"Dec 22, 2025",$74.99,$6.99,,,Fixed price,,1
