Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Dec 18, 2025",$257.00,$0.00,,,Auction,,1
Lot of Three 2021 Austria 1.50 Euro 1oz Silver Vienna Philharmonic Coins,137032740551,"Feb 19, 2026",$263.00,$0.00,,,Auction,https://www.ebay.com/itm/137032740551,1
Lot of Four 2021 Austria 1.50 Euro 1oz Silver Vienna Philharmonic Coins,137110607055,"Mar 16, 2026",$339.00,$0.00,,,Auction,https://www.ebay.com/itm/137110607055,1
Two 2021 Austria 1.50 Euro 1oz Silver Vienna Philharmonic Coins,137122284885,"Mar 19, 2026",$172.60,$0.00,,,Auction,https://www.ebay.com/itm/137122284885,1
,,"Nov 16, 2025",$110.00,$0.00,,,Auction,,1
"2021 NGC MS69 1,5 Euro Austria Vienna Philharmonic 1oz .999 Silver Coin MS-69",147135554699,"Feb 22, 2026",$105.00,$5.25,,,Fixed price,https://www.ebay.com/itm/147135554699,1
,,"Nov 16, 2025",$64.00,$0.00,,,Auction,,1
,,"Nov 20, 2025",$53.00,$0.00,,,Auction,,1
,,"Nov 22, 2025",$57.00,$0.00,,,Auction,,1
,,"Dec 22, 2025",$67.00,$0.00,,,Auction,,1
,,"Dec 27, 2025",$89.00,$0.00,,,Auction,,1
,,"Dec 28, 2025",$94.00,$0.00,,,Auction,,1
,,"Jan 3, 2026",$78.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$81.00,$0.00,,,Auction,,1
,,"Jan 7, 2026",$92.00,$0.00,,,Auction,,1
,,"Jan 8, 2026",$74.00,$0.00,,,Auction,,1
,,"Jan 9, 2026",$88.00,$0.00,,,Auction,,1
,,"Jan 11, 2026",$99.00,$0.00,,,Auction,,1
,,"Jan 16, 2026",$88.00,$0.00,,,Auction,,1
,,"Jan 19, 2026",$112.00,$0.00,,,Auction,,1
,,"Jan 24, 2026",$99.99,$5.15,,,Fixed price,,1
,,"Jan 23, 2026",$100.00,$4.50,,,Auction,,1
,,"Jan 25, 2026",$100.00,$7.70,,,Fixed price,,1
,,"Dec 7, 2025",$56.00,$0.00,,,Fixed price,,1
,,"Jan 21, 2026",$94.00,$5.52,,,Auction,,1
2021 Austrian Philharmonic 1oz .999 Fine Silver BU,236635284507,"Feb 18, 2026",$87.99,$5.68,,,Auction,https://www.ebay.com/itm/236635284507,1
,,"Jan 18, 2026",$489.99,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$485.44,$7.31,,,Auction,,1
,,"Feb 1, 2026",$196.50,$1.19,,,Auction,,1
,,"Jan 12, 2026",$90.00,$4.87,,,Fixed price,,1
,,"Jan 16, 2026",$88.35,$0.00,,,Fixed price,,1
,,"Jan 16, 2026",$88.35,$0.00,,,Fixed price,,1
,,"Nov 15, 2025",$56.00,$0.00,,,Auction,,1
,,"Nov 24, 2025",$55.50,$0.00,,,Auction,,1
,,"Nov 25, 2025",$57.00,$0.00,,,Auction,,1
,,"Dec 4, 2025",$57.00,$0.00,,,Auction,,1
,,"Dec 5, 2025",$64.00,$0.00,,,Auction,,1
,,"Dec 6, 2025",$56.00,$0.00,,,Auction,,1
,,"Dec 17, 2025",$67.00,$0.00,,,Auction,,1
,,"Dec 18, 2025",$71.00,$0.00,,,Auction,,1
,,"Dec 20, 2025",$62.26,$0.00,,,Auction,,1
,,"Jan 6, 2026",$84.00,$0.00,,,Auction,,1
,,"Jan 8, 2026",$82.00,$0.00,,,Auction,,1
,,"Jan 9, 2026",$80.00,$0.00,,,Auction,,1
,,"Jan 11, 2026",$93.00,$0.00,,,Auction,,1
,,"Jan 12, 2026",$83.00,$0.00,,,Auction,,1
,,"Jan 13, 2026",$90.00,$0.00,,,Auction,,1
,,"Jan 13, 2026",$89.00,$0.00,,,Auction,,1
,,"Jan 17, 2026",$98.00,$0.00,,,Auction,,1
,,"Jan 18, 2026",$112.00,$0.00,,,Auction,,1
