Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2021 Great Britain 1/4 oz Silver Britannia (BU) ~ PREMIUM FRACTIONAL SILVER,389950950867,"May 4, 2026",$24.00,$5.48,,,Fixed price,https://www.ebay.com/itm/389950950867,1
2021 Great Britain 2 Pound Silver Britannia 1 Oz Silver *5679,366373397701,"May 4, 2026",$98.00,$0.00,,,Auction,https://www.ebay.com/itm/366373397701,1
2021 Great Britain £2 Silver Britannia 1oz .999 BU Brilliant Uncirculated,197535384607,"May 2, 2026",$106.40,$0.00,,,Fixed price,https://www.ebay.com/itm/197535384607,11
Roll Of 25 1 oz .999 Silver 2021 Great Britain Britannia 2 Pounds,298270214816,"May 1, 2026","$1,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/298270214816,1
2021 Great Britain 1 oz Proof Silver Britannia - Box+COA,225594113500,"Apr 29, 2026",$165.00,$8.30,,,Fixed price,https://www.ebay.com/itm/225594113500,1
2021 Great Britain NGC MS69 Silver Britannia 1 oz Silver Coin,318164676945,"Apr 28, 2026",$89.88,$5.62,,,Auction,https://www.ebay.com/itm/318164676945,1
2021 Great Britain 1 oz Silver Music Legends: David Bowie BU,233899804678,"Apr 25, 2026",$89.70,$0.00,,,Fixed price,https://www.ebay.com/itm/233899804678,45
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *029,137235464444,"Apr 24, 2026",$89.88,$0.00,,,Auction,https://www.ebay.com/itm/137235464444,1
2021 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin #w047,127818703799,"Apr 24, 2026",$74.00,$2.47,,,Auction,https://www.ebay.com/itm/127818703799,1
2021 Great Britain 1 oz Silver Music Legends: The Who BU,146356925905,"Apr 22, 2026",$89.06,$0.00,,,Fixed price,https://www.ebay.com/itm/146356925905,17
2021 Great Britain Britannia 1 ounce / .999 Fine Silver Coin B/U,318173655415,"Apr 21, 2026",$80.00,$5.29,,,Fixed price,https://www.ebay.com/itm/318173655415,1
2021 Great Britain Britannia .999 Fine silver 1/4 Ounce 50 Pence Coin _ Lot of 4,306880276201,"Apr 21, 2026",$86.00,$2.41,,,Auction,https://www.ebay.com/itm/306880276201,1
2021 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin Capsule,188288329578,"Apr 20, 2026",$88.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188288329578,1
2021 1 oz Great Britain Britannia - New security silver BU coin in capsule,295989070820,"Apr 17, 2026",$97.55,$0.00,,,Fixed price,https://www.ebay.com/itm/295989070820,19
2021 UK Great Britain - 50 Pence -1/4 oz. - Silver - BU lot of 5 in capsules.,406857547177,"Apr 17, 2026",$120.99,$0.00,,,Fixed price,https://www.ebay.com/itm/406857547177,1
2021 Great Britain .999 1/4 oz Silver Britannia Uncirculated 4 Coins in Capsule,188279152209,"Apr 16, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188279152209,4
2021 UK Great Britain - 50 Pence -1/4 oz. - Silver - BU and 2025 Penny W/Capsule,406710602110,"Apr 15, 2026",$26.99,$4.07,,,Fixed price,https://www.ebay.com/itm/406710602110,7
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *011,127797753115,"Apr 14, 2026",$82.00,$0.00,,,Auction,https://www.ebay.com/itm/127797753115,1
2021 Great Britain Britannia 1 ounce / .999 Fine Silver Coin B/U,257421165546,"Apr 14, 2026",$93.50,$0.00,,,Fixed price,https://www.ebay.com/itm/257421165546,1
2021 GREAT BRITAIN 1OZ SILVER BRITANNIA NGC MS70 FIRST RELEASES - NEW SECURITY,224628804500,"Apr 4, 2026",$269.00,$7.55,,,Fixed price,https://www.ebay.com/itm/224628804500,1
2021 Great Britain Britannia 2oz Silver Coin NGC PF 69 UCAM,267608304475,"Apr 4, 2026",$310.00,$5.77,,,Fixed price,https://www.ebay.com/itm/267608304475,1
2021 Great Britain 1 oz Silver Bitcoin Britannia Colorized .999 Fine Silver BU,117124139438,"Apr 3, 2026",$159.00,$5.95,,,Fixed price,https://www.ebay.com/itm/117124139438,1
2021 Great Britain 1 oz .999 Silver Britannia - NGC MS 69 - SKU-Q3508,317931472226,"Mar 28, 2026",$94.50,$5.50,,,Fixed price,https://www.ebay.com/itm/317931472226,1
2021 Great Britain 1oz .999 Silver Coin Robin Hood NGC Graded MS69 Purple Holder,366287950487,"Mar 25, 2026",$94.00,$5.52,,,Auction,https://www.ebay.com/itm/366287950487,1
LOT OF 100 2021 1 oz SILVER Great Britain BRITANNIA COINS .999 ounce TUBES 100oz,366292274239,"Mar 25, 2026",$570.00,$0.00,,,Auction,https://www.ebay.com/itm/366292274239,1
2021 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *933,137145676782,"Mar 25, 2026",$89.08,$0.00,,,Auction,https://www.ebay.com/itm/137145676782,1
2021 Great Britain Britannia 2 Pounds 1 oz .999 Fine Silver UK Coin lot of 9,188180646861,"Mar 23, 2026",$663.50,$17.50,,,Auction,https://www.ebay.com/itm/188180646861,1
2021 Great Britain 1/4 oz Silver Britannia (BU),155529590959,"Mar 21, 2026",$38.28,$0.00,,,Fixed price,https://www.ebay.com/itm/155529590959,3
2021 Great Britain 10 Pounds - 1/10 Oz. Silver Britannia World Coin- Silver *946,127740876931,"Mar 20, 2026",$33.00,$0.00,,,Auction,https://www.ebay.com/itm/127740876931,1
2021 1oz 999 Great Britain Silver Britannia 2LBs Coin The British Royal Mint,177956313823,"Mar 20, 2026",$81.00,$4.25,,,Auction,https://www.ebay.com/itm/177956313823,1
2021 Great Britain .999 1/4 oz Silver Britannia Uncirculated 4 Coins in Capsule,406781487894,"Mar 18, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/406781487894,1
,,"Mar 18, 2026",$90.00,$0.00,,,Auction,,1
2021 Robin Hood MINT ERROR Great Britain 1 Oz Silver Myths & Legends £2 NGC MS69,257362428697,"Mar 17, 2026",$150.00,$1.99,,,Fixed price,https://www.ebay.com/itm/257362428697,1
2021 Great Britain 1 oz 999 Silver Music Legends The Who Brilliant Uncirculated,234040431278,"Mar 16, 2026",$91.60,$0.00,,,Fixed price,https://www.ebay.com/itm/234040431278,22
2021 Great Britain £2 Silver Britannia 1oz .999 BU Brilliant Uncirculated,389727237311,"Mar 15, 2026",$85.00,$5.29,,,Auction,https://www.ebay.com/itm/389727237311,1
2021 Great Britain Myths and Legends Robin Hood 1 oz. .999 Pure Silver Coin,317941307827,"Mar 14, 2026",$89.00,$2.50,,,Auction,https://www.ebay.com/itm/317941307827,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver,317983240091,"Mar 11, 2026",$87.40,$4.00,,,Fixed price,https://www.ebay.com/itm/317983240091,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *641,366246441666,"Mar 11, 2026",$92.00,$0.00,,,Auction,https://www.ebay.com/itm/366246441666,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *099,137095225255,"Mar 11, 2026",$98.00,$0.00,,,Auction,https://www.ebay.com/itm/137095225255,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *675,127715064660,"Mar 9, 2026",$93.01,$0.00,,,Auction,https://www.ebay.com/itm/127715064660,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *678,366241334659,"Mar 9, 2026",$100.99,$0.00,,,Auction,https://www.ebay.com/itm/366241334659,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *681,366241313433,"Mar 9, 2026",$99.00,$0.00,,,Auction,https://www.ebay.com/itm/366241313433,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *690,137085929595,"Mar 8, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/137085929595,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *673,366238918280,"Mar 8, 2026",$98.99,$0.00,,,Auction,https://www.ebay.com/itm/366238918280,1
2021 Great Britain Robin Hood 1oz .999 Silver Myths & Legends Coin,358291169353,"Mar 8, 2026",$105.50,$5.00,,,Auction,https://www.ebay.com/itm/358291169353,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *644,366238588643,"Mar 8, 2026",$100.99,$0.00,,,Auction,https://www.ebay.com/itm/366238588643,1
2021 Great Britain 2 Pd Silver 1 Oz. Britannia with Lion Reverse Proof,306350878251,"Mar 8, 2026",$165.00,$7.95,,,Fixed price,https://www.ebay.com/itm/306350878251,1
2021 Great Britain 2 Pounds - 1 Oz Silver Britannia World Coin- Silver,188107712851,"Mar 7, 2026",$86.00,$0.00,,,Auction,https://www.ebay.com/itm/188107712851,1
Lot Of (5) 2021 Great Britain 1/10 Oz Silver Britannia Coins,327026508709,"Mar 7, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/327026508709,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *717,366233648821,"Mar 6, 2026",$91.55,$0.00,,,Auction,https://www.ebay.com/itm/366233648821,1
