Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
🔥 2021 MEXICO 1oz SILVER ONZA PCGS REVERSE PROOF LIBERTAD PR70 Mintage of 1000!,306883409213,"Apr 20, 2026","$1,350.00",$15.00,,,Fixed price,https://www.ebay.com/itm/306883409213,1
2021 MEXICO 1oz SILVER ONZA PCGS REVERSE PROOF LIBERTAD PR70 MINTAGE ONLY 1000,188264902636,"Apr 17, 2026","$1,375.00",$0.00,,,Auction,https://www.ebay.com/itm/188264902636,1
2021 MEXICO 1oz SILVER ONZA PCGS BRIGHT PROOF LIBERTAD PR70 Top Of Pop,389664821580,"Feb 24, 2026",$325.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389664821580,1
,,"Jan 16, 2026",$750.00,$0.00,,,Fixed price,,1
,,"Jan 8, 2026",$176.22,$4.79,,,Auction,,1
,,"Dec 31, 2025",$725.00,$0.00,,,Fixed price,,1
,,"Dec 26, 2025","$1,173.60",$50.06,,,Auction,,1
,,"Dec 22, 2025",$764.10,$0.00,,,Fixed price,,1
,,"Dec 9, 2025",$104.00,$7.45,,,Fixed price,,3
,,"Nov 30, 2025",$85.00,$8.80,,,Auction,,1
