Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2022 Australia Kookaburra 1oz $1 Pure Silver .9999 Bullion Coin in Mint Capsule,324817382105,"Jan 23, 2026",$80.44,$0.00,,,Fixed price,https://www.ebay.com/itm/324817382105,22
2022 P Australia 1 oz 999 Fine Silver Kookaburra $1 Coin Brilliant Uncirculated,363616105079,"Mar 28, 2026",$111.58,$0.00,,,Fixed price,https://www.ebay.com/itm/363616105079,9
,,"Jan 4, 2026",$83.28,$0.00,,,Fixed price,,8
2022 ANDA Perth Money Expo Kookaburra 1oz Silver Coin Numbat Privy,135704264294,"Jan 25, 2026",$101.33,$8.23,,,Fixed price,https://www.ebay.com/itm/135704264294,6
,,"Jan 19, 2026",$99.00,$0.00,,,Fixed price,,20
,,"Jan 18, 2026",$98.66,$0.00,,,Fixed price,,6
2022 P Australia Silver Kookaburra NGC MS 70 $1 1 oz Coin Blue FR Label PERFECT,255246951601,"Feb 27, 2026",$117.77,$68.50,,,Fixed price,https://www.ebay.com/itm/255246951601,9
2022 Kookaburra 1oz Silver $1 Coin Platypus Privy Sydney Expo NGC MS69 ANDA ER,265989799922,"Jan 23, 2026",$105.33,$17.09,,,Fixed price,https://www.ebay.com/itm/265989799922,6
2022 P Australia Silver Kookaburra NGC MS 70 $1 1 oz Coin Flag ER Label PERFECT,255235348096,"Jan 22, 2026",$106.41,$0.00,,,Fixed price,https://www.ebay.com/itm/255235348096,5
2022 P Australia Silver Kookaburra NGC MS 70 $1 1 oz Coin Flag FR Label PERFECT,255246936737,"Jan 24, 2026",$107.37,$0.00,,,Fixed price,https://www.ebay.com/itm/255246936737,10
2022 Australia Silver Kookaburra NGC MS70 $1 1oz Coin Flag FR Black Core Label,265422477877,"Feb 14, 2026",$134.97,$66.25,,,Fixed price,https://www.ebay.com/itm/265422477877,10
,,"Nov 12, 2025",$60.35,$0.00,,,Fixed price,,5
,,"Jan 14, 2026",$81.01,$9.00,,,Fixed price,,4
1PCs Non-Magnetic Australia .999 Silver Coins Crocodile + Kookaburra + Spider +K,198149275030,"Mar 23, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/198149275030,7
2022 Berlin Show Virtual WMF Australia Kookaburra Silver NGC MS70 1oz $1 Coin ER,255448302569,"Apr 25, 2026",$263.11,$70.65,,,Fixed price,https://www.ebay.com/itm/255448302569,4
,,"Jan 24, 2026",$102.10,$0.00,,,Fixed price,,5
2022 P Australia Silver Kookaburra NGC MS 70 $1 1 oz Coin Blue ER Label PERFECT,265513969867,"Jan 19, 2026",$121.57,$0.00,,,Fixed price,https://www.ebay.com/itm/265513969867,4
The effigy of Queen Elizabeth II on Kookaburra Coin 1oz $1 Silver .9999 2022,325410647068,"Jan 18, 2026",$86.95,$0.00,,,Fixed price,https://www.ebay.com/itm/325410647068,5
,,"Jan 18, 2026",$94.38,$5.35,,,Fixed price,,13
2022 Australia 1 oz Silver Kookaburra BU,115044454870,"Mar 18, 2026",$87.92,$0.00,,,Fixed price,https://www.ebay.com/itm/115044454870,5
2022 ANDA Brisbane Money Show Kookaburra 1oz Silver Coin Koala Privy,133565445484,"Dec 28, 2025",$80.33,$6.30,,,Fixed price,https://www.ebay.com/itm/133565445484,3
,,"Jan 23, 2026",$106.00,$0.00,,,Fixed price,,3
Lot Of (5) 2022 Australia Kookaburra 1 oz.Silver Coin B/U From Mint Roll,226759781771,"Dec 19, 2025",$328.45,$0.00,,,Fixed price,https://www.ebay.com/itm/226759781771,4
,,"Nov 9, 2025",$57.16,$5.02,,,Fixed price,,4
2022 Australia Silver Kookaburra NGC MS69 $1 1oz Coin ER Black Core Label,265513690222,"Jan 4, 2026",$79.12,$0.00,,,Fixed price,https://www.ebay.com/itm/265513690222,7
2022 Kookaburra 1oz Silver $1 Coin Possum Privy Melbourne Expo NGC MS69 ANDA ER,265826304028,"Mar 13, 2026",$126.75,$0.00,,,Fixed price,https://www.ebay.com/itm/265826304028,3
2022 ANDA BRISBAN Expo Special Kookaburra 1oz $1 Silver Coin w/ KOALA PRIVY MARK,325166379500,"Jan 24, 2026",$117.52,$0.00,,,Fixed price,https://www.ebay.com/itm/325166379500,3
2022 Tuvalu 1oz Silver 60 Years Of James Bond PCGS MS70 Blue Label,136820507666,"Feb 2, 2026",$142.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136820507666,2
2022 Kookaburra 1oz Silver Coin Koala Privy Brisbane Money Expo NGC MS70 ANDA FR,255560495354,"Apr 17, 2026",$195.16,$0.00,,,Fixed price,https://www.ebay.com/itm/255560495354,2
2022 Kookaburra 1oz Silver Coin Numbat Privy Perth Money Expo NGC MS70 ANDA FR,255636122796,"Jan 23, 2026",$132.89,$0.00,,,Fixed price,https://www.ebay.com/itm/255636122796,2
2022 effigy of Queen Elizabeth II on Silver Kookaburra NGC MS70 $1 1oz Coin,255730545529,"Apr 17, 2026",$121.86,$0.00,,,Fixed price,https://www.ebay.com/itm/255730545529,2
,,"Dec 28, 2025",$90.49,$0.00,,,Fixed price,,2
