Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2022 Austrian Gold Philharmonic 1/10 Oz .999 Fine Gold,297997259802,"Feb 26, 2026",$555.33,$0.00,,,Fixed price,https://www.ebay.com/itm/297997259802,3
,,"Dec 26, 2025",$480.00,$7.80,,,Auction,,1
1/10 oz Austria Philharmonic Gold 2022 Year 1/10 oz .9999 fine Gold Coin,137037253744,"Feb 15, 2026",$530.00,$5.00,,,Fixed price,https://www.ebay.com/itm/137037253744,1
"2022 Austria 10 Euro 1/10oz Gold Philharmonic Coin, .999 Gold BU",147126503062,"Feb 6, 2026",$531.00,$6.00,,,Auction,https://www.ebay.com/itm/147126503062,1
,,"Nov 22, 2025",$500.00,$25.80,,,Fixed price,,1
Austrian 1/10 oz 2022 Philharmonic Gold Coin In Capsule,187995326407,"Jan 29, 2026",$600.00,$0.00,,,Auction,https://www.ebay.com/itm/187995326407,1
2022 Gold 1/10 oz Austria Philharmonic 10 Euro .9999 fine Gold Coin BU,227216405613,"Feb 13, 2026",$526.39,$0.00,,,Fixed price,https://www.ebay.com/itm/227216405613,3
,,"Nov 3, 2025",$176.00,$4.76,,,Fixed price,,1
,,"Oct 19, 2025",$450.00,$3.00,,,Auction,,1
A 2022 1/25 OZ .9999 GOLD AUSTRIA PHILHARMONIC 4 EURO COIN,306809084385,"Mar 14, 2026",$230.01,$5.00,,,Auction,https://www.ebay.com/itm/306809084385,1
2022 .9999 Fine Gold Austrian Philharmonic (4 Euro) Coin 1/25 Oz Beautiful Coin!,358315480258,"Mar 16, 2026",$232.50,$5.56,,,Auction,https://www.ebay.com/itm/358315480258,1
,,"Dec 23, 2025",$476.00,$8.99,,,Auction,,1
