Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2023 $5 Gold Eagle 1/10 oz Fine Gold Coin PCGS MS 70 First Day Issue ~ Hall Sig,198331488114,"May 16, 2026",$550.00,$8.50,,,Fixed price,https://www.ebay.com/itm/198331488114,1
1/10 oz gold $ US coin,358534309866,"May 15, 2026",$520.00,$5.83,,,Auction,https://www.ebay.com/itm/358534309866,1
2023 American Gold Eagle Coin 1/10 oz,137307272280,"May 13, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137307272280,3
1/10 Oz. Gold 2023 $5 American Eagle NGC MS69,168371369411,"May 12, 2026",$485.00,$9.45,,,Fixed price,https://www.ebay.com/itm/168371369411,1
2023 $5 American Gold Eagle 1/10 oz Gold Coin,327151915476,"May 12, 2026",$450.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327151915476,1
2023 $5 1/10 oz. American Gold Eagle 🦅 NR,137275886270,"May 9, 2026",$500.00,$8.60,,,Auction,https://www.ebay.com/itm/137275886270,1
2023 $5 AMERICAN EAGLE 1/10 OZ .999 FINE GOLD! UNCIRCULATED GOLD COIN!,389975937749,"May 9, 2026",$490.00,$12.95,,,Auction,https://www.ebay.com/itm/389975937749,1
2023 $5 AMERICAN GOLD EAGLE PCGS MS 70 REAGAN,397907456183,"May 8, 2026",$551.55,$4.25,,,Fixed price,https://www.ebay.com/itm/397907456183,1
2023 $5 1/10 oz. American Gold Eagle BU,358521189513,"May 5, 2026",$500.00,$5.72,,,Fixed price,https://www.ebay.com/itm/358521189513,2
2023 American Gold Eagle 1/4 Oz $10- BU,358502311418,"May 2, 2026","$1,251.00",$0.00,,,Auction,https://www.ebay.com/itm/358502311418,1
2023-W $5 American Gold Eagle Anna Cabral FDOI 1/10 Oz Gold PF70 UCAM NGC *6968,127826478645,"May 1, 2026",$645.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127826478645,1
American Gold Eagle 2023 1/10 oz,397893360425,"Apr 30, 2026",$500.00,$15.00,,,Fixed price,https://www.ebay.com/itm/397893360425,1
2023 $10 1/4 oz Gold American Eagle - Anna Cabral - NGC MS 70 - SKU-G6125,227222352542,"Apr 27, 2026","$1,425.00",$12.50,,,Fixed price,https://www.ebay.com/itm/227222352542,1
A 2023 $5 American Gold Eagle 1/10 oz Brilliant Uncirculated No Reserve!!!!,306889338860,"Apr 25, 2026",$520.00,$5.00,,,Auction,https://www.ebay.com/itm/306889338860,1
🔥🔥2023 Gold Eagle $5 ~ICG MS70~ 1/10 Oz Gold #141,336546495672,"Apr 25, 2026",$532.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336546495672,1
2023 1/10 oz American Gold Eagle $5 PCGS MS-70 FDOI - Signed by David Hall,227291155071,"Apr 21, 2026",$800.00,$5.45,,,Fixed price,https://www.ebay.com/itm/227291155071,1
2023 $5 1/10oz Gold American Eagle,397824782172,"Apr 19, 2026",$530.00,$0.00,,,Auction,https://www.ebay.com/itm/397824782172,1
2023 Gold Eagle 1/10 Oz 5 Dollar NGC MS 70. Thomas J. Uram signed,236749557338,"Apr 17, 2026",$535.00,$16.95,,,Auction,https://www.ebay.com/itm/236749557338,1
2023 1/4 oz American Gold Eagle G$10 NGC MS70 Brown Label,198272451275,"Apr 16, 2026","$1,293.00",$0.00,,,Auction,https://www.ebay.com/itm/198272451275,1
