Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Lot of 10 - 2023 $1 Silver American Eagles 1 oz BU,267663723803,"May 8, 2026",$750.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267663723803,1
2023 American Silver Eagle - BU,137269202375,"May 7, 2026",$81.63,$5.50,,,Auction,https://www.ebay.com/itm/137269202375,1
2023 Silver Eagle bu,198268690221,"May 7, 2026",$87.85,$6.85,,,Fixed price,https://www.ebay.com/itm/198268690221,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine BU,117173000260,"May 4, 2026",$81.99,$5.48,,,Fixed price,https://www.ebay.com/itm/117173000260,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,366363341166,"May 2, 2026",$75.00,$1.21,,,Auction,https://www.ebay.com/itm/366363341166,1
Lot of 10 - 2023 $1 American Silver Eagle 1 oz BU,327128787527,"May 1, 2026",$781.90,$8.75,,,Auction,https://www.ebay.com/itm/327128787527,1
Roll of 20 - 2023 $1 American Silver Eagle 1 oz BU,327128785802,"May 1, 2026","$1,575.00",$6.69,,,Auction,https://www.ebay.com/itm/327128785802,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,188337200518,"May 1, 2026",$74.00,$5.72,,,Fixed price,https://www.ebay.com/itm/188337200518,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,377139017995,"May 1, 2026",$83.78,$2.17,,,Auction,https://www.ebay.com/itm/377139017995,1
2023 1 oz American Silver Eagle Coin (BU),188322212136,"Apr 30, 2026",$75.00,$5.83,,,Fixed price,https://www.ebay.com/itm/188322212136,1
"2023 🔥 AMERICAN SILVER EAGLE - 1 oz .999 Silver, BU - In Case",277919670227,"Apr 29, 2026",$82.00,$3.99,,,Auction,https://www.ebay.com/itm/277919670227,1
2023 American Silver Eagle 1 oz $1 - BU - Ten 10 Coins,406873252236,"Apr 28, 2026",$825.19,$0.00,,,Fixed price,https://www.ebay.com/itm/406873252236,1
2023 American Eagle Silver Dollar 1oz .999 FINE SILVER BU,137096247033,"Apr 27, 2026",$85.00,$18.48,,,Fixed price,https://www.ebay.com/itm/137096247033,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,298265552727,"Apr 27, 2026",$87.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298265552727,2
"2023 🔥 AMERICAN SILVER EAGLE - 1 oz .999 Silver, BU - In Case",277919678144,"Apr 27, 2026",$83.00,$2.52,,,Auction,https://www.ebay.com/itm/277919678144,1
2023 - 1 oz American Silver Eagle BU Coin - One Troy oz .999 Bullion,298233937518,"Apr 26, 2026",$72.00,$8.75,,,Auction,https://www.ebay.com/itm/298233937518,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,298237401086,"Apr 26, 2026",$87.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298237401086,2
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,318169146005,"Apr 25, 2026",$80.00,$4.65,,,Auction,https://www.ebay.com/itm/318169146005,1
2023 American Silver Eagle BU 1 oz #SC,137246825019,"Apr 24, 2026",$88.85,$0.00,,,Fixed price,https://www.ebay.com/itm/137246825019,1
Lot Of 5 American Silver Eagles 1oz BU 2023 West Point,127822809379,"Apr 23, 2026",$375.00,$4.99,,,Fixed price,https://www.ebay.com/itm/127822809379,1
2023 1 oz American Silver Eagle Coin (BU),188301754909,"Apr 22, 2026",$80.00,$5.39,,,Fixed price,https://www.ebay.com/itm/188301754909,1
2023 American Eagles Roll / 20 Troy Ounces .999 Fine Silver / U.S. Mint Tube BU,257437047894,"Apr 20, 2026","$1,700.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257437047894,1
2023 American Silver Eagle 1 Troy Oz. .999 Fine One Dollar Coin BU,366341419530,"Apr 19, 2026",$80.00,$4.65,,,Auction,https://www.ebay.com/itm/366341419530,1
2012-(S) Silver American Eagle BU PCGS MS69 San Francisco (463),287237081862,"Apr 18, 2026",$85.50,$6.50,,,Auction,https://www.ebay.com/itm/287237081862,1
American Silver Eaghe 1 oz .999 Fine Sillver $1 Coin BU 2018,227292743512,"Apr 18, 2026",$85.00,$5.25,,,Auction,https://www.ebay.com/itm/227292743512,1
