Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2023 Australia 1oz Silver Kookaburra PCGS MS69 - Flag Label,136771638838,"May 4, 2026",$104.52,$0.00,,,Fixed price,https://www.ebay.com/itm/136771638838,25
2023 Australia Kookaburra 1oz $1 Pure Silver .9999 Bullion Coin in Mint Capsule,225274689769,"Jan 23, 2026",$83.81,$0.00,,,Fixed price,https://www.ebay.com/itm/225274689769,20
2023 Australia 1oz Silver Kookaburra PCGS MS70 - Flag Label,364202735861,"Apr 20, 2026",$122.20,$0.00,,,Fixed price,https://www.ebay.com/itm/364202735861,5
2023 Berlin Show WMF Australia Kookaburra Silver NGC MS70 1oz $1 Coin ER Flag LB,266184232926,"May 5, 2026",$297.53,$0.00,,,Fixed price,https://www.ebay.com/itm/266184232926,4
2023 ANDA Melbourne Expo Kookaburra 1oz $1 Silver Coin Helmeted Honeyeater PRIVY,325548719095,"Feb 7, 2026",$126.93,$0.00,,,Fixed price,https://www.ebay.com/itm/325548719095,4
2023 ANDA BRISBANE Money Expo Kookaburra 1oz $1 Silver Coin BROLGA PRIVY MARK,325659321870,"Jan 26, 2026",$117.61,$0.00,,,Fixed price,https://www.ebay.com/itm/325659321870,4
2023 ANDA SYDNEY Expo Special Kookaburra 1oz $1 Silver Coin w/ Kooka PRIVY MARK,225832462085,"Feb 18, 2026",$120.35,$0.00,,,Fixed price,https://www.ebay.com/itm/225832462085,3
2023 Australia Silver Kookaburra NGC MS70 $1 1oz Coin ER Black Core Label,255910209765,"Jan 19, 2026",$89.66,$0.00,,,Fixed price,https://www.ebay.com/itm/255910209765,12
2023 Australia Silver Kookaburra NGC MS70 $1 1oz Coin FR Black Core Label,255914770751,"Jan 22, 2026",$108.58,$0.00,,,Fixed price,https://www.ebay.com/itm/255914770751,4
,,"Feb 1, 2026",$130.50,$0.00,,,Fixed price,,3
2023 Kookaburra 1oz Silver Coin Kookaburra Privy Sydney M. Expo MS70 ANDA ER,256310846902,"Apr 10, 2026",$167.98,$0.00,,,Fixed price,https://www.ebay.com/itm/256310846902,3
2023 ANDA Sydney Money Expo Kookaburra 1oz Silver Coin NGC MS70 Privy Mark,177405397763,"Jan 25, 2026",$146.24,$0.00,,,Fixed price,https://www.ebay.com/itm/177405397763,2
2023 Kookaburra 1oz Silver Coin Kookaburra Privy Sydney M. Expo MS70 ANDA FR,256311157635,"May 7, 2026",$174.14,$0.00,,,Fixed price,https://www.ebay.com/itm/256311157635,2
2-Coin-Set Final Queen & 1st KING CHARLES EFFIGY Kookaburra 1oz SILVER NGC MS70,256423073222,"Jan 23, 2026",$240.00,$0.00,,,Fixed price,https://www.ebay.com/itm/256423073222,2
2023 Australia 1oz Silver Kookaburra PCGS MS70 - Flag Label - 20 Pack,406445921891,"Jan 24, 2026","$2,425.00",$0.00,,,Fixed price,https://www.ebay.com/itm/406445921891,2
