Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Nov 5, 2025",$502.45,$0.00,,,Fixed price,,4
2023 Great Britain 1 oz Gold Britannia BU (Queen Elizabeth II),144757558462,"Mar 6, 2026","$5,076.81",$0.00,,,Fixed price,https://www.ebay.com/itm/144757558462,3
,,"Dec 15, 2025","$2,157.50",$10.00,,,Fixed price,,2
2023 Great Britain 1/10 oz Gold Britannia BU (Queen Elizabeth II),115561268011,"Apr 16, 2026",$582.67,$0.00,,,Fixed price,https://www.ebay.com/itm/115561268011,1
2023 GOLD GREAT BRITAIN 1/10oz BRITANNIA 10 POUNDS ICG Ms69!,127644968201,"Jan 28, 2026",$560.00,$7.00,,,Fixed price,https://www.ebay.com/itm/127644968201,1
ICG Brilliant Unc Great Britain 10 Pnds Gold,127680771726,"Feb 12, 2026",$500.00,$14.00,,,Fixed price,https://www.ebay.com/itm/127680771726,1
2023 Great Britain 1/10 oz Gold Britannia MS 70 First Release King Charles III,146597404399,"Jan 28, 2026",$580.00,$14.99,,,Fixed price,https://www.ebay.com/itm/146597404399,1
,,"Dec 9, 2025",$473.91,$0.00,,,Auction,,1
2023 Gold Britannia 1/10 oz • King Charles III • Great Britain 10 Pounds,147229524844,"Mar 29, 2026",$485.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147229524844,1
,,"Dec 13, 2025",$65.00,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$441.00,$11.90,,,Auction,,1
2024 ICG MS 69 Great Britain Gold 10PNDS Britannia 1/10th oz - Gold Label,178017322023,"Apr 5, 2026",$480.00,$7.95,,,Auction,https://www.ebay.com/itm/178017322023,1
,,"Nov 10, 2025",$440.00,$17.00,,,Auction,,1
,,"Nov 13, 2025",$450.00,$17.00,,,Auction,,1
,,"Dec 7, 2025","$4,481.94",$5.69,,,Auction,,1
2023 ICG Great Britain Gold 10PNDS Britannia 1/10th oz,188066583376,"Feb 23, 2026",$540.00,$8.10,,,Auction,https://www.ebay.com/itm/188066583376,1
,,"Jan 17, 2026",$550.00,$12.50,,,Fixed price,,1
2023 Great Britain 1/4 oz Gold Britannia BU King Charles III Coin,206106861927,"Mar 3, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/206106861927,1
,,"Mar 4, 2026","$1,375.00",$9.99,,,Auction,,1
2023 Great Britain 1/2 oz Gold Britannia Queen Elizabeth II - NGC MS 68 - G4766,226643138864,"Feb 7, 2026","$2,740.00",$12.50,,,Fixed price,https://www.ebay.com/itm/226643138864,1
,,"Nov 7, 2025","$4,995.00",$0.00,,,Fixed price,,1
,,"Oct 28, 2025",$415.00,$0.00,,,Auction,,1
,,"Jan 24, 2026",$537.99,$5.07,,,Fixed price,,1
2013 Great Britain UK £1 1/20 Oz Gold Britannia NGC PF70 UC LOT 210945,236648976218,"Feb 22, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236648976218,1
,,"Jan 9, 2026",$85.00,$5.50,,,Fixed price,,1
2023 GOLD GREAT BRITAIN 1/10oz BRITANNIA 10 POUNDS ICG Ms69,267556985564,"Jan 27, 2026",$532.00,$7.00,,,Fixed price,https://www.ebay.com/itm/267556985564,1
2023 Great Britain 1/10 oz Gold Britannia BU,277726449786,"Feb 17, 2026",$540.00,$0.00,,,Auction,https://www.ebay.com/itm/277726449786,1
Great Britain 2023 Gold 1/10 oz 10 Pounds UNC Britannia,298013071112,"Feb 12, 2026",$500.00,$10.00,,,Fixed price,https://www.ebay.com/itm/298013071112,1
,,"Dec 15, 2025","$1,090.00",$10.00,,,Fixed price,,1
,,"Jan 1, 2026",$507.37,$4.99,,,Auction,,1
,,"Jan 13, 2026",$1.75,$10.00,,,Auction,,1
,,"Jan 14, 2026",$5.53,$10.00,,,Auction,,1
,,"Jan 25, 2026",$1.00,$10.00,,,Auction,,1
2023 Great Britain UK £10 1/10 Oz Gold Britannia ICG MS69 LOT 140724,327002057921,"Feb 27, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327002057921,1
,,"Jan 23, 2026",$579.00,$43.72,,,Fixed price,,1
,,"Dec 8, 2025",$475.00,$0.00,,,Fixed price,,1
Great Britain 2023 Gold 1/10 oz 10 Pounds UNC Britannia,365790398841,"Jan 28, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365790398841,1
2023 Great Britain 1/10 oz Gold Britannia ICG MS69 Charles III,366362700597,"Apr 22, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366362700597,1
2023 Great Britain 2 x 1/10 oz Gold Britannia QE II & Charles III NGC MS70 SET,389737257584,"Mar 31, 2026","$1,210.00",$0.00,,,Fixed price,https://www.ebay.com/itm/389737257584,1
