Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2023 silver panda 40th anniversary NGC PF70 Ultra Cameo 30g tong fang signed,127797423576,"Apr 12, 2026",$202.50,$5.77,,,Auction,https://www.ebay.com/itm/127797423576,1
2023 10Y China Panda 30G Silver (036PID),206111056936,"Apr 9, 2026",$99.99,$4.95,,,Fixed price,https://www.ebay.com/itm/206111056936,1
2023 China S10Y Silver Panda 40th Anniversary NGC MS70 30g,177949600359,"Apr 9, 2026",$124.99,$5.07,,,Fixed price,https://www.ebay.com/itm/177949600359,1
2023 China Silver Panda 40th Anniv NGC MS70 Early Releases 30g .999,227285881995,"Apr 3, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227285881995,1
China 2023 Panda 30g .999 Silver 10 Yuan BU Cameo And Frosted A Wonderful Panda,236712617140,"Apr 1, 2026",$85.99,$5.45,,,Auction,https://www.ebay.com/itm/236712617140,1
2023 S10Y Silver Panda 40th Anniversary NGC MS70 30g.999,366306826653,"Apr 1, 2026",$121.00,$6.67,,,Fixed price,https://www.ebay.com/itm/366306826653,4
2023 S10Y Silver Panda 40th Anniversary NGC MS70 30g.999,366306985134,"Mar 31, 2026",$103.50,$5.52,,,Auction,https://www.ebay.com/itm/366306985134,1
2022 Official Chinese Panda Silver Coin 3D Silver medal Ornament 30g,256493518360,"Mar 23, 2026",$180.00,$5.62,,,Fixed price,https://www.ebay.com/itm/256493518360,1
2023 S10Y Silver Panda 40th Anniversary NGC MS69 30g.999 **Traderbea**,177952392318,"Mar 21, 2026",$123.00,$5.77,,,Fixed price,https://www.ebay.com/itm/177952392318,1
"2023 China Silver Panda 10 Yuan 30g NGC MS70 | 40th Anniversary | First 20,000",376994321119,"Mar 9, 2026",$144.00,$5.62,,,Fixed price,https://www.ebay.com/itm/376994321119,1
