Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2024 American Gold Eagle 1 oz BU,293329711445,12/7/2025,"$5,304.91",Free,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/293329711445
2024 American Gold Eagle 1 oz PCGS MS-69,167827690149,12/1/2025,"$5,238.63",Free,Certified,silvertowne,Buy It Now,https://www.ebay.com/itm/167827690149
2024 American Gold Eagle 1 oz BU,313625704969,1/28/2026,"$5,151.89",Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/313625704969
2024 American Gold Eagle 1 oz BU,281528510547,2/6/2026,"$5,220.96",Free,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/281528510547
2024 American Gold Eagle 1 oz PCGS MS-69,207243899650,2/7/2026,"$5,342.56",Free,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/207243899650
2024 American Gold Eagle 1 oz NGC MS-69,163400994129,2/1/2026,"$5,228.11",$4.99,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/163400994129
2024 American Gold Eagle 1 oz NGC MS-69,242456211029,1/16/2026,"$5,456.58",Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/242456211029
2024 American Gold Eagle 1 oz PCGS MS-69,120748736649,12/22/2025,"$5,488.60",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/120748736649
2024 American Gold Eagle 1 oz BU,391868672184,1/30/2026,"$5,400.15",Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/391868672184
2024 American Gold Eagle 1 oz PCGS MS-69,339592192585,1/6/2026,"$5,486.65",Free,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/339592192585
2024 American Gold Eagle 1 oz PCGS MS-69,208556253138,1/4/2026,"$5,367.10",Free,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/208556253138
2024 American Gold Eagle 1 oz NGC MS-69,389583901847,12/7/2025,"$5,408.95",Free,Certified,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/389583901847
2024 Gold Eagle 1oz Type 2,173018828996,11/29/2025,"$5,140.70",Free,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/173018828996
2024 Gold Eagle 1oz Type 2,125149664651,2/3/2026,"$5,219.85",Free,Uncirculated,legend_numismatics,Auction,https://www.ebay.com/itm/125149664651
2024 American Gold Eagle 1 oz PCGS MS-69,293417179780,12/24/2025,"$5,262.94",Free,Certified,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/293417179780
2024 Gold Eagle 1oz NGC MS-70 First Strike,272688226737,12/6/2025,"$5,431.09",Free,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/272688226737
2024 American Gold Eagle 1 oz NGC MS-69,247824624348,1/21/2026,"$5,361.42",$5.99,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/247824624348
2024 American Gold Eagle 1 oz BU,125524663004,1/7/2026,"$5,395.25",$5.99,Uncirculated,apmex,Best Offer,https://www.ebay.com/itm/125524663004
2024 American Gold Eagle 1 oz BU,366072607941,11/29/2025,"$5,189.43",Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/366072607941
2024 Gold Eagle 1oz Type 2,381125224116,1/1/2026,"$5,123.95",$4.99,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/381125224116
2024 Gold Eagle 1oz NGC MS-70 First Strike,370221791619,11/26/2025,"$5,375.76",Free,Certified,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/370221791619
2024 Gold Eagle 1oz NGC MS-70 First Strike,155309918470,12/31/2025,"$5,575.85",Free,Certified,keydate_coins,Auction,https://www.ebay.com/itm/155309918470
2024 American Gold Eagle 1 oz PCGS MS-69,350869586199,2/16/2026,"$5,376.65",Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/350869586199
2024 American Gold Eagle 1 oz BU,210250174380,1/26/2026,"$5,256.37",Free,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/210250174380
2024 American Gold Eagle 1 oz BU,354911674287,2/3/2026,"$5,412.68",Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/354911674287
2024 American Gold Eagle 1 oz BU,100983378258,12/10/2025,"$5,272.37",Free,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/100983378258
2024 American Gold Eagle 1 oz BU,354801159365,2/2/2026,"$5,238.32",$3.99,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/354801159365
2024 American Gold Eagle 1 oz PCGS MS-69,199627362697,1/29/2026,"$5,231.60",$5.99,Certified,sdbullion,Best Offer,https://www.ebay.com/itm/199627362697
