Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Random Date 1982 - 2024 Canada Gold Maple Leaf - 1/10 oz -$5 BU .9999 Fine,364624023640,"Apr 10, 2026",$505.93,$0.00,,,Fixed price,https://www.ebay.com/itm/364624023640,100
2024 Canada 1/20 oz Gold Maple Leaf BU,145573800862,"Jan 23, 2026",$429.88,$0.00,,,Fixed price,https://www.ebay.com/itm/145573800862,3
2024 Canada 1/20 oz Gold Maple Leaf BU Sealed,327017735878,"Mar 1, 2026",$335.99,$4.98,,,Fixed price,https://www.ebay.com/itm/327017735878,3
1set Dollhouse Gold Coins Gold Bars Treasure Model with Box Treasure Dollhouse,357165471036,"Jan 17, 2026",$11.83,$0.00,,,Fixed price,https://www.ebay.com/itm/357165471036,3
2024 1/10 oz Canadian Gold Maple Leaf Coin (BU),386721811595,"Nov 6, 2025",$505.54,$0.00,,,Fixed price,https://www.ebay.com/itm/386721811595,7
2024 $1 CANADA PROOF PEACE SILVER DOLLAR 1OZ ULTRA HIGH RELIEF GOLD GILT OGP/COA,116107486070,"Jan 22, 2026",$199.67,$0.00,,,Fixed price,https://www.ebay.com/itm/116107486070,3
2024 CANADA SUPER INCUSE $20 1OZ SILVER MAPLE LEAF GOLD GILT NGC PF70 FDOP OGP,116798581018,"Mar 15, 2026",$549.46,$0.00,,,Fixed price,https://www.ebay.com/itm/116798581018,2
,,"Dec 22, 2025",$225.00,$4.91,,,Fixed price,,2
2024 Canadian Diamond Flag 1 oz Silver Maple Leaf 24K Gold Finish RARE 1 of 500,137030815200,"Apr 13, 2026",$203.18,$0.00,,,Fixed price,https://www.ebay.com/itm/137030815200,2
2024 Canada 1 oz Gold Maple Leaf BU,145573800857,"Feb 7, 2026","$5,261.11",$0.00,,,Fixed price,https://www.ebay.com/itm/145573800857,3
2024 Canada 1/20 oz Gold Maple Leaf BU .999 Gold,336503436009,"Mar 29, 2026",$287.00,$5.20,,,Fixed price,https://www.ebay.com/itm/336503436009,2
2024 $20 CANADA SUPER INCUSE 1 OZ SILVER MAPLE LEAF NGC PF70 24K GOLD GILT,377082229721,"Apr 9, 2026",$542.50,$6.29,,,Fixed price,https://www.ebay.com/itm/377082229721,2
2024 CANADA SUPER INCUSE $20 1OZ SILVER MAPLE LEAF NGC PF70 24K GOLD GILT,116583684557,"Jan 22, 2026",$395.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116583684557,1
2024 CANADA SUPER INCUSE $20 1OZ SILVER MAPLE LEAF NGC PF70 24K GOLD GILT FDI,116733642186,"Jan 22, 2026",$425.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116733642186,1
,,"Jan 14, 2026",$349.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$350.55,$8.55,,,Fixed price,,1
2024 CANADA SUPER INCUSE 1OZ MAPLE LEAF PCGS REV PR70 24K GOLD GILT FDI S.BLUNT,117113752825,"Apr 2, 2026",$649.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117113752825,1
,,"Jan 7, 2026",$300.00,$6.95,,,Fixed price,,1
1/20 oz 9999 gold 2024 Canada Maple Leaf ICG MS70,127580441974,"Jan 27, 2026",$335.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127580441974,1
2024 Canada 1/20 oz Gold Maple Leaf BU,127661826999,"Feb 3, 2026",$350.00,$5.56,,,Fixed price,https://www.ebay.com/itm/127661826999,1
,,"Dec 26, 2025",$339.99,$0.00,,,Fixed price,,6
,,"Oct 21, 2025",$142.49,$3.99,,,Fixed price,,1
🇺🇸2024 GOLD DRAGON CAVE 1oz SILVER MAPLE LEAF BLK PLATINUM 24KGOLD PLATECoin,136341788025,"Feb 26, 2026",$145.00,$3.99,,,Fixed price,https://www.ebay.com/itm/136341788025,1
2024 CANADA SUPER INCUSE $20 1OZ SILVER MAPLE LEAF GOLD GILT NGC PF70 FDOI,136963687317,"Jan 22, 2026",$320.00,$5.96,,,Fixed price,https://www.ebay.com/itm/136963687317,1
"2024 1/10 oz. Gold Canadian Mapleleaf $5 coin, .9999 Fine",157460682743,"Feb 28, 2026",$569.00,$5.17,,,Fixed price,https://www.ebay.com/itm/157460682743,1
NEW! Canada 2024 20$ SUPER INCUSE MAPLE LEAF SML Gold Plating 1 oz Silver Coin,157561398711,"Feb 5, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157561398711,1
,,"Dec 17, 2025",$254.99,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$259.99,$0.00,,,Fixed price,,1
2024 $1 Canada 1/20 Oz Gold Maple Leaf Bullion Coin • MS70 • King Charles III,177829857596,"Feb 5, 2026",$325.00,$5.20,,,Fixed price,https://www.ebay.com/itm/177829857596,1
2024 $1 Canada 1/20 Oz Gold Maple Leaf Bullion Coin • MS70 • King Charles III,177863369370,"Feb 18, 2026",$325.00,$5.29,,,Fixed price,https://www.ebay.com/itm/177863369370,1
2024 Canada 1 oz Gold Maple Leaf (MintDirect® Single) In Assay,177873403733,"Feb 18, 2026","$5,000.00",$10.64,,,Fixed price,https://www.ebay.com/itm/177873403733,1
2024 Canada 1 oz Gold Maple Leaf (MintDirect® Single),177879232107,"Feb 20, 2026","$5,130.00",$10.64,,,Fixed price,https://www.ebay.com/itm/177879232107,1
ICG MS69 1/20 OZ 2024 Canada Gold Maple Leaf BU .9999 24k Gold Coin Bullion,177990055733,"Mar 27, 2026",$285.00,$4.88,,,Fixed price,https://www.ebay.com/itm/177990055733,1
1 oz Canadian Gold Maple Leaf Coin 2024 In Assay .9999 Fine,178030434845,"Apr 7, 2026","$4,700.00",$12.48,,,Fixed price,https://www.ebay.com/itm/178030434845,1
,,"Dec 20, 2025",$235.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$474.05,$12.95,,,Fixed price,,1
,,"Jan 6, 2026",$521.55,$12.95,,,Fixed price,,1
,,"Nov 25, 2025",$106.00,$0.00,,,Fixed price,,1
,,"Dec 3, 2025",$115.00,$0.00,,,Fixed price,,1
2024 Canadian Maple Leaf 1 oz Silver Coin FLAMME DE RUBIS Colorized Gold Gilding,206000523775,"Jan 19, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206000523775,1
,,"Jan 15, 2026","$2,298.00",$0.00,,,Auction,,1
,,"Nov 7, 2025",$237.50,$9.71,,,Auction,,1
2024 CANADA SUPER INCUSE $20 1OZ SILVER MAPLE LEAF GOLD GILT NGC PF70 FDOI,227180951310,"Mar 21, 2026",$549.99,$5.27,,,Fixed price,https://www.ebay.com/itm/227180951310,1
2024 Black Platinum & Gold Maple Leaf 1 oz Silver Coin,227239743899,"Mar 5, 2026",$259.00,$5.99,,,Fixed price,https://www.ebay.com/itm/227239743899,1
2024 1/2 oz Canadian Maple Leaf Gold Coin (BU),235821786341,"Mar 5, 2026","$2,837.68",$0.00,,,Fixed price,https://www.ebay.com/itm/235821786341,1
,,"Dec 22, 2025",$242.50,$3.00,,,Auction,,1
,,"Dec 22, 2025","$4,500.00",$0.00,,,Fixed price,,1
2024 Canada $5 Diamond Flag Maple Leaf 1 oz .9999 Silver 24k Gold BU Ltd Mintage,267208493361,"Jan 27, 2026",$139.99,$0.00,,,Fixed price,https://www.ebay.com/itm/267208493361,1
,,"Dec 13, 2025",$449.99,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$289.99,$0.00,,,Fixed price,,1
Random Date 1982 - 2024 Canada Gold Maple Leaf - 1/10 oz -$5 BU .9999 Fine,364624023640,"May 1, 2026",$513.11,$0.00,,,Fixed price,https://www.ebay.com/itm/364624023640,98
,,"Jan 22, 2026",$199.67,$0.00,,,Fixed price,,3
,,"Jan 17, 2026",$11.75,$0.00,,,Fixed price,,2
,,"Jan 22, 2026",$395.00,$0.00,,,Fixed price,,1
,,"Jan 22, 2026",$425.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$335.00,$0.00,,,Fixed price,,1
2024 Canada Maple Leaf One Dollar G$1 CAD 1/20 OZ-T .9999 Fine Gold Coin Sealed,127826383646,"Apr 28, 2026",$271.00,$0.00,,,Auction,https://www.ebay.com/itm/127826383646,1
,,"Jan 22, 2026",$320.00,$5.96,,,Fixed price,,1
