Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
SEALED 2024-S Proof Set U.S. Mint Original Packaging,156525153700,12/24/2025,$62.88,Free,Proof,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/156525153700
2024-S US Proof Set OGP Box & COA,297965238453,1/12/2026,$66.45,Free,Proof,davidlawrence,Best Offer,https://www.ebay.com/itm/297965238453
2024-S US Proof Set OGP Box & COA,397570749242,2/16/2026,$51.41,Free,Proof,moderncoinmart,Best Offer,https://www.ebay.com/itm/397570749242
2024-S US Proof Set OGP Box & COA,156481656624,1/14/2026,$76.76,Free,Proof,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/156481656624
2024 United States Mint Proof Set Original Box,397409880203,2/4/2026,$76.98,Free,Proof,goldeneaglecoin,Auction,https://www.ebay.com/itm/397409880203
2024-S US Proof Set Complete,393649761258,12/17/2025,$53.65,Free,Proof,apmex,Buy It Now,https://www.ebay.com/itm/393649761258
2024 US Mint Proof Coin Set – All Original – Box COA,160284925612,2/18/2026,$71.26,$5.50,Proof,apmex,Best Offer,https://www.ebay.com/itm/160284925612
2024 US Mint Proof Coin Set – All Original – Box COA,169672991689,11/30/2025,$67.76,Free,Proof,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/169672991689
2024-S US Proof Set OGP Box & COA,245124145817,1/16/2026,$67.94,Free,Proof,westminstercoin,Buy It Now,https://www.ebay.com/itm/245124145817
2024 US Mint Proof Coin Set – All Original – Box COA,227369337799,11/27/2025,$60.60,Free,Proof,thecoinshop,Buy It Now,https://www.ebay.com/itm/227369337799
2024 S Proof Set – Beautiful Coins – OGP,189643395592,12/1/2025,$66.62,$5.50,Proof,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/189643395592
2024 US Mint Proof Coin Set – All Original – Box COA,172128682148,1/3/2026,$61.83,$4.99,Proof,atlantagoldandcoin,Best Offer,https://www.ebay.com/itm/172128682148
