Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
United States 2025-S American Innovation $1 Coin Proof Set Of 4 Coins. #C1666,326764543848,"Aug 17, 2026",$46.38,$11.92,,,Fixed price,https://www.ebay.com/itm/326764543848,191
NEW 2025 S American Innovation PROOF SET $1 DOLLAR COINS US MINT: TX FL MI AR,137028679203,"Aug 20, 2026",$48.71,$6.33,,,Fixed price,https://www.ebay.com/itm/137028679203,64
2018-2025 American Innovation $1 Coin Proof Set,115623788900,"Aug 17, 2026",$280.26,$24.79,,,Fixed price,https://www.ebay.com/itm/115623788900,54
2025 S Proof Sacagawea Dollar From US Mint Set Coin $1 DCam In US Mint Bubble,236547280733,"Aug 19, 2026",$8.84,$1.07,,,Fixed price,https://www.ebay.com/itm/236547280733,69
2025 S U.S. Mint Proof Set – Final Year of American Women Quarters – 10 Coins,267186948753,"May 22, 2026",$249.78,$5.99,,,Fixed price,https://www.ebay.com/itm/267186948753,78
2025 S Silver Proof American Women Quarters Set - No Box Or COA,137044383644,"Jun 24, 2026",$83.79,$0.00,,,Fixed price,https://www.ebay.com/itm/137044383644,75
2025 S Proof Silver American Women Quarter Set No Box Or Coa,136267084664,"May 10, 2026",$94.77,$0.00,,,Fixed price,https://www.ebay.com/itm/136267084664,63
2025 S AMERICAN WOMEN CLAD PROOF SET W BOX & COA AWQ IDA JULIETTE READY 2 SHIP⭐,326479688039,"Aug 16, 2026",$24.88,$6.04,,,Fixed price,https://www.ebay.com/itm/326479688039,36
2025 S Silver Proof American Women Quarter 5 Coin Set + Box & COA fr Silver Set,277830537732,"Jun 2, 2026",$85.71,$0.00,,,Fixed price,https://www.ebay.com/itm/277830537732,42
2025 S Clad Proof Quarter Set- American Women-5 Coins- No Box/COA,396316027969,"Aug 16, 2026",$20.42,$0.00,,,Fixed price,https://www.ebay.com/itm/396316027969,32
2009 S PROOF Sacagawea Native American Dollar Coin From US Proof Set,405593225759,"May 18, 2026",$6.10,$0.00,,,Fixed price,https://www.ebay.com/itm/405593225759,56
2010-2025 S Native American Sacagawea Proof Dollar Run Gem Cameo US 16 Coin Set,277925103778,"Aug 14, 2026",$148.97,$0.00,,,Fixed price,https://www.ebay.com/itm/277925103778,26
2025 PDS AWQ US Mint Issued Proof & BU Sets,286791476766,"Aug 19, 2026",$33.41,$0.00,,,Fixed price,https://www.ebay.com/itm/286791476766,27
2025 S REVERSE PROOF AMERICAN INNOVATION SET NGC PF70 EARLY RELEASES [IN STOCK],397592953893,"Aug 20, 2026",$205.49,$0.00,,,Fixed price,https://www.ebay.com/itm/397592953893,24
2022 S to 2025 S American Clad Women Quarter Proof Set No Box or COA 20 Coins US,277752369410,"Aug 20, 2026",$125.34,$0.00,,,Fixed price,https://www.ebay.com/itm/277752369410,22
2025 Native American Dollar P D S Set Mary Kawena Pukui 3 Coins,116643273039,"Jul 5, 2026",$13.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116643273039,20
,,"Apr 29, 2026",$74.99,$0.00,,,Fixed price,,20
American Innovation 2025 $1 Coin Reverse Proof Set Mint Fresh Sold- Mint,227222714807,"Aug 18, 2026",$54.40,$0.00,,,Fixed price,https://www.ebay.com/itm/227222714807,21
2025-W Proof $1 American Silver Eagle Congratulations Set NGC PF70UC ER Blue,176727553905,"Aug 7, 2026",$148.47,$0.00,,,Fixed price,https://www.ebay.com/itm/176727553905,19
NEW 2025 S American Innovation REVERSE PROOF * $1 DOLLAR COIN SET * US MINT,136982384665,"Aug 18, 2026",$63.77,$5.15,,,Fixed price,https://www.ebay.com/itm/136982384665,19
,,"Apr 19, 2026",$38.99,$0.00,,,Fixed price,,17
"2025 S Silver Proof Set U.S. Mint OGP COA 25c, All 5 American Women Quarters %",167585208132,"Aug 13, 2026",$114.35,$0.00,,,Fixed price,https://www.ebay.com/itm/167585208132,23
2025 S PROOF Sacagawea Native American Dollar Coin From Proof Set Ready To Ship!,276898161154,"Jun 22, 2026",$11.24,$0.00,,,Fixed price,https://www.ebay.com/itm/276898161154,17
2025 S Proof Silver American Women Quarter Set - No Box Or Coa,287142952425,"May 6, 2026",$81.24,$0.00,,,Fixed price,https://www.ebay.com/itm/287142952425,82
2025 American Innovation Dollar Proof Set U.S. Mint Packaging OGP COA,366076766588,"Jul 29, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366076766588,54
2025-PDS Native American Dollar Set - Sacagawea - BU (P&D) with DCAM PROOF (S),135598083097,"Aug 18, 2026",$19.95,$0.99,,,Fixed price,https://www.ebay.com/itm/135598083097,15
,,"May 5, 2026",$55.00,$0.00,,,Fixed price,,20
2020~2025 S PROOF Sacagawea Native American Dollar 6 Coins from US Proof Sets,277691871947,"Jul 16, 2026",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277691871947,14
2025-S Proof Sacagawea Native American Dollar - Cut From Proof Set - C10,377331555559,"Jul 24, 2026",$7.26,$0.00,,,Fixed price,https://www.ebay.com/itm/377331555559,19
2025 S Silver Quarters Set 25C American Woman From 10 Coin NGC PF70 ER UCameo,147275255576,"May 27, 2026",$130.91,$4.99,,,Fixed price,https://www.ebay.com/itm/147275255576,13
2025 S American Women Clad Quarter Proof Set - No Box or COA,286335212446,"Aug 19, 2026",$24.92,$0.00,,,Fixed price,https://www.ebay.com/itm/286335212446,19
,,"May 11, 2026",$83.63,$0.00,,,Fixed price,,36
2025 S Proof Sacagawea Native American Dollar Coin - From a Proof Set,146812993246,"May 24, 2026",$9.34,$2.75,,,Fixed price,https://www.ebay.com/itm/146812993246,13
2025 S US Mint Clad Proof American Women 5-Coin Quarter Set - NO BOX OR COA,188298986174,"Jul 21, 2026",$18.26,$6.18,,,Fixed price,https://www.ebay.com/itm/188298986174,23
,,"Apr 15, 2026",$81.63,$0.00,,,Fixed price,,30
2025 S Proof American Innovation Set PCGS PR69DCAM,137133336493,"Jul 28, 2026",$76.39,$0.00,,,Fixed price,https://www.ebay.com/itm/137133336493,10
2025 S $1 American Innovation Set NGC Reverse PF 70,157682676116,"Jun 21, 2026",$196.49,$0.00,,,Fixed price,https://www.ebay.com/itm/157682676116,13
2025 S Proof Silver American Women Quarter Set - NO Packaging - Lens Only,198421214513,"Jul 19, 2026",$81.29,$0.00,,,Fixed price,https://www.ebay.com/itm/198421214513,15
2025 S Proof Clad Ida B. Wells American Women Quarter from Mint Proof Set,286477318545,"Aug 1, 2026",$3.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286477318545,13
2025-S American Innovation $1 Coin Proof Set Of 4 Coins,127826338714,"Jun 3, 2026",$48.48,$21.40,,,Fixed price,https://www.ebay.com/itm/127826338714,9
2025 S Proof American Women Quarter Set Gem DCam OGP & COA 5 CN-Clad Coins,136605201408,"Jul 19, 2026",$55.80,$4.95,,,Fixed price,https://www.ebay.com/itm/136605201408,10
2025 S Proof American Innovation Set PCGS PR70DCAM,137133369977,"Jun 3, 2026",$376.66,$0.00,,,Fixed price,https://www.ebay.com/itm/137133369977,9
2025-W Proof $1 American Silver Eagle Congratulations Set PCGS PR70DCAM FDOI,176727561668,"Apr 1, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/176727561668,9
2025 S Proof Clad Stacey Milbern American Women Quarter from Mint Proof Set,286477316558,"Aug 11, 2026",$3.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286477316558,12
,,"May 1, 2026",$8.95,$11.01,,,Fixed price,,10
"2022, 2023, 2024 & 2025 S American Women 20 Quarter CLAD Proof COMPLETE Set",126392979700,"Aug 12, 2026",$139.95,$8.13,,,Fixed price,https://www.ebay.com/itm/126392979700,8
2025 (PR70) Army/Navy/Marine Proof Silver Eagle (3 Coin Privy Set) PCGS FS,187827604639,"Jul 20, 2026","$1,062.22",$0.00,,,Fixed price,https://www.ebay.com/itm/187827604639,9
2025 S American Womens Clad PROOF Quarter Set with /COA Buy 2 Or More 4 Discount,236696743508,"Jul 5, 2026",$25.81,$3.24,,,Fixed price,https://www.ebay.com/itm/236696743508,11
2025-W Proof $1 American Silver Eagle Congratulations Set NGC PF70UC FDI First,316038166219,"Jun 26, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/316038166219,8
2025 P D S Sacagawea Dollar Proof Native American 3 Coin Set Lot PDS,326480608607,"Aug 19, 2026",$18.83,$0.00,,,Fixed price,https://www.ebay.com/itm/326480608607,8
