Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 (P) $1 1 oz Silver Eagle w/ Eagle Privy PCGS MS70 First Day of Issue,278115465823,"Jun 29, 2026",$112.99,$0.00,,,Auction,https://www.ebay.com/itm/278115465823,1
2025 (P) $1 1 oz Silver Eagle w/ Eagle Privy PCGS MS70 First Strike,278092701820,"Jun 22, 2026",$105.08,$0.00,,,Auction,https://www.ebay.com/itm/278092701820,1
2025 MS70 SILVER EAGLE NGC TYPE 2,188503295463,"Jun 19, 2026",$85.00,$5.97,,,Auction,https://www.ebay.com/itm/188503295463,1
1986 - 2025 Type 1 & 2 COMPLETE 41 COIN AMERICAN SILVER EAGLE SET NGC MS 69,800070241707,"Jun 4, 2026","$3,850.00",$24.99,,,Auction,https://www.ebay.com/itm/800070241707,1
2025-P Silver Eagle - NGC MS69 - Eagle Privy - Don't Tread on Me Label - Type 2,366413788401,"May 23, 2026",$84.83,$8.15,,,Auction,https://www.ebay.com/itm/366413788401,1
"2025 1oz American Silver Eagle Type 2 NGC MS70 Red Book Label, Black Core",377180136563,"May 17, 2026",$91.00,$4.95,,,Auction,https://www.ebay.com/itm/377180136563,1
American Eagle colorized 2025 Silver Coin 1 oz 0.999 Uncertified type 2,206149818664,"May 16, 2026",$94.00,$8.05,,,Fixed price,https://www.ebay.com/itm/206149818664,1
2025 5oz type 2 Silver Eagle MS 70,206260375419,"May 13, 2026","$1,400.00",$5.58,,,Fixed price,https://www.ebay.com/itm/206260375419,1
2025 W PCGS SP 70 TYPE 2 Burnished Silver Eagle IN FLAG FRAME,397926632601,"May 13, 2026",$149.00,$5.72,,,Auction,https://www.ebay.com/itm/397926632601,1
2025 $1 1 oz Silver Eagle Type 2 NGC MS70 FDOI David Ryder Signature 040234,157803662352,"Apr 23, 2026",$109.00,$8.10,,,Fixed price,https://www.ebay.com/itm/157803662352,1
"2025 American Silver Eagle 1 Oz .999 Fineness, Type 2",157840947448,"Apr 22, 2026",$85.00,$5.07,,,Fixed price,https://www.ebay.com/itm/157840947448,1
2025 American 1 OZ Silver Eagle Coin BLACK RUTHENIUM w/ 24K Gold Detail - TYPE 2,234123063244,"Apr 5, 2026",$150.41,$39.95,,,Fixed price,https://www.ebay.com/itm/234123063244
