Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2025 Australia PROOF Lunar Year of the SNAKE 1/2oz Silver Half Dollar Coin,336590277854,"May 20, 2026",$38.00,$5.89,,,Fixed price,https://www.ebay.com/itm/336590277854,1
2025 P Australia Lunar Year of the SNAKE FU 1/2oz .9999 Silver Half Dollar Coin,326381671573,"May 8, 2026",$63.44,$0.00,,,Fixed price,https://www.ebay.com/itm/326381671573,9
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Lunar w/Box,298047429220,"Apr 29, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298047429220,1
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Coin Lunar,227261305725,"Apr 13, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227261305725,1
2025 COLORED Lunar Year of the SNAKE 1/2oz Silver Half $ Coin In Capsule 50c,227130348461,"Feb 23, 2026",$71.33,$0.00,,,Fixed price,https://www.ebay.com/itm/227130348461,3
2025 Australia PROOF Lunar Year of the SNAKE 1/2oz Silver Half Dollar Coin S-III,226400670554,"Feb 20, 2026",$74.42,$42.93,,,Fixed price,https://www.ebay.com/itm/226400670554,5
2025 THE PERTH MINT 1/2 OZ SILVER LUNAR YEAR OF THE SNAKE HALF DOLLAR PROOF,127681214647,"Feb 19, 2026",$57.00,$6.89,,,Auction,https://www.ebay.com/itm/127681214647,1
,,"Feb 19, 2026",$57.00,$6.89,,,Auction,,1
,,"Feb 12, 2026",$70.69,$6.89,,,Auction,,1
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Coin Lunar,326344018091,"Feb 7, 2026",$90.18,$0.00,,,Fixed price,https://www.ebay.com/itm/326344018091,6
2025 COLORED Lunar Year of the SNAKE 1/2oz Silver Half $ Coin In Capsule 50c,326521472624,"Feb 5, 2026",$50.75,$0.00,,,Fixed price,https://www.ebay.com/itm/326521472624,10
,,"Feb 5, 2026",$71.00,$6.89,,,Auction,,1
,,"Jan 29, 2026",$64.00,$6.89,,,Auction,,1
,,"Jan 29, 2026",$63.95,$7.55,,,Fixed price,,1
2026 Australia PROOF Lunar Year of the SNAKE 1/2oz Silver Half Dollar Coin S-III,226952928774,"Jan 25, 2026",$68.90,$0.00,,,Fixed price,https://www.ebay.com/itm/226952928774,1
,,"Jan 24, 2026",$57.00,$0.00,,,Auction,,1
,,"Jan 23, 2026",$59.99,$5.68,,,Fixed price,,1
,,"Jan 22, 2026",$66.00,$6.89,,,Auction,,1
,,"Dec 19, 2025",$33.29,$9.25,,,Fixed price,,2
