Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2025 MO Mexico 1 Silver Onza Libertad NGC Reverse Proof 70 FDOI,227289763490,"Apr 24, 2026","$1,880.99",$3.99,,,Fixed price,https://www.ebay.com/itm/227289763490,1
2025 Mexico 1 oz Silver Reverse Proof Libertad PCGS PR70 First Day Of Issue,257425123328,"Apr 19, 2026","$1,999.95",$34.95,,,Fixed price,https://www.ebay.com/itm/257425123328,1
2025 Mexico Silver Libertad Reverse Proof 1 oz 1 Onza - NGC PF69 FDI,406838433804,"Apr 19, 2026","$1,778.00",$0.00,,,Auction,https://www.ebay.com/itm/406838433804,1
2025 Mexico 1 oz Silver Reverse Proof Libertad NGC 70 First Day Of Issue Perfect,377123682090,"Apr 18, 2026","$2,000.00",$8.10,,,Fixed price,https://www.ebay.com/itm/377123682090,1
2025 PCGS PR70 Mexican Silver Libertad Reverse Proof 1 Oz (FDI),257442531941,"Apr 17, 2026","$1,899.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257442531941,1
2025 1oz Reverse Proof Libertad EXTREMELY LOW MINTAGE In Original Capsule,257428082553,"Apr 17, 2026","$1,505.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257428082553,1
2025 Libertad Reverse Proof PCGS PR70 Perfect! 1 OUNCE / ONZA. Rarest Year !,257454547035,"Apr 13, 2026","$1,769.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257454547035,1
2025 Mexico 1 oz Silver Reverse Proof Libertad NGC 70 Early Release FREE SHIP,157823999548,"Apr 11, 2026","$1,626.99",$0.00,,,Auction,https://www.ebay.com/itm/157823999548,1
"2025 Mexico 1 oz Silver Libertad Reverse Proof RARE YEAR, Actual Coin Pictured!!",157256067767,"Apr 10, 2026","$1,750.00",$12.10,,,Fixed price,https://www.ebay.com/itm/157256067767,1
2025 Mexico Silver 1/10 oz Proof Libertad Coin PR-70 PCGS First Day of Issue,397797603179,"Apr 7, 2026",$550.00,$5.52,,,Fixed price,https://www.ebay.com/itm/397797603179,1
2025 Mo PCGS PR69 Reverse Proof - Mexico 1 oz Silver Libertad Onza Coin #58893A,227221318299,"Apr 7, 2026","$1,494.95",$0.00,,,Fixed price,https://www.ebay.com/itm/227221318299,1
2025 MO Mexico 1/20 Onza Libertad Silver NGC PF 70 FDOI,257444018070,"Apr 6, 2026","$1,499.99",$3.99,,,Fixed price,https://www.ebay.com/itm/257444018070,1
"2025 1/10 Oz. Silver Libertad Proof. ( Direct from Banco de Mexico, )",227278373310,"Apr 5, 2026",$207.50,$0.00,,,Auction,https://www.ebay.com/itm/227278373310,1
