Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 31, 2026",$68.22,$0.00,,,Fixed price,,57
90% Silver Mercury Dimes - $1 Face Value - Lot of 10 pcs - Pre-1946 - Free Ship,389596455411,"Feb 14, 2026",$64.34,$0.00,,,Fixed price,https://www.ebay.com/itm/389596455411,49
,,"Feb 8, 2026",$58.21,$0.00,,,Fixed price,,30
,,"Nov 24, 2025",$36.91,$12.79,,,Fixed price,,45
90% Silver Mercury Dimes - $1 Face Value - Lot of 10 pcs - Pre-1946 - Free Ship,389725579103,"Mar 14, 2026",$61.69,$0.00,,,Fixed price,https://www.ebay.com/itm/389725579103,15
"$1 Face Value - 90% Silver U.S. Coin Lot - Half Dollars, Quarters, or Dimes",223453154305,"Mar 8, 2026",$67.73,$7.92,,,Fixed price,https://www.ebay.com/itm/223453154305,13
,,"Dec 23, 2025",$47.86,$0.00,,,Fixed price,,20
,,"Dec 10, 2025",$41.88,$0.00,,,Fixed price,,14
,,"Dec 26, 2025",$51.99,$16.36,,,Fixed price,,20
,,"Jan 4, 2026",$69.99,$5.12,,,Fixed price,,16
,,"Feb 5, 2026",$54.59,$0.00,,,Fixed price,,10
,,"Jan 26, 2026",$345.00,$5.71,,,Fixed price,,8
,,"Jan 26, 2026",$75.11,$0.00,,,Fixed price,,25
Lot of 10 Roosevelt 90% Silver Dimes $1 face value,134428584037,"Mar 10, 2026",$70.44,$7.44,,,Fixed price,https://www.ebay.com/itm/134428584037,7
,,"Jan 9, 2026",$57.80,$0.00,,,Fixed price,,10
"$1 Face Value 90% Junk Investment Silver Coins Half Dollars, Quarters, Dimes",206040987843,"Feb 10, 2026",$68.00,$1.17,,,Fixed price,https://www.ebay.com/itm/206040987843,7
,,"Jan 29, 2026",$74.66,$0.00,,,Fixed price,,15
Lot of 50 Roosevelt 90% Silver Dimes $5.00 Face Value U S - 1 roll of 50,287017870754,"Jan 15, 2026",$257.00,$19.06,,,Fixed price,https://www.ebay.com/itm/287017870754,6
,,"Dec 28, 2025",$48.16,$0.00,,,Fixed price,,6
,,"Feb 4, 2026",$65.45,$5.37,,,Fixed price,,6
,,"Dec 30, 2025",$55.63,$0.00,,,Fixed price,,10
$1 Face Value 90% Silver Coin Mixed Lot Dimes Quarters Half Dollars Pre-1965,152667738161,"Feb 10, 2026",$64.49,$5.15,,,Fixed price,https://www.ebay.com/itm/152667738161,6
,,"Jan 31, 2026","$5,295.00",$0.00,,,Fixed price,,7
