Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1776-2026-W 1/4 oz Proof Gold Eagle $10 OGP Quarter Ounce Bell Privy Dual Date,178337665202,"Aug 13, 2026","$1,565.00",$0.00,,,Fixed price,https://www.ebay.com/itm/178337665202,2
2008-W $10 Burnished Quarter Ounce Gold Eagle NGC MS70,188635706506,"Aug 13, 2026","$1,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/188635706506,1
1986 MCMLXXXVI American Eagle $10 USD 1/4 OZ Quarter Ounce Fine Gold Coin,287515378747,"Aug 10, 2026","$1,090.00",$0.00,,,Fixed price,https://www.ebay.com/itm/287515378747,1
2016 $10 (Quarter Troy Oz) Gold American Eagle,327298112926,"Aug 7, 2026","$1,169.99",$0.00,,,Fixed price,https://www.ebay.com/itm/327298112926,1
1988 P American Eagle One-Quarter Ounce Proof Gold Bullion Coin - OGP And COA,327290293101,"Aug 5, 2026","$1,150.00",$15.00,,,Fixed price,https://www.ebay.com/itm/327290293101,1
2006 $10 (Quarter Troy Oz) Gold American Eagle graded MS69 by PCGS,227448217007,"Aug 4, 2026","$1,119.99",$0.00,,,Fixed price,https://www.ebay.com/itm/227448217007,1
2004 $10 (Quarter Troy Oz) Gold American Eagle graded MS69 by PCGS,227448221662,"Aug 4, 2026","$1,119.99",$0.00,,,Fixed price,https://www.ebay.com/itm/227448221662,1
2000 $10 (Quarter Troy Oz) Gold American Eagle graded MS69 by ICG (LOT A),227448225360,"Aug 1, 2026","$1,069.99",$0.00,,,Fixed price,https://www.ebay.com/itm/227448225360,1
2000 $10 (Quarter Troy Oz) Gold American Eagle graded MS69 by ICG (LOT B),227448229557,"Aug 1, 2026","$1,069.99",$0.00,,,Fixed price,https://www.ebay.com/itm/227448229557,1
A 1993 US P Mint American Eagle Quarter Ounce Proof Gold Bullion Coin OGP COA,307086341117,"Aug 1, 2026","$1,134.00",$5.00,,,Auction,https://www.ebay.com/itm/307086341117,1
2025-W $10 American Gold Eagle Proof 1/4 oz Quarter Ounce US Bullion Coin OGP,307086493080,"Jul 30, 2026","$1,087.00",$5.83,,,Auction,https://www.ebay.com/itm/307086493080,1
2024-W $10 American Gold Eagle Proof 1/4 oz Quarter Ounce US Bullion Coin OGP,307086498896,"Jul 30, 2026","$1,102.00",$7.86,,,Auction,https://www.ebay.com/itm/307086498896,1
2004 3$10 1/4 oz Gold American Eagle - Quarter Ounce - PCGS MS 69 - SKU-G4609,226585305183,"Jul 13, 2026","$1,170.00",$12.50,,,Fixed price,https://www.ebay.com/itm/226585305183,1
2021 $10 American Gold Eagle 1/4 oz Quarter Ounce 10 Dollar US Bullion Coin,307046396189,"Jul 11, 2026","$1,102.88",$5.97,,,Auction,https://www.ebay.com/itm/307046396189,1
2004 G$10 1/4 oz Gold American Eagle - Quarter Ounce - PCGS MS 69,117249703998,"Jul 6, 2026","$1,170.00",$8.95,,,Fixed price,https://www.ebay.com/itm/117249703998,1
2023 American Gold Eagle $10 Quarter Ounce MS 69 NGC 1/4 oz,227364924635,"Jul 5, 2026","$1,150.00",$18.60,,,Fixed price,https://www.ebay.com/itm/227364924635,1
2026 W American Eagle One-Quarter 1/4 oz Gold Proof Liberty Bell Privy PCGS PR70,168343964448,"Jun 26, 2026","$1,775.00",$0.00,,,Fixed price,https://www.ebay.com/itm/168343964448,6
1986 MCMLXXXVI American Eagle $10 USD 1/4 OZ-T Quarter Ounce Fine Gold Coin,127925759104,"Jun 21, 2026","$1,082.00",$0.00,,,Auction,https://www.ebay.com/itm/127925759104,1
2026 W American Eagle One-Quarter Ounce Gold Proof Liberty Bell Privy PCGS PR69,168349114880,"Jun 14, 2026","$1,583.32",$0.00,,,Fixed price,https://www.ebay.com/itm/168349114880,3
A 1988 US P Mint American Eagle Quarter Ounce Proof Gold Bullion Coin,306987128786,"Jun 13, 2026","$1,125.00",$5.00,,,Auction,https://www.ebay.com/itm/306987128786,1
2022 QUARTER OUNCE GOLD EAGLE ORIGINAL BU,157985233657,"Jun 12, 2026","$1,050.00",$5.17,,,Fixed price,https://www.ebay.com/itm/157985233657,1
2008-W $10 Burnished Quarter Ounce Gold Eagle PCGS MS70,188466888714,"Jun 4, 2026","$1,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/188466888714,1
1988-P MCMLXXXVIII American Eagle $10 USD 1/4 OZ-T Quarter Ounce Gold Proof Coin,127879520165,"May 27, 2026","$1,176.00",$0.00,,,Auction,https://www.ebay.com/itm/127879520165,1
1776-2026 W GOLD AMERICAN EAGLE ONE-QUARTER OUNCE PROOF COIN 26ED IN HAND 1/4 OZ,117171076021,"May 22, 2026","$1,599.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117171076021,1
2026 W AMERICAN EAGLE ONE-QUARTER OUNCE GOLD PROOF LIBERTY BELL PRIVY DUAL DATE,188138849564,"May 14, 2026","$1,686.85",$0.00,,,Fixed price,https://www.ebay.com/itm/188138849564,7
2000 American Gold Eagle $10 Quarter-Ounce 1/4 oz MS 69 NGC,236778543686,"May 3, 2026","$1,249.00",$0.00,,,Auction,https://www.ebay.com/itm/236778543686,1
,,"May 3, 2026","$1,249.00",$0.00,,,Auction,,1
,,"Apr 25, 2026","$1,237.00",$5.00,,,Auction,,1
,,"Apr 25, 2026","$1,000.00",$20.00,,,Fixed price,,1
American Gold Eagle Quarter Ounce (1/4 Oz) Presentation Box,137209229109,"Apr 18, 2026",$13.29,$0.00,,,Fixed price,https://www.ebay.com/itm/137209229109,1
,,"Apr 18, 2026",$13.29,$0.00,,,Fixed price,,1
2021 American Eagle one-quarter ounce GOLD Proof Coin,127793772312,"Apr 12, 2026","$1,310.00",$7.31,,,Auction,https://www.ebay.com/itm/127793772312,1
,,"Apr 12, 2026","$1,310.00",$7.31,,,Auction,,1
,,"Apr 12, 2026","$1,288.95",$19.95,,,Auction,,1
,,"Apr 12, 2026","$1,255.00",$19.95,,,Auction,,1
,,"Apr 10, 2026","$1,699.00",$0.00,,,Fixed price,,1
MCMLXXXVI 1986 $5 First Year Mint Gold Quarter Eagle 1/10 oz Brilliant UNC,147243890397,"Apr 9, 2026",$550.00,$15.00,,,Fixed price,https://www.ebay.com/itm/147243890397,1
,,"Apr 9, 2026",$550.00,$15.00,,,Fixed price,,1
"1994 1/4 oz Gold American Eagle - Low Mintage, Key Date Quarter Eagle",227275690365,"Apr 3, 2026","$1,508.00",$0.00,,,Auction,https://www.ebay.com/itm/227275690365,1
,,"Apr 3, 2026","$1,508.00",$0.00,,,Auction,,1
,,"Mar 25, 2026","$1,225.00",$7.99,,,Fixed price,,1
,,"Mar 25, 2026","$1,435.00",$0.00,,,Fixed price,,1
,,"Mar 20, 2026","$1,500.00",$6.64,,,Fixed price,,1
,,"Mar 18, 2026","$1,330.00",$0.00,,,Auction,,1
,,"Mar 18, 2026","$1,297.00",$0.00,,,Auction,,1
,,"Mar 5, 2026","$1,275.00",$8.00,,,Fixed price,,1
,,"Mar 4, 2026","$1,465.00",$0.00,,,Auction,,1
,,"Mar 2, 2026","$1,250.00",$26.10,,,Auction,,1
