Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2016 Australia Perth Mint KANGAROO 1oz .9999 Silver $1 COIN #T3663,127971630271,"Jul 19, 2026",$61.00,$2.78,,,Auction,https://www.ebay.com/itm/127971630271,1
2022 Colored HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 ER Flag Label,255427093832,"Jul 16, 2026",$175.53,$0.00,,,Fixed price,https://www.ebay.com/itm/255427093832,4
"2000 Australian Kangaroo $1 999 1oz Silver Coin - Unique, BU",117242365372,"Jul 6, 2026",$94.99,$0.00,,,Fixed price,https://www.ebay.com/itm/117242365372,1
10 DIRECT FIT 41mm Coin Capsules for Australia 1oz Silver Kangaroo 2016 - Pres.,356600038978,"Jul 5, 2026",$6.25,$10.18,,,Fixed price,https://www.ebay.com/itm/356600038978,5
AUSTRALIA KANGAROO KING CHARLES III OBVERSE 1st ISSUE 2024 1oz SILVER PROOF COIN,225960120355,"Jun 28, 2026",$158.76,$0.00,,,Fixed price,https://www.ebay.com/itm/225960120355,2
2023 Australia Kangaroo $1 1oz .9999 Silver NGC MS70 Top Grade Bullion Coin,117253056888,"Jun 26, 2026",$99.99,$5.79,,,Fixed price,https://www.ebay.com/itm/117253056888,1
2026 Colored HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 FR Blue Label,267702353973,"Jun 24, 2026",$191.30,$68.50,,,Fixed price,https://www.ebay.com/itm/267702353973,3
2019 P Australia GILDED Silver Kangaroo NGC MS70 1oz Coin w/OGP gilt FR BL LABEL,264377715303,"Jun 20, 2026",$184.16,$0.00,,,Fixed price,https://www.ebay.com/itm/264377715303,2
2026 Australia Kangaroo 1oz .9999 Silver Proof Colored High Relief $1 Coin,327140242308,"Jun 16, 2026",$165.96,$78.58,,,Fixed price,https://www.ebay.com/itm/327140242308,6
2016 Australia Perth Mint KANGAROO 1oz .9999 Silver $1 PERFECT #T1160,127904393761,"Jun 11, 2026",$70.00,$7.00,,,Auction,https://www.ebay.com/itm/127904393761,1
2025 Australia Kangaroo 1oz Silver Coin with King Charles III,117224890954,"Jun 7, 2026",$65.00,$9.35,,,Auction,https://www.ebay.com/itm/117224890954,1
2018 P Australia HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 UC ER + OGP,263820085343,"Jun 5, 2026",$199.98,$0.00,,,Fixed price,https://www.ebay.com/itm/263820085343,2
2016 P Australia HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 UC ER + OGP,333696211163,"Jun 5, 2026",$129.00,$0.00,,,Fixed price,https://www.ebay.com/itm/333696211163,2
2020 Australian Kangaroo Dollar Perth Mint One Troy Ounce .9999 Pure 1oz Silver,127883093063,"May 24, 2026",$80.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127883093063,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859475975,"May 16, 2026",$80.00,$5.17,,,Auction,https://www.ebay.com/itm/127859475975,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859479760,"May 16, 2026",$78.56,$5.17,,,Auction,https://www.ebay.com/itm/127859479760,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859480568,"May 16, 2026",$78.00,$2.97,,,Auction,https://www.ebay.com/itm/127859480568,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859470885,"May 14, 2026",$82.00,$5.17,,,Auction,https://www.ebay.com/itm/127859470885,1
[Removed] Item 389670682554,389670682554,"May 13, 2026",$20.50,$5.38,,,Fixed price,,35
[Removed] Item 389709780007,389709780007,"May 12, 2026",$26.99,$0.00,,,Fixed price,,24
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859469350,"May 12, 2026",$79.89,$2.12,,,Auction,https://www.ebay.com/itm/127859469350,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859471739,"May 12, 2026",$80.01,$2.11,,,Auction,https://www.ebay.com/itm/127859471739,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127859481891,"May 12, 2026",$81.00,$2.13,,,Auction,https://www.ebay.com/itm/127859481891,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127857622603,"May 11, 2026",$75.00,$5.17,,,Auction,https://www.ebay.com/itm/127857622603,1
2019 1oz .9999 Silver $1 Australian Kangaroo BU,127855948804,"May 10, 2026",$76.51,$1.03,,,Auction,https://www.ebay.com/itm/127855948804,1
2020 30th Ann. Kookaburra 1oz Silver Coin Kangaroo Paw Privy NGC MS70 ANDA BL FR,254964467001,"May 9, 2026",$180.33,$0.00,,,Fixed price,https://www.ebay.com/itm/254964467001,2
2025 Colored HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 FR Blue Label,256916176632,"May 9, 2026",$164.97,$0.00,,,Fixed price,https://www.ebay.com/itm/256916176632,2
"Lot of 2 EMPTY Perth MINT 1oz Silver Kangaroo Coin Tubes, USED, NO COINS",168330091741,"May 8, 2026",$15.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168330091741,2
,,"May 8, 2026",$15.00,$0.00,,,Fixed price,,2
,,"May 2, 2026",$88.00,$5.51,,,Auction,,1
,,"May 2, 2026",$78.88,$5.51,,,Auction,,1
2024 Australia Kangaroo 1oz $1 Silver Proof Colored High Relief Coin,226235259300,"Apr 25, 2026",$133.78,$0.00,,,Fixed price,https://www.ebay.com/itm/226235259300,5
"Lot of 2 EMPTY Perth MINT 1oz Silver Kangaroo Coin Tubes, USED, NO COINS",168306359442,"Apr 23, 2026",$15.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168306359442,2
,,"Apr 23, 2026",$15.00,$0.00,,,Fixed price,,2
,,"Apr 23, 2026",$105.00,$0.00,,,Fixed price,,1
2016 P Australia HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF69 UC ER + OGP,262551439070,"Apr 19, 2026",$117.29,$0.00,,,Fixed price,https://www.ebay.com/itm/262551439070,3
2019 1oz .9999 Silver $1 Australian Kangaroo BU,197508422193,"Apr 15, 2026",$142.64,$0.00,,,Fixed price,https://www.ebay.com/itm/197508422193,2
,,"Apr 10, 2026",$133.00,$10.00,,,Fixed price,,1
"Kangaroo 2024 King Charles III First Issue 1oz Silver Proof Coin, Perth Mint COA",226003228764,"Apr 3, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/226003228764,2
"Lot of 2 EMPTY Perth MINT 1oz Silver Kangaroo Coin Tubes, USED, NO COINS",168213899585,"Apr 1, 2026",$15.00,$12.73,,,Fixed price,https://www.ebay.com/itm/168213899585,5
,,"Apr 1, 2026",$15.75,$12.73,,,Fixed price,,5
,,"Mar 24, 2026",$128.00,$6.50,,,Fixed price,,1
,,"Mar 15, 2026",$196.62,$22.38,,,Auction,,1
,,"Mar 15, 2026",$341.63,$0.00,,,Auction,,1
2024 P Perth Mint 125 Anniv. 1oz Silver Kangaroo/koala/Kooka NGC PF70 $1 Coin ER,266842304150,"Mar 11, 2026",$192.00,$82.30,,,Fixed price,https://www.ebay.com/itm/266842304150,3
,,"Mar 9, 2026",$125.86,$5.77,,,Auction,,1
2025 Australia Kangaroo 1oz $1 Silver Proof Colored High Relief Coin,326475977995,"Mar 7, 2026",$128.90,$0.00,,,Fixed price,https://www.ebay.com/itm/326475977995,6
,,"Mar 7, 2026",$86.06,$7.31,,,Auction,,1
,,"Mar 7, 2026",$89.00,$7.40,,,Auction,,1
,,"Mar 6, 2026",$90.00,$7.31,,,Auction,,1
[Removed] Item 177842900019,177842900019,"Mar 4, 2026",$39.66,$1.99,,,Fixed price,,12
2023 Australia Silver Kangaroo NGC MS70 $1 1oz Coin Flag ER Label Double Dates,256008244199,"Mar 3, 2026",$133.49,$0.00,,,Fixed price,https://www.ebay.com/itm/256008244199,5
2024 Colored HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 FR Blue Label,266963081421,"Feb 27, 2026",$176.20,$23.05,,,Fixed price,https://www.ebay.com/itm/266963081421,2
2016 P Australia HIGH RELIEF 1oz Silver Kangaroo $1 Coin NGC PF70 UC ER + OGP,262551418395,"Feb 24, 2026",$156.94,$0.00,,,Fixed price,https://www.ebay.com/itm/262551418395,3
2025 Australia Silver Kangaroo NGC MS70 $1 1oz Coin E w/ King Charles II Effigy,256743728454,"Feb 21, 2026",$112.50,$0.00,,,Fixed price,https://www.ebay.com/itm/256743728454,5
,,"Feb 19, 2026",$155.00,$5.89,,,Fixed price,,1
