Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Australian Gold Kangaroo 1/2 oz PCGS MS-69,228978336420,11/30/2025,"$1,563.92",$4.99,Certified,sdbullion,Auction,https://www.ebay.com/itm/228978336420
Australia Gold Kangaroo 1/2 oz .9999 BU,202890586194,12/4/2025,"$1,410.71",$4.99,Uncirculated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/202890586194
Australia Gold Kangaroo 1/2 oz .9999 BU,295162128958,1/10/2026,"$1,409.55",Free,Uncirculated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/295162128958
Australian Gold Kangaroo 1/2 oz PCGS MS-69,267388339065,1/29/2026,"$1,569.33",Free,Certified,greatcollections,Buy It Now,https://www.ebay.com/itm/267388339065
Australian Gold Kangaroo 1/2 oz NGC MS-69,107796472537,1/10/2026,"$1,403.08",Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/107796472537
Australian Gold Kangaroo 1/2 oz PCGS MS-69,247752910067,12/18/2025,"$1,556.54",Free,Certified,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/247752910067
Australia Gold Kangaroo 1/2 oz .9999 BU,348010967521,12/6/2025,"$1,501.21",Free,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/348010967521
Australian Gold Kangaroo 1/2 oz NGC MS-69,315923932547,11/24/2025,"$1,516.63",Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/315923932547
Australia Gold Kangaroo 1/2 oz .9999 BU,319498568976,1/13/2026,"$1,366.22",Free,Uncirculated,keydate_coins,Auction,https://www.ebay.com/itm/319498568976
Australia Gold Kangaroo 1/2 oz .9999 BU,228414011877,1/22/2026,"$1,457.17",Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/228414011877
Australia Gold Kangaroo 1/2 oz .9999 BU,149100115005,11/25/2025,"$1,517.80",Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/149100115005
Australia Gold Kangaroo 1/2 oz .9999 BU,238364343044,11/22/2025,"$1,493.92",Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/238364343044
Australian Gold Kangaroo 1/2 oz NGC MS-69,125234015394,1/28/2026,"$1,404.93",Free,Certified,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/125234015394
Australia Gold Kangaroo 1/2 oz .9999 BU,376886410124,1/23/2026,"$1,464.31",Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/376886410124
Australia Gold Kangaroo 1/2 oz .9999 BU,106811362409,2/5/2026,"$1,355.76",Free,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/106811362409
Australia Gold Kangaroo 1/2 oz .9999 BU,348231866317,1/18/2026,"$1,399.80",Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/348231866317
