Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Mar 6, 2026",$59.23,$5.37,,,Fixed price,,3
2026 Australia PROOF Lunar Year of the Horse 1/2oz Silver Half Dollar Coin S-III,226952928774,"Feb 19, 2026",$82.29,$0.00,,,Fixed price,https://www.ebay.com/itm/226952928774,3
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Coin Lunar,326344018091,"Feb 7, 2026",$105.04,$0.00,,,Fixed price,https://www.ebay.com/itm/326344018091,3
"2024 Australia Half Dollar Year of the Dragon, PCGS MS70 Orange Left Colorized",146956729866,"Jan 2, 2026",$54.90,$0.00,,,Fixed price,https://www.ebay.com/itm/146956729866,2
2021 P Australia 50c Silver Year of the Ox NGC MS70 HALF DOLLAR,117054262982,"Apr 1, 2026",$78.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117054262982,1
,,"Jan 23, 2026","$1,101.00",$0.00,,,Auction,,1
,,"Feb 5, 2026",$71.00,$6.89,,,Auction,,1
,,"Feb 12, 2026",$70.69,$6.89,,,Auction,,1
,,"Feb 19, 2026",$57.00,$6.89,,,Auction,,1
2004 Australian Colorized Monkey Half Kilogram Silver Coin 1/2 Kilo In Capsule,127913316778,"Jun 11, 2026","$1,100.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127913316778,1
,,"Mar 14, 2026",$56.79,$5.52,,,Fixed price,,1
"2024 Year of the Dragon Australia Half Dollar, ICG Brilliant UNC Black Ruthenium",146956729519,"Mar 15, 2026",$79.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146956729519,1
,,"Feb 9, 2026",$44.00,$5.00,,,Fixed price,,1
2024 Purple Lunar Year of the Dragon 1/2oz Silver Half Dollar Coin In Capsule,157800645344,"Apr 1, 2026",$70.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157800645344,1
,,"Jan 22, 2026",$66.00,$6.89,,,Auction,,1
,,"Jan 29, 2026",$64.00,$6.89,,,Auction,,1
,,"Jan 29, 2026",$63.95,$7.55,,,Fixed price,,1
,,"Feb 22, 2026",$65.00,$4.76,,,Fixed price,,1
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Coin Lunar,227261305725,"Apr 13, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227261305725,1
,,"Jan 26, 2026",$67.50,$2.17,,,Fixed price,,1
,,"Jan 24, 2026",$79.00,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$47.50,$5.75,,,Fixed price,,1
,,"Jan 26, 2026",$74.99,$5.45,,,Fixed price,,1
,,"Jan 26, 2026",$74.99,$5.45,,,Fixed price,,1
,,"Feb 28, 2026",$144.99,$5.70,,,Auction,,1
,,"Mar 7, 2026",$69.99,$5.70,,,Auction,,1
,,"Mar 7, 2026",$75.30,$5.70,,,Auction,,1
,,"Jan 24, 2026",$570.00,$0.00,,,Auction,,1
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Lunar w/Box,298047429220,"Apr 29, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298047429220,1
Australian 2024 Lunar Year of the Dragon Half oz .50 Silver MS70 ICG Certified,298256075107,"Apr 28, 2026",$51.00,$5.73,,,Auction,https://www.ebay.com/itm/298256075107,1
,,"Feb 24, 2026",$60.00,$5.00,,,Fixed price,,1
,,"Feb 19, 2026",$60.00,$5.89,,,Fixed price,,1
,,"Feb 14, 2026",$79.99,$0.00,,,Fixed price,,1
,,"Feb 18, 2026",$60.00,$5.00,,,Auction,,1
,,"Feb 18, 2026",$58.00,$5.00,,,Auction,,1
,,"Feb 18, 2026",$75.00,$4.88,,,Auction,,1
,,"Feb 18, 2026",$71.00,$5.00,,,Auction,,1
,,"Feb 18, 2026",$67.14,$5.40,,,Auction,,1
,,"Jan 1, 2026",$65.00,$4.95,,,Auction,,1
Queen Elizabeth II Silver Coin Half Ounce 50 Cents Shark,336550539267,"May 1, 2026",$32.00,$5.62,,,Auction,https://www.ebay.com/itm/336550539267,1
2012 Year of the Dragon One HALF Ounce .999 Fine Silver Bullion Round Proof Coin,358500913448,"May 6, 2026",$39.99,$5.95,,,Auction,https://www.ebay.com/itm/358500913448,1
,,"Jan 24, 2026",$57.00,$0.00,,,Auction,,1
2024 P125 Australia S50C Year of The Dragon- NGC MS70 - 2024 .9999 AG half troy,406836742654,"Apr 8, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/406836742654,1
