Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Australia Lunar Series 1/4 oz Gold BU,307380950674,1/8/2026,"$1,340.21",$4.99,Uncirculated,sdbullion,Best Offer,https://www.ebay.com/itm/307380950674
Australian Lunar Gold 1/4 oz PCGS MS-70,375328691985,12/22/2025,"$1,436.38",Free,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/375328691985
Australian Lunar Gold 1/4 oz NGC MS-69,115499486236,2/12/2026,"$1,352.46",Free,Certified,legend_numismatics,Best Offer,https://www.ebay.com/itm/115499486236
Australia Lunar Series 1/4 oz Gold BU,297151499104,2/15/2026,"$1,302.56",Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/297151499104
Australia Lunar Series 1/4 oz Gold BU,356016833084,1/22/2026,"$1,331.06",$4.99,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/356016833084
Australian Lunar Gold 1/4 oz PCGS MS-69,121028515679,1/18/2026,"$1,358.12",$4.99,Certified,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/121028515679
Australia Lunar Series 1/4 oz Gold BU,231821418559,12/26/2025,"$1,315.01",Free,Uncirculated,silvertowne,Best Offer,https://www.ebay.com/itm/231821418559
Australian Lunar Gold 1/4 oz PCGS MS-69,300340453119,2/13/2026,"$1,354.39",Free,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/300340453119
Australia Lunar Series 1/4 oz Gold BU,209032149509,2/10/2026,"$1,324.91",Free,Uncirculated,bullionshark,Best Offer,https://www.ebay.com/itm/209032149509
Australia Lunar Series 1/4 oz Gold BU,258294824138,12/5/2025,"$1,374.55",Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/258294824138
Australia Lunar Series 1/4 oz Gold BU,129515191901,1/25/2026,"$1,321.04",$5.99,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/129515191901
Australia Lunar Series 1/4 oz Gold BU,139215499246,12/23/2025,"$1,288.92",$4.99,Uncirculated,pinehurst_coins,Auction,https://www.ebay.com/itm/139215499246
Australian Lunar Gold 1/4 oz NGC MS-69,130938509027,11/28/2025,"$1,331.21",Free,Certified,silvertowne,Best Offer,https://www.ebay.com/itm/130938509027
Australia Lunar Series 1/4 oz Gold BU,278053595915,2/5/2026,"$1,371.75",Free,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/278053595915
