Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Australia Lunar Series 1/10 oz Gold BU,206799272694,2/19/2026,$574.85,Free,Uncirculated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/206799272694
Australian Lunar Gold 1/10 oz NGC MS-69,314384307662,12/17/2025,$563.23,Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/314384307662
Australian Lunar Gold 1/10 oz NGC MS-70,338082522559,12/13/2025,$621.28,Free,Certified,greatcollections,Auction,https://www.ebay.com/itm/338082522559
Australia Lunar Series 1/10 oz Gold BU,208818580703,2/9/2026,$533.75,Free,Uncirculated,apmex,Auction,https://www.ebay.com/itm/208818580703
Australia Lunar Series 1/10 oz Gold BU,308306989882,1/30/2026,$570.69,Free,Uncirculated,moderncoinmart,Best Offer,https://www.ebay.com/itm/308306989882
Australian Lunar Gold 1/10 oz PCGS MS-69,114797732039,12/3/2025,$574.91,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/114797732039
Australia Lunar Series 1/10 oz Gold BU,106005663267,2/9/2026,$568.61,Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/106005663267
Australia Lunar Series 1/10 oz Gold BU,185114813228,12/18/2025,$535.50,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/185114813228
Australian Lunar Gold 1/10 oz PCGS MS-69,306410269384,12/18/2025,$572.03,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/306410269384
Australia Lunar Series 1/10 oz Gold BU,144291820563,1/28/2026,$563.74,$4.99,Uncirculated,moderncoinmart,Buy It Now,https://www.ebay.com/itm/144291820563
Australia Lunar Series 1/10 oz Gold BU,320376937368,12/20/2025,$537.78,Free,Uncirculated,silvertowne,Best Offer,https://www.ebay.com/itm/320376937368
Australia Lunar Series 1/10 oz Gold BU,147475718656,2/15/2026,$554.53,$4.99,Uncirculated,goldhillcoins,Best Offer,https://www.ebay.com/itm/147475718656
Australian Lunar Gold 1/10 oz PCGS MS-70,312453059040,2/8/2026,$588.84,$4.99,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/312453059040
Australian Lunar Gold 1/10 oz PCGS MS-69,313547217975,11/28/2025,$589.48,Free,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/313547217975
