Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Perth Mint Lunar Silver 2 oz BU,343151050327,12/8/2025,$178.57,Free,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/343151050327
Perth Mint Lunar Silver 2 oz BU,356670739193,1/9/2026,$184.67,Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/356670739193
Australia Lunar Series III 2 oz Silver BU,200214426988,12/24/2025,$174.72,Free,Uncirculated,bullionshark,Best Offer,https://www.ebay.com/itm/200214426988
Perth Mint Lunar Silver 2 oz BU,213361130468,2/6/2026,$181.34,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/213361130468
Perth Mint Lunar Silver 2 oz BU,366334732469,12/24/2025,$184.37,Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/366334732469
Australia Lunar Series III 2 oz Silver BU,325481414157,11/25/2025,$182.75,$4.99,Uncirculated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/325481414157
Australian Lunar Series 2 oz Silver NGC MS-70,280496562934,2/10/2026,$245.16,Free,Certified,apmex,Best Offer,https://www.ebay.com/itm/280496562934
Australian Lunar Series 2 oz Silver PCGS MS-69,337469876449,1/6/2026,$196.63,Free,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/337469876449
Australia Lunar Series III 2 oz Silver BU,189958536296,2/11/2026,$178.61,Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/189958536296
Perth Mint Lunar Silver 2 oz BU,305315852456,1/14/2026,$187.31,$3.99,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/305315852456
Australia Lunar Series III 2 oz Silver BU,202309426664,1/5/2026,$198.45,Free,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/202309426664
Australia Lunar Series III 2 oz Silver BU,218259581535,2/7/2026,$190.61,Free,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/218259581535
Australian Lunar Series 2 oz Silver NGC MS-69,310235387788,1/19/2026,$201.92,Free,Certified,silvertowne,Best Offer,https://www.ebay.com/itm/310235387788
Perth Mint Lunar Silver 2 oz BU,228285201784,12/8/2025,$178.82,Free,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/228285201784
Australian Lunar Series 2 oz Silver PCGS MS-70,242739007485,12/10/2025,$216.80,Free,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/242739007485
Australia Lunar Series III 2 oz Silver BU,392458159730,11/24/2025,$174.38,Free,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/392458159730
