Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Austria Gold Philharmonic 1/2 oz .9999 BU,242423202374,1/30/2026,"$2,707.92",Free,Uncirculated,apmex,Auction,https://www.ebay.com/itm/242423202374
Austria Gold Philharmonic 1/2 oz .9999 BU,280899540041,12/8/2025,"$2,714.84",Free,Uncirculated,davidlawrence,Best Offer,https://www.ebay.com/itm/280899540041
Austria Gold Philharmonic 1/2 oz .9999 BU,182686816591,2/19/2026,"$2,781.02",$4.99,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/182686816591
Austria Gold Philharmonic 1/2 oz .9999 BU,318254415812,1/22/2026,"$2,793.37",Free,Uncirculated,goldhillcoins,Auction,https://www.ebay.com/itm/318254415812
Austria Gold Philharmonic 1/2 oz .9999 BU,374067175267,1/12/2026,"$2,685.06",Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/374067175267
Austria Gold Philharmonic 1/2 oz .9999 BU,361914944688,1/14/2026,"$2,761.94",Free,Uncirculated,apmex,Best Offer,https://www.ebay.com/itm/361914944688
Austria Gold Philharmonic 1/2 oz .9999 BU,247472700044,1/15/2026,"$2,704.13",$4.99,Uncirculated,moderncoinmart,Best Offer,https://www.ebay.com/itm/247472700044
Austria Gold Philharmonic 1/2 oz .9999 BU,125924686961,2/1/2026,"$2,625.17",Free,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/125924686961
Austrian Gold Philharmonic 1/2 oz NGC MS-70,129109699487,1/4/2026,"$2,812.67",$3.99,Certified,davidlawrence,Auction,https://www.ebay.com/itm/129109699487
Austrian Gold Philharmonic 1/2 oz PCGS MS-69,307709768297,2/1/2026,"$2,721.09",Free,Certified,goldhillcoins,Auction,https://www.ebay.com/itm/307709768297
Austria Gold Philharmonic 1/2 oz .9999 BU,373684845887,12/14/2025,"$2,668.88",$3.99,Uncirculated,apmex,Best Offer,https://www.ebay.com/itm/373684845887
Austrian Gold Philharmonic 1/2 oz NGC MS-69,348248655763,2/1/2026,"$2,705.48",$3.99,Certified,bullionshark,Buy It Now,https://www.ebay.com/itm/348248655763
Austrian Gold Philharmonic 1/2 oz NGC MS-69,277178356403,12/13/2025,"$2,725.76",Free,Certified,liberty_coin,Auction,https://www.ebay.com/itm/277178356403
Austrian Gold Philharmonic 1/2 oz PCGS MS-69,172555969813,1/8/2026,"$2,732.68",$4.99,Certified,bullionshark,Buy It Now,https://www.ebay.com/itm/172555969813
Austria Gold Philharmonic 1/2 oz .9999 BU,212585596997,2/6/2026,"$2,766.16",Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/212585596997
Austrian Gold Philharmonic 1/2 oz PCGS MS-69,315974169846,12/25/2025,"$2,759.48",Free,Certified,apmex,Buy It Now,https://www.ebay.com/itm/315974169846
