Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1895 Barber Half Dollar Fine Condition 90% Silver San Francisco Mint Coin,366473682980,"Jun 24, 2026",$56.31,$0.00,,,Fixed price,https://www.ebay.com/itm/366473682980,8
1893 O Barber Half Dollar Beautiful Coin Silver,168445923800,"Jun 23, 2026",$63.86,$0.00,,,Fixed price,https://www.ebay.com/itm/168445923800,7
Whitman US Barber / Liberty Half Dollar Coin Album 1892 - 1915 #9124,152490204831,"Jun 22, 2026",$30.22,$0.00,,,Fixed price,https://www.ebay.com/itm/152490204831,16
USA 1892-1915 Barber Half Dollar 90% Silver Coin Average Circulated Random Date,197768742277,"Jun 21, 2026",$45.72,$0.00,,,Fixed price,https://www.ebay.com/itm/197768742277,44
1908-S Barber Half Dollar Average Circ 90% Silver,135674087868,"Jun 18, 2026",$34.05,$0.00,,,Fixed price,https://www.ebay.com/itm/135674087868,6
Barber Half Dollars Liberty Head 1892-1915 Coin Album 9124 New By Whitman,116298444038,"Jun 16, 2026",$33.15,$0.00,,,Fixed price,https://www.ebay.com/itm/116298444038,32
1905 Barber Half Dollar Average Circ 90% Silver,365507872511,"Jun 16, 2026",$31.90,$0.00,,,Fixed price,https://www.ebay.com/itm/365507872511,9
New Capital Plastic Holder US Type Half Dollars Bust Seated Barber Walking Case,113782472350,"Jun 14, 2026",$28.83,$0.00,,,Fixed price,https://www.ebay.com/itm/113782472350,6
Whitman Coin Album 9124 Barber Liberty Head Half Dollar 1892-1915 Book 50 cent,330972560979,"Jun 13, 2026",$27.71,$7.00,,,Fixed price,https://www.ebay.com/itm/330972560979,9
Roll of 20 - $10 Face Value Full Dates 90% Barber Half Dollars,175618187075,"Jun 9, 2026",$647.22,$0.00,,,Fixed price,https://www.ebay.com/itm/175618187075,22
"Whitman Half Dollar Capsules -10 count - Bust, Seated, Barber, Walker, Kennedy",204696075867,"Jun 9, 2026",$5.69,$5.95,,,Fixed price,https://www.ebay.com/itm/204696075867,26
"Random Barber Half Dollar - 90% Silver - Readable Dates, - Choose How Many!",335811588902,"Jun 8, 2026",$31.50,$1.57,,,Fixed price,https://www.ebay.com/itm/335811588902,42
[Removed] Item 188406177422,188406177422,"Jun 1, 2026",$25.80,$9.99,,,Fixed price,,10
1909-O Barber Half Dollar Average Circ 90% Silver,127033563714,"Jun 1, 2026",$31.97,$0.00,,,Fixed price,https://www.ebay.com/itm/127033563714,6
1915 S barber half dollar Excellent Condition.,397973079854,"May 27, 2026",$25.83,$0.00,,,Fixed price,https://www.ebay.com/itm/397973079854,7
Barber Half Dollar - 90% Silver - Full Readable Dates - Choose How Many!,155917560875,"May 24, 2026",$43.56,$0.00,,,Fixed price,https://www.ebay.com/itm/155917560875,114
,,"May 18, 2026",$78.00,$0.00,,,Fixed price,,7
,,"May 17, 2026",$93.34,$0.00,,,Fixed price,,9
1908-D Barber Half Dollar Average Circ 90% Silver,135436363039,"May 15, 2026",$37.64,$0.00,,,Fixed price,https://www.ebay.com/itm/135436363039,33
1904-S Barber Half Dollar Silver,117194136245,"May 14, 2026",$34.95,$4.95,,,Fixed price,https://www.ebay.com/itm/117194136245,1
1904-S Barber Half Dollar 50C PCGS VG08 Gorgeous Reverse For The Grade!,318234273734,"May 14, 2026",$180.00,$5.97,,,Fixed price,https://www.ebay.com/itm/318234273734,1
1911-S San Francisco Mint Silver Barber Half Dollar Very Good,800010799774,"May 14, 2026",$26.50,$5.00,,,Fixed price,https://www.ebay.com/itm/800010799774,1
1901 S Barber Half Dollar Liberty Head,397638009030,"May 13, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397638009030,1
"1896-S US Barber Half Dollar, scarce date, Wholesale on a G is $85",296760080142,"May 13, 2026",$59.00,$9.50,,,Fixed price,https://www.ebay.com/itm/296760080142,1
1908-D BARBER SILVER HALF DOLLAR ~ FINE~NICE COIN~,187435150880,"May 13, 2026",$47.99,$6.25,,,Fixed price,https://www.ebay.com/itm/187435150880,1
05/00013 L#1323 Barber Silver Half Dollar,800010826446,"May 13, 2026",$99.00,$0.00,,,Auction,https://www.ebay.com/itm/800010826446,1
05/00013 L#1313 Barber Silver Half Dollar,800010827673,"May 13, 2026",$111.00,$0.00,,,Auction,https://www.ebay.com/itm/800010827673,1
05/00013 L#1306 Barber Silver Half Dollar,800010828150,"May 13, 2026",$102.00,$0.00,,,Auction,https://www.ebay.com/itm/800010828150,1
1908-O 50C Barber Liberty Head Half Dollar in Fine Condition QA,127860107445,"May 13, 2026",$54.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127860107445,1
"1893 Better Date Barber Half Dollar, NGC XF 40, Natural & Undamaged",257475013349,"May 13, 2026",$269.95,$0.00,,,Fixed price,https://www.ebay.com/itm/257475013349,1
05/00013 L#1297 Barber Silver Half Dollar,157905703359,"May 13, 2026",$41.00,$0.00,,,Auction,https://www.ebay.com/itm/157905703359,1
1912-D Silver Barber Half Dollar - Scarce Better Date No Reserve #K1365,377166991875,"May 13, 2026",$33.00,$1.44,,,Auction,https://www.ebay.com/itm/377166991875,1
1906-D Barber Half Dollar,358527837353,"May 13, 2026",$34.00,$0.00,,,Auction,https://www.ebay.com/itm/358527837353,1
1902-O Barber Silver Half Dollar. Free Shipping,277973477810,"May 13, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277973477810,1
1907-D Barber Half Dollar,236802672371,"May 13, 2026",$28.00,$1.00,,,Auction,https://www.ebay.com/itm/236802672371,1
1907-S Barber Half Dollar and (2) Walking Liberty Low Mintage lot of Three,157896439682,"May 13, 2026",$84.00,$5.00,,,Auction,https://www.ebay.com/itm/157896439682,1
1893-O Barber Half Dollar 50C VF Details Cleaned NGC,236806704286,"May 13, 2026",$145.00,$0.00,,,Auction,https://www.ebay.com/itm/236806704286,1
Lot of 10 50c Barber Silver Half Dollars,147297311360,"May 13, 2026",$305.00,$0.00,,,Auction,https://www.ebay.com/itm/147297311360,1
1900 50c Barber Silver Half Dollar,147297234987,"May 13, 2026",$41.00,$0.00,,,Auction,https://www.ebay.com/itm/147297234987,1
1902 Barber Half Dollar 50c NGC Certified VF25,306927900895,"May 13, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306927900895,1
1908 S 50c Barber Silver Half Dollar,137286820180,"May 13, 2026",$51.00,$0.00,,,Auction,https://www.ebay.com/itm/137286820180,1
1898 50c Barber Silver Half Dollar,147297206617,"May 13, 2026",$48.00,$0.00,,,Auction,https://www.ebay.com/itm/147297206617,1
