Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Great Britain 2005 Seated Britannia 10 Pounds 1/10 oz Gold NGC PF69 UC Sku# 1739,297203221993,"May 10, 2026",$700.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297203221993,1
2026 Great Britain Gold Britannia £25 1/4 oz - BU,376870808351,"May 9, 2026","$1,321.95",$0.00,,,Fixed price,https://www.ebay.com/itm/376870808351,5
Great Britain 1987 Britannia 10 Pounds 1/10 oz Gold Proof Coin NGC PF69 Sku#1262,297203221990,"May 5, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297203221990,1
2023 Great Britain UK £10 1/10 Oz Gold Britannia NGC MS70 LOT 140706,227217468825,"May 4, 2026",$700.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227217468825,1
Great Britain Gold Britannia £10 - 1/10 oz - BU - Random Date,377023502403,"May 3, 2026",$520.30,$0.00,,,Fixed price,https://www.ebay.com/itm/377023502403,23
2013 1/20 oz Gold Britannia coin NGC PF69 Ultra Cameo - Great Britain First Year,257475283881,"May 2, 2026",$297.00,$6.50,,,Auction,https://www.ebay.com/itm/257475283881,1
2024 Great Britain 1/10 oz Gold Britannia MS68 ICG King Charles III .9999 Fine,147287377073,"May 1, 2026",$509.15,$0.00,,,Fixed price,https://www.ebay.com/itm/147287377073,1
2026 Great Britain 1 oz Gold Britannia BU,116942293012,"Apr 30, 2026","$4,637.95",$49.99,,,Fixed price,https://www.ebay.com/itm/116942293012,4
2026 Great Britain 1/10 oz Gold Britannia BU,116798453557,"Apr 29, 2026",$556.64,$51.39,,,Fixed price,https://www.ebay.com/itm/116798453557,74
2021 Great Britain 1/10 oz Gold Britannia BU,114558032079,"Apr 29, 2026",$541.56,$0.00,,,Fixed price,https://www.ebay.com/itm/114558032079,3
2024 1 oz Gold Great Britain Britannia Liberty NGC PF 70 Mintage 810,306902222469,"Apr 28, 2026","$6,700.00",$22.50,,,Auction,https://www.ebay.com/itm/306902222469,1
2021 Great Britain 1/2 oz Gold Britannia BU Coin .9999 Fine £50 Queen Elizabeth,127828089731,"Apr 24, 2026","$2,390.00",$5.07,,,Fixed price,https://www.ebay.com/itm/127828089731,1
2026 Great Britain Gold Britannia £100 1 oz - BU,406605800306,"Apr 24, 2026","$5,144.06",$0.00,,,Fixed price,https://www.ebay.com/itm/406605800306,3
2023 Great Britain 1/10 oz Gold Britannia ICG MS69 Charles III,366362700597,"Apr 22, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366362700597,1
2017 Great Britain Gold Britannia £100 1 oz - BU,137247673272,"Apr 22, 2026","$4,780.00",$30.00,,,Fixed price,https://www.ebay.com/itm/137247673272,1
22mm Airtite Coin Capsule w White Ring for 1/4 oz Great Britain Gold Britannia,116408767481,"Apr 21, 2026",$1.75,$5.29,,,Fixed price,https://www.ebay.com/itm/116408767481,1
1987 Great Britain 1/10 oz Proof Gold Britannia PR-70 PCGS,117111838641,"Apr 19, 2026",$780.46,$0.00,,,Fixed price,https://www.ebay.com/itm/117111838641,1
2023 Great Britain 1/10 oz Gold Britannia BU (Queen Elizabeth II),115561268011,"Apr 16, 2026",$582.67,$0.00,,,Fixed price,https://www.ebay.com/itm/115561268011,1
Great Britain 1/10th Ounce .999 Fine Gold 2021 Britannia Elizabeth II Coin,206208567856,"Apr 15, 2026",$500.00,$5.99,,,Fixed price,https://www.ebay.com/itm/206208567856,1
Great Britain 1987 Britannia 25 Pounds Gold Proof Coin NGC PF69 UC SKU# 1584,306238660998,"Apr 13, 2026","$1,550.00",$0.00,,,Fixed price,https://www.ebay.com/itm/306238660998,1
Great Britain 2001 Britannia Una and the Lion 100 Pounds 1 oz Gold NGC MS68 2757,306238661688,"Apr 12, 2026","$5,981.00",$0.00,,,Fixed price,https://www.ebay.com/itm/306238661688,1
Great Britain Gold Britannia £50 - 1/2 oz - BU - Random Date,405120232413,"Apr 10, 2026","$2,431.55",$0.00,,,Fixed price,https://www.ebay.com/itm/405120232413,4
Great Britain UK 2022 BRITANNIA 1/4 Oz Gold £25 Pound Proof Coin NGC PF70 UC FR,168170683466,"Apr 10, 2026","$1,849.99",$64.99,,,Fixed price,https://www.ebay.com/itm/168170683466,1
2024 GOLD GREAT BRITAIN 1/10 OZ BRITANNIA KING CHARLES III COIN ANACS MS 70,336406706944,"Apr 9, 2026",$589.00,$8.30,,,Fixed price,https://www.ebay.com/itm/336406706944,1
Great Britain UK 1987 BRITANNIA 1/2 Oz Gold £50 Pound Proof Coin NGC PF69 UC,167875057854,"Apr 6, 2026","$2,849.99",$19.99,,,Fixed price,https://www.ebay.com/itm/167875057854,1
2025 Great Britain 1/10 oz Gold Britannia BU,178022305928,"Apr 6, 2026",$500.00,$5.00,,,Fixed price,https://www.ebay.com/itm/178022305928,1
2024 ICG MS 69 Great Britain Gold 10PNDS Britannia 1/10th oz - Gold Label,178017322023,"Apr 5, 2026",$480.00,$7.95,,,Auction,https://www.ebay.com/itm/178017322023,1
2015 Great Britain 1 oz Gold Britannia BU,143084711177,"Apr 1, 2026","$5,117.39",$0.00,,,Fixed price,https://www.ebay.com/itm/143084711177,3
2013 Great Britain 1/20 oz Gold Britannia NGC PF70 Ultra Cameo,298180814534,"Apr 1, 2026",$340.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298180814534,1
2023 Great Britain 2 x 1/10 oz Gold Britannia QE II & Charles III NGC MS70 SET,389737257584,"Mar 31, 2026","$1,210.00",$0.00,,,Fixed price,https://www.ebay.com/itm/389737257584,1
2023 Gold Britannia 1/10 oz • King Charles III • Great Britain 10 Pounds,147229524844,"Mar 29, 2026",$485.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147229524844,1
Great Britain 1987 Gold 1 oz 100 Pounds NGC PF68UC Britannia,236106466544,"Mar 27, 2026","$6,000.00",$45.00,,,Fixed price,https://www.ebay.com/itm/236106466544,1
2024 Great Britain 10 Pounds 1/10oz Gold Britannia Coin .9999 Fine,168242074936,"Mar 24, 2026",$510.00,$10.00,,,Auction,https://www.ebay.com/itm/168242074936,1
2024 Great Britain Gold Britannia £10 1/10 oz - BU,267597072974,"Mar 24, 2026",$515.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267597072974,1
2022 Great Britain 1/2 oz Gold Britannia BU,147194695910,"Mar 23, 2026","$2,475.17",$0.00,,,Fixed price,https://www.ebay.com/itm/147194695910,1
10 Direct Fit 33mm Coin Capsules for Great Britain 1 oz Gold Britannia | British,116466468783,"Mar 23, 2026",$6.21,$4.92,,,Fixed price,https://www.ebay.com/itm/116466468783,5
Great Britain Gold Britannia £100 - 1 oz - BU - Random Date,373843438150,"Mar 23, 2026","$4,888.45",$0.00,,,Fixed price,https://www.ebay.com/itm/373843438150,3
2024 Great Britain £10 Gold Royal Arms NGC MS69 1/10 oz .9999 Gold,137155375369,"Mar 21, 2026",$459.99,$5.07,,,Fixed price,https://www.ebay.com/itm/137155375369,1
