Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
British Gold Britannia 1/2 oz PCGS MS-70,144107526514,12/22/2025,"$2,744.10",Free,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/144107526514
Great Britain Gold Britannia 1/2 oz .9999 BU,146773356407,11/24/2025,"$2,715.15",Free,Uncirculated,silvertowne,Best Offer,https://www.ebay.com/itm/146773356407
Great Britain Gold Britannia 1/2 oz .9999 BU,156334855173,2/18/2026,"$2,599.80",$5.99,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/156334855173
Great Britain Gold Britannia 1/2 oz .9999 BU,235380181157,1/14/2026,"$2,687.89",Free,Uncirculated,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/235380181157
Great Britain Gold Britannia 1/2 oz .9999 BU,155572291374,2/4/2026,"$2,646.79",Free,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/155572291374
Great Britain Gold Britannia 1/2 oz .9999 BU,214427028140,2/10/2026,"$2,601.23",$5.99,Uncirculated,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/214427028140
Great Britain Gold Britannia 1/2 oz .9999 BU,308346443682,2/19/2026,"$2,698.01",Free,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/308346443682
British Gold Britannia 1/2 oz NGC MS-69,397143143568,12/27/2025,"$2,707.00",Free,Certified,govmint_official,Auction,https://www.ebay.com/itm/397143143568
British Gold Britannia 1/2 oz PCGS MS-69,165819750526,1/11/2026,"$2,781.32",$3.99,Certified,davidlawrence,Auction,https://www.ebay.com/itm/165819750526
Great Britain Gold Britannia 1/2 oz .9999 BU,190204367485,1/7/2026,"$2,686.25",$3.99,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/190204367485
Great Britain Gold Britannia 1/2 oz .9999 BU,145904543657,2/4/2026,"$2,668.65",Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/145904543657
Great Britain Gold Britannia 1/2 oz .9999 BU,377262099548,12/27/2025,"$2,709.83",Free,Uncirculated,govmint_official,Best Offer,https://www.ebay.com/itm/377262099548
Great Britain Gold Britannia 1/2 oz .9999 BU,273826020190,1/11/2026,"$2,617.76",$5.99,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/273826020190
British Gold Britannia 1/2 oz PCGS MS-69,327260067379,2/7/2026,"$2,775.26",Free,Certified,liberty_coin,Auction,https://www.ebay.com/itm/327260067379
British Gold Britannia 1/2 oz PCGS MS-70,183419545999,12/16/2025,"$2,988.87",Free,Certified,jmbullion,Best Offer,https://www.ebay.com/itm/183419545999
British Gold Britannia 1/2 oz PCGS MS-69,280556873906,12/16/2025,"$2,705.30",$4.99,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/280556873906
