Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Great Britain Gold Britannia 1/4 oz .9999 BU,285714733070,1/13/2026,"$1,355.98",Free,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/285714733070
British Gold Britannia 1/4 oz NGC MS-69,306903454014,1/13/2026,"$1,385.07",$5.99,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/306903454014
British Gold Britannia 1/4 oz NGC MS-69,209489035119,1/14/2026,"$1,352.90",$5.99,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/209489035119
Great Britain Gold Britannia 1/4 oz .9999 BU,211812191945,1/7/2026,"$1,311.54",Free,Uncirculated,govmint_official,Best Offer,https://www.ebay.com/itm/211812191945
Great Britain Gold Britannia 1/4 oz .9999 BU,100109856240,2/8/2026,"$1,323.78",Free,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/100109856240
Great Britain Gold Britannia 1/4 oz .9999 BU,270673011261,12/18/2025,"$1,311.90",Free,Uncirculated,liberty_coin,Auction,https://www.ebay.com/itm/270673011261
Great Britain Gold Britannia 1/4 oz .9999 BU,298033558311,1/4/2026,"$1,337.63",Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/298033558311
Great Britain Gold Britannia 1/4 oz .9999 BU,337526127638,2/1/2026,"$1,363.22",Free,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/337526127638
Great Britain Gold Britannia 1/4 oz .9999 BU,205884902900,2/6/2026,"$1,395.49",Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/205884902900
Great Britain Gold Britannia 1/4 oz .9999 BU,353194329216,11/25/2025,"$1,328.53",$5.99,Uncirculated,moderncoinmart,Buy It Now,https://www.ebay.com/itm/353194329216
Great Britain Gold Britannia 1/4 oz .9999 BU,277306456905,12/9/2025,"$1,362.78",Free,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/277306456905
British Gold Britannia 1/4 oz PCGS MS-69,323688617957,1/9/2026,"$1,395.59",$3.99,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/323688617957
Great Britain Gold Britannia 1/4 oz .9999 BU,228070766171,12/13/2025,"$1,330.17",Free,Uncirculated,legend_numismatics,Auction,https://www.ebay.com/itm/228070766171
Great Britain Gold Britannia 1/4 oz .9999 BU,303958605292,12/14/2025,"$1,321.98",Free,Uncirculated,apmex,Buy It Now,https://www.ebay.com/itm/303958605292
Great Britain Gold Britannia 1/4 oz .9999 BU,198491293911,12/21/2025,"$1,313.56",Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/198491293911
Great Britain Gold Britannia 1/4 oz .9999 BU,279419879700,12/17/2025,"$1,366.96",$5.99,Uncirculated,moderncoinmart,Best Offer,https://www.ebay.com/itm/279419879700
