Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2025 Royal Mint Great Britain Britannia 1/4 oz Silver Coin - BU,127472863520,"May 10, 2026",$31.22,$0.00,,,Fixed price,https://www.ebay.com/itm/127472863520,469
2026 Great Britain 1 oz Silver Britannia BU,127396625254,"Apr 29, 2026",$90.78,$49.99,,,Fixed price,https://www.ebay.com/itm/127396625254,227
2026 Great Britain 20 Pence Silver Britannia 1/10 Oz Silver,127624067977,"May 7, 2026",$17.84,$0.00,,,Fixed price,https://www.ebay.com/itm/127624067977,263
2026 Great Britain 50 Pence Silver Britannia 1/4 Oz 0.25 Oz Silver,136949072895,"May 5, 2026",$33.42,$0.00,,,Fixed price,https://www.ebay.com/itm/136949072895,211
2026 Great Britain Silver Britannia 1/10 oz 20 Pence BU 1 Roll 16 Coin Tube,376870808319,"Apr 27, 2026",$159.67,$0.00,,,Fixed price,https://www.ebay.com/itm/376870808319,169
Great Britain Silver Britannia 1 oz £2 - Random Date - BU Tube of 20 Coins,375912496821,"May 5, 2026","$1,545.39",$0.00,,,Fixed price,https://www.ebay.com/itm/375912496821,82
Great Britain 1 oz Silver Britannia BU (Random Year),142553872058,"May 10, 2026",$87.58,$49.99,,,Fixed price,https://www.ebay.com/itm/142553872058,99
[Removed] Item 358397661670,358397661670,"Apr 11, 2026",$18.04,$0.00,,,Fixed price,,96
2026 Great Britain 1 oz Silver Britannia MintDirect® Single-Pre-Sale,116876000750,"May 6, 2026",$94.63,$50.89,,,Fixed price,https://www.ebay.com/itm/116876000750,44
2021 Great Britain 1 oz Silver Music Legends: David Bowie BU,233899804678,"Apr 25, 2026",$89.70,$0.00,,,Fixed price,https://www.ebay.com/itm/233899804678,45
Great Britain Silver Britannia £2 - 1 oz - BU - Five 5 Coins - Random Date,305680628150,"Apr 30, 2026",$390.22,$0.00,,,Fixed price,https://www.ebay.com/itm/305680628150,33
