Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2012 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin Capsule,188006813174,"Apr 30, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/188006813174,1
Great Britain Silver Britannia £2 - 1 oz - BU - Five 5 Coins - Random Date,305680628150,"Apr 30, 2026",$390.22,$0.00,,,Fixed price,https://www.ebay.com/itm/305680628150,33
2025 £2 Great Britain 1 oz Silver Britannia REVERSE PF NGC PF69 - 1 of 2 in Set,257470077596,"Apr 29, 2026",$164.50,$5.99,,,Auction,https://www.ebay.com/itm/257470077596,1
2026 U.K. 2 Pound Silver Britannia .999 1 oz NGC MS69 Great Britain Label,178086290084,"Apr 29, 2026",$93.88,$0.00,,,Fixed price,https://www.ebay.com/itm/178086290084,3
RARE 2003 Great Britain 1oz .999 Silver Britannia Coin (£2) [z1],157850358539,"Apr 29, 2026",$148.50,$5.62,,,Auction,https://www.ebay.com/itm/157850358539,1
2018 Great Britain Two Dragons 1 Oz .999 Silver 2 Pounds - BU Coin in Capsule,198305770720,"Apr 29, 2026",$93.95,$5.95,,,Fixed price,https://www.ebay.com/itm/198305770720,3
2026 Great Britain Silver Britannia £2 1 oz - BU,376870808247,"Apr 29, 2026",$86.11,$0.00,,,Fixed price,https://www.ebay.com/itm/376870808247,1
2026 Great Britain Silver Britannia £2 1 oz BU 1 Roll 25 Coin Tube,376870808353,"Apr 29, 2026","$1,996.76",$0.00,,,Fixed price,https://www.ebay.com/itm/376870808353,5
Great Britain Silver Britannia 1 oz £2 - Random Date - BU Tube of 20 Coins,375912496821,"Apr 29, 2026","$1,544.54",$0.00,,,Fixed price,https://www.ebay.com/itm/375912496821,80
2025 Great Britain 1 Oz Silver £2 Britannia & Liberty NGC MS70 Black Label 999,287286847856,"Apr 28, 2026",$133.50,$8.00,,,Auction,https://www.ebay.com/itm/287286847856,1
Lot of Four 2023 Great Britain 2 Pounds 1oz Silver Britannias,137244685790,"Apr 28, 2026",$338.00,$0.00,,,Auction,https://www.ebay.com/itm/137244685790,1
Lot of Four 2022 Great Britain 2 Pounds 1oz Silver Britannias,137245299308,"Apr 28, 2026",$330.00,$0.00,,,Auction,https://www.ebay.com/itm/137245299308,1
2026 Great Britain 2 Pounds 1 Oz Silver Britannia MS70 NGC Brown Label,127701297734,"Apr 27, 2026",$649.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127701297734,1
U.K. 2026 £2 1-oz Silver Britannia .999 NGC MS69 Great Britain Label,389944581319,"Apr 27, 2026",$96.53,$0.00,,,Fixed price,https://www.ebay.com/itm/389944581319,3
Lot of Four 2022 Great Britain 2 Pounds 1oz Silver Britannias,137242530264,"Apr 27, 2026",$315.00,$0.00,,,Auction,https://www.ebay.com/itm/137242530264,1
Great Britain - 2004 - 1 oz Silver Britannia 2 Pounds - UNC,198302493975,"Apr 27, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/198302493975,1
Random Date Great Britain 2 Pound 1 Oz Silver Britannia Queen Elizabeth *7312,137243550738,"Apr 27, 2026",$99.95,$0.00,,,Auction,https://www.ebay.com/itm/137243550738,1
2016 Great Britain Textured Fields £2 PCGS MS 69 1oz .999 Fine Silver,206225093656,"Apr 26, 2026",$75.00,$5.89,,,Auction,https://www.ebay.com/itm/206225093656,1
2014 Great Britain 1 oz .999 Fine Silver Britannia 2 Pound Coin! PROOF COIN!,389913011233,"Apr 26, 2026",$86.00,$6.95,,,Auction,https://www.ebay.com/itm/389913011233,1
2025 £2 Great Britain 1 oz Silver Britannia REVERSE PF NGC PF69 - 1 of 2 in Set,257465185926,"Apr 26, 2026",$171.50,$5.99,,,Auction,https://www.ebay.com/itm/257465185926,1
2025 £2 Great Britain 1 oz Silver Britannia Proof NGC PF69 - 1 of 2 in Set,257465185930,"Apr 26, 2026",$117.50,$5.99,,,Auction,https://www.ebay.com/itm/257465185930,1
Lot of Four 2022 Great Britain 2 Pounds 1oz Silver Britannias,397850244789,"Apr 26, 2026",$326.00,$0.00,,,Auction,https://www.ebay.com/itm/397850244789,1
2023 Great Britain £2 Merlin 1oz 999 Fine Silver Coin NGC MS69 Purple Core,389921164342,"Apr 26, 2026",$83.00,$5.28,,,Auction,https://www.ebay.com/itm/389921164342,1
2023 GREAT BRITAIN 2 POUNDS COIN - 1 OZ. .999 FINE SILVER - GEM BU/PRIVY!,327112736008,"Apr 26, 2026",$74.56,$5.00,,,Auction,https://www.ebay.com/itm/327112736008,1
2004 Great Britain Britannia 1 oz Silver £2 Coin Toned .999 Fine Silver,318173593687,"Apr 26, 2026",$80.00,$5.83,,,Auction,https://www.ebay.com/itm/318173593687,1
2000 Great Britain 1oz .999 Silver Britannia Coin (£2) [h4],168318054759,"Apr 26, 2026",$81.25,$5.97,,,Auction,https://www.ebay.com/itm/168318054759,1
A 2000 Great Britain Silver £2 Britannia BU - Littleton Coin Company Packaging,157844186362,"Apr 25, 2026",$75.00,$2.36,,,Auction,https://www.ebay.com/itm/157844186362,1
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *029,137235464444,"Apr 24, 2026",$89.88,$0.00,,,Auction,https://www.ebay.com/itm/137235464444,1
2018 Great Britain £2 Silver Britannia 1 oz .999 BU In Mint Capsule,287282122627,"Apr 24, 2026",$100.00,$4.99,,,Auction,https://www.ebay.com/itm/287282122627,1
2021 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin #w047,127818703799,"Apr 24, 2026",$74.00,$2.47,,,Auction,https://www.ebay.com/itm/127818703799,1
2020 Great Britain 1 oz Silver Britannia £2 Coin .999 Fine BU #w046,127818698131,"Apr 24, 2026",$76.00,$4.99,,,Auction,https://www.ebay.com/itm/127818698131,1
Great Britain 2016 2 Pound Silver 1 oz. Coin: Britannia-NGCPF69 Reverse -9605474,178053979721,"Apr 23, 2026",$142.50,$3.99,,,Auction,https://www.ebay.com/itm/178053979721,1
2023 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *041,127814230845,"Apr 23, 2026",$83.30,$0.00,,,Auction,https://www.ebay.com/itm/127814230845,1
Great Britain 2015 £2 1oz Silver Britannia MS69 NGC 3979310-071,318167995506,"Apr 23, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318167995506,1
Great Britain Silver Britannia £2 - 1 oz - BU - Ten 10 Coins - Random Date,305680628146,"Apr 22, 2026",$757.88,$0.00,,,Fixed price,https://www.ebay.com/itm/305680628146,28
Great Britain 2013 2 Pound Silver 1 oz. Coin: Britannia-NGCPF69 Ult Cam -9605474,178053981956,"Apr 22, 2026",$172.49,$3.99,,,Auction,https://www.ebay.com/itm/178053981956,1
2023 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *069,366349739346,"Apr 22, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/366349739346,1
Lot of Three 2023 Great Britain 2 Pounds 1oz Silver Britannias,137228614238,"Apr 22, 2026",$240.01,$0.00,,,Auction,https://www.ebay.com/itm/137228614238,1
2020 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *061,127812551280,"Apr 22, 2026",$84.00,$0.00,,,Auction,https://www.ebay.com/itm/127812551280,1
Great Britain - 2002 - 1 oz Silver Britannia 2 Pounds - UNC,377116437995,"Apr 22, 2026",$82.10,$0.00,,,Auction,https://www.ebay.com/itm/377116437995,1
2021 Great Britain £2 Silver Britannia 1oz .999 BU Brilliant Uncirculated,197535384607,"Apr 22, 2026",$107.46,$0.00,,,Fixed price,https://www.ebay.com/itm/197535384607,9
2000 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *082,127810868251,"Apr 21, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/127810868251,1
Lot of Four 2023 Great Britain 2 Pounds 1oz Silver Britannias,147258806432,"Apr 21, 2026",$325.00,$0.00,,,Auction,https://www.ebay.com/itm/147258806432,1
2022 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *102,366347920049,"Apr 21, 2026",$83.56,$0.00,,,Auction,https://www.ebay.com/itm/366347920049,1
Lot of Three 2023 Great Britain 2 Pounds 1oz Silver Britannias,397839348191,"Apr 21, 2026",$242.50,$0.00,,,Auction,https://www.ebay.com/itm/397839348191,1
Great Britain 2014 2 Pound Silver 1 oz. Coin: Britannia-NGCPF69 Ult Cam -9605474,178053984858,"Apr 21, 2026",$255.99,$3.99,,,Auction,https://www.ebay.com/itm/178053984858,1
2016 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin,336534363052,"Apr 21, 2026",$80.00,$5.56,,,Auction,https://www.ebay.com/itm/336534363052,1
2022 Great Britain 2 Pounds 1 oz .999 Silver Britannia World Coin Uncirculated,117143152572,"Apr 21, 2026",$73.00,$8.30,,,Auction,https://www.ebay.com/itm/117143152572,1
2023 ICG Gem BU - Great Britain 1 oz Silver Britannia 2 Pound Coin #59422A ICG,168289447664,"Apr 21, 2026",$90.00,$8.00,,,Fixed price,https://www.ebay.com/itm/168289447664,1
2018 Great Britain £2 Silver Britannia 1 oz .999 BU In Mint Capsule,127682962886,"Apr 21, 2026",$92.00,$4.99,,,Fixed price,https://www.ebay.com/itm/127682962886,1
2025 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin,117109681694,"Apr 5, 2026",$77.00,$6.99,,,Auction,https://www.ebay.com/itm/117109681694
2014 Great Britain. 1 Oz. Silver Britannia COIN. 2 POUNDS ELIZABETH II D G REG,127781459345,"Mar 30, 2026",$72.00,$5.07,,,Fixed price,https://www.ebay.com/itm/127781459345
2008 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin Capsule,127653593182,"Mar 29, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127653593182
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *447,127762098109,"Mar 28, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/127762098109
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *434,127762151820,"Mar 28, 2026",$83.88,$0.00,,,Auction,https://www.ebay.com/itm/127762151820
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *442,127762185834,"Mar 28, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127762185834
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *456,127762316223,"Mar 28, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127762316223
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *440,127762509554,"Mar 28, 2026",$87.00,$0.00,,,Auction,https://www.ebay.com/itm/127762509554
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *422,127762555729,"Mar 28, 2026",$82.88,$0.00,,,Auction,https://www.ebay.com/itm/127762555729
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *443,127760196825,"Mar 27, 2026",$84.00,$0.00,,,Auction,https://www.ebay.com/itm/127760196825
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *449,127760218646,"Mar 27, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127760218646
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *427,127760305450,"Mar 27, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127760305450
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *458,127760333794,"Mar 27, 2026",$85.88,$0.00,,,Auction,https://www.ebay.com/itm/127760333794
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *441,127760358795,"Mar 27, 2026",$82.55,$0.00,,,Auction,https://www.ebay.com/itm/127760358795
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *436,127760464017,"Mar 27, 2026",$85.88,$0.00,,,Auction,https://www.ebay.com/itm/127760464017
2016 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *426,127760476635,"Mar 27, 2026",$85.88,$0.00,,,Auction,https://www.ebay.com/itm/127760476635
2023 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *921,127749926058,"Mar 23, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127749926058
2020 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *881,127750103253,"Mar 23, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/127750103253
Great Britain Silver Britannia 1 oz £2 - Random Date - 100 BU Coins in 5 Tubes,305680654772,"Mar 22, 2026","$7,018.78",$0.00,,,Fixed price,https://www.ebay.com/itm/305680654772
2022 Great Britain 2 Pounds 1 oz .999 Silver Britannia World Coin Uncirculated,117090008133,"Mar 22, 2026",$71.85,$7.95,,,Auction,https://www.ebay.com/itm/117090008133
2016 Great Britain 2 Pounds 1oz Silver Britannia Coin in a Capsule,137127679731,"Mar 22, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/137127679731
Great Britain Silver Britannia £2 - 1 oz - BU - Random Date,375544248041,"Mar 21, 2026",$81.51,$0.00,,,Fixed price,https://www.ebay.com/itm/375544248041
2020 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *891,127743388241,"Mar 21, 2026",$82.00,$0.00,,,Auction,https://www.ebay.com/itm/127743388241
2023 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *880,137128867877,"Mar 20, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/137128867877
2020 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *887,137129330321,"Mar 20, 2026",$86.99,$0.00,,,Auction,https://www.ebay.com/itm/137129330321
2020 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *934,127737624232,"Mar 19, 2026",$93.00,$0.00,,,Auction,https://www.ebay.com/itm/127737624232
2023 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *867,137123954646,"Mar 19, 2026",$84.85,$0.00,,,Auction,https://www.ebay.com/itm/137123954646
2023 Great Britain 2 Pounds - 1 Oz. Silver Britannia World Coin- Silver *904,137124241191,"Mar 19, 2026",$88.00,$0.00,,,Auction,https://www.ebay.com/itm/137124241191
2003 Great Britain 2 Pound Britannia 1 Oz .999 fine silver PROOF,117052051419,"Mar 15, 2026",$107.99,$6.24,,,Fixed price,https://www.ebay.com/itm/117052051419
Great Britain 2014 £2 Britannia Ounce Silver PCGS MS69 Starting to Tone,127725805585,"Mar 15, 2026",$81.00,$5.56,,,Auction,https://www.ebay.com/itm/127725805585
2003 Great Britain Britannia 2 Pounds BU 1 oz .999 Fine Silver UK Coin Capsule,127653541559,"Mar 11, 2026",$119.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127653541559
2023 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *084,127719041773,"Mar 11, 2026",$95.00,$0.00,,,Auction,https://www.ebay.com/itm/127719041773
2017 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *066,127719210958,"Mar 11, 2026",$94.00,$0.00,,,Auction,https://www.ebay.com/itm/127719210958
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *099,137095225255,"Mar 11, 2026",$98.00,$0.00,,,Auction,https://www.ebay.com/itm/137095225255
2023 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *030,137095389165,"Mar 11, 2026",$93.00,$0.00,,,Auction,https://www.ebay.com/itm/137095389165
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *675,127715064660,"Mar 9, 2026",$93.01,$0.00,,,Auction,https://www.ebay.com/itm/127715064660
2020 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *057,137088335163,"Mar 9, 2026",$91.00,$0.00,,,Auction,https://www.ebay.com/itm/137088335163
2023 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *112,137088796639,"Mar 9, 2026",$91.00,$0.00,,,Auction,https://www.ebay.com/itm/137088796639
2021 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *690,137085929595,"Mar 8, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/137085929595
2025 U.K. 2 Pound Silver Britannia .999 1 oz NGC MS70 Great Britain Label,205950073418,"Mar 7, 2026",$118.54,$0.00,,,Fixed price,https://www.ebay.com/itm/205950073418
2023 Great Britain 2 Pounds - 1 Oz Britannia World Coin- Silver *089,137081949074,"Mar 7, 2026",$93.11,$0.00,,,Auction,https://www.ebay.com/itm/137081949074
U.K. 2025 £2 1-oz Silver Britannia .999 NGC MS70 Great Britain Label,136888115937,"Mar 5, 2026",$120.56,$0.00,,,Fixed price,https://www.ebay.com/itm/136888115937
2018 Great Britain £2 Silver Britannia 1 oz .999 BU In Mint Capsule,188043118063,"Mar 2, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188043118063
2024 Great Britain Britannia Proof & Reverse Proof NGC PF70 FDOI 2 x 1 oz Silver,396143936073,"Feb 24, 2026",$516.50,$0.00,,,Fixed price,https://www.ebay.com/itm/396143936073
U.K. 2025 £2 1-oz Silver Britannia .999 NGC MS70 ER Great Britain Label,136931795087,"Feb 12, 2026",$119.42,$0.00,,,Fixed price,https://www.ebay.com/itm/136931795087
2025 U.K. 2 Pound Silver Britannia .999 1 oz NGC MS70 ER Great Britain Label,177757274441,"Feb 12, 2026",$112.56,$0.00,,,Fixed price,https://www.ebay.com/itm/177757274441
2020 Great Britain £2 Silver Britannia 1oz .999 BU Brilliant Uncirculated,397352007902,"Feb 9, 2026",$114.15,$0.00,,,Fixed price,https://www.ebay.com/itm/397352007902
2023 Great Britain Britannia 1 Oz Silver 2£ BU Coin,277697867571,"Feb 4, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277697867571
2010 2 Pounds Great Britain 1 oz Silver Britannia ANACS MS70,297910064966,"Jan 31, 2026",$145.00,$5.57,,,Fixed price,https://www.ebay.com/itm/297910064966
2016 Great Britain 2 Pounds Britannia Textured Fields 1 Oz Silver NGC MS 70 FDOI,187046106783,"Jan 28, 2026",$145.00,$4.95,,,Fixed price,https://www.ebay.com/itm/187046106783
2024 £2 GREAT BRITAIN PROOF SILVER BRITANNIA NGC PF70 UCAM WITH OGP BOX AND COA,286761499429,"Jan 25, 2026",$206.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286761499429
