Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 17, 2026",$84.95,$9.00,,,Fixed price,,2
,,"Jan 27, 2026",$125.00,$0.00,,,Fixed price,,2
2023 Canada Majestic POLAR BEAR & CUBS CANADA .9999 1oz Silver In Gov. Package,127800236393,"Apr 13, 2026",$100.00,$9.99,,,Fixed price,https://www.ebay.com/itm/127800236393,1
,,"Jan 20, 2026",$115.00,$0.00,,,Fixed price,,1
2015 Canada $20 Polar Bear Canadian Icons 1oz .9999 Silver Coin w/Jade & COA,136814752212,"Apr 21, 2026",$130.00,$7.55,,,Fixed price,https://www.ebay.com/itm/136814752212,1
,,"Jan 28, 2026",$132.50,$0.00,,,Auction,,1
,,"Feb 12, 2026",$99.00,$0.00,,,Auction,,1
2024 Canada $5 1oz Silver Maple Leaf with Polar Bear Privy in Mint Packaging,137028026235,"Feb 17, 2026",$91.00,$0.00,,,Auction,https://www.ebay.com/itm/137028026235,1
2024 Canada $5 1oz Silver Maple Leaf with Polar Bear Privy in Mint Packaging,137035129994,"Feb 22, 2026",$123.50,$0.00,,,Auction,https://www.ebay.com/itm/137035129994,1
2023 Canada 1oz. Silver Polar Bear Brilliant Uncirculated Coin In Capsule,137059910461,"Feb 21, 2026",$75.00,$4.88,,,Fixed price,https://www.ebay.com/itm/137059910461,1
,,"Jan 27, 2026",$137.50,$0.00,,,Auction,,1
,,"Jan 27, 2026",$136.01,$0.00,,,Auction,,1
2017 Fine silver 1oz $20 Glistening North: The Polar Bear with Real Diamonds,147172413928,"Mar 1, 2026",$114.40,$8.75,,,Fixed price,https://www.ebay.com/itm/147172413928,1
Majestic POLAR BEAR 2022 CANADA 1oz .9999 *Original mint-dated packaging,157651298626,"May 9, 2026",$100.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157651298626,1
,,"Feb 10, 2026",$130.00,$0.00,,,Auction,,1
,,"Nov 16, 2025",$94.95,$4.99,,,Fixed price,,1
2013 O Canada $25 1oz .9999 Silver Coin - The Polar Bear,168158786250,"Feb 21, 2026",$109.99,$6.99,,,Auction,https://www.ebay.com/itm/168158786250,1
Majestic POLAR BEAR 2022 CANADA 1oz .9999 Silver $5 Coin,168334467118,"Apr 26, 2026",$69.99,$5.89,,,Fixed price,https://www.ebay.com/itm/168334467118,1
,,"Jan 28, 2026",$140.00,$5.30,,,Fixed price,,1
2024 $5 Treasured Silver Maple Leaf: Polar Bear Privy Mark- 1oz Pure Silver Coin,178059696458,"May 11, 2026",$112.49,$5.40,,,Fixed price,https://www.ebay.com/itm/178059696458,1
,,"Dec 3, 2025",$58.85,$5.95,,,Fixed price,,1
2014 'Iconic Polar Bear' Colorized Proof $20 Silver Coin 1oz .9999 Fine,227280804252,"Apr 7, 2026",$89.01,$1.18,,,Auction,https://www.ebay.com/itm/227280804252,1
2023 Canada Majestic POLAR BEAR & CUBS CANADA .9999 1oz Silver In Gov. Package,236677593854,"Mar 12, 2026",$102.50,$5.77,,,Auction,https://www.ebay.com/itm/236677593854,1
,,"Jan 2, 2026",$99.00,$4.99,,,Fixed price,,1
,,"Jan 25, 2026",$124.99,$5.95,,,Auction,,1
,,"Nov 16, 2025",$59.99,$4.95,,,Fixed price,,1
,,"Dec 2, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Dec 2, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Dec 2, 2025",$62.00,$0.00,,,Fixed price,,1
2023 Canada 1oz 99.99% Silver Majestic Polar Bear & Cubs $5 Coin #334B,306869450501,"Apr 13, 2026",$107.50,$2.75,,,Auction,https://www.ebay.com/itm/306869450501,1
,,"Jan 27, 2026",$115.00,$6.00,,,Fixed price,,1
,,"Jan 2, 2026",$99.00,$4.99,,,Fixed price,,1
,,"Jan 9, 2026",$89.96,$0.00,,,Fixed price,,1
,,"Nov 28, 2025",$63.00,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$63.98,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$119.00,$0.00,,,Fixed price,,1
2025 Treasured Silver Maple Leaf 1oz .9999 Polar Bears Privy RCM,389592334635,"Feb 14, 2026",$117.50,$15.99,,,Auction,https://www.ebay.com/itm/389592334635,1
,,"Feb 10, 2026",$142.55,$0.00,,,Auction,,1
,,"Dec 18, 2025",$66.85,$5.09,,,Auction,,1
,,"Feb 4, 2026",$148.50,$0.00,,,Auction,,1
2024 Canada $5 1oz Silver Maple Leaf with Polar Bear Privy in Mint Packaging,397617280375,"Feb 23, 2026",$113.50,$0.00,,,Auction,https://www.ebay.com/itm/397617280375,1
Royal Canadian Mint 2016 $20 1oz Fine Silver Geometry in Art Polar Bear,397724157091,"Mar 20, 2026",$95.00,$5.39,,,Fixed price,https://www.ebay.com/itm/397724157091,1
2024 Canada $5 1oz Silver Maple Leaf with Polar Bear Privy in Mint Packaging,397779752751,"Apr 6, 2026",$107.50,$0.00,,,Auction,https://www.ebay.com/itm/397779752751,1
,,"Jan 26, 2026",$119.69,$10.15,,,Fixed price,,1
