Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Canada Gold Maple Leaf 1/2 oz .9999 BU,307130912341,2/8/2026,"$1,641.40",Free,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/307130912341
Canada Gold Maple Leaf 1/2 oz .9999 BU,300692478212,1/7/2026,"$1,582.70",$4.99,Uncirculated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/300692478212
Canada Gold Maple Leaf 1/2 oz .9999 BU,138141933315,12/31/2025,"$1,609.88",Free,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/138141933315
Canada Gold Maple Leaf 1/2 oz .9999 BU,209026011343,12/25/2025,"$1,524.00",Free,Uncirculated,liberty_coin,Auction,https://www.ebay.com/itm/209026011343
Canadian Gold Maple Leaf 1/2 oz NGC MS-69,188947182595,1/8/2026,"$1,638.06",Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/188947182595
Canadian Gold Maple Leaf 1/2 oz PCGS MS-70,312355189178,2/7/2026,"$1,727.17",$3.99,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/312355189178
Canada Gold Maple Leaf 1/2 oz .9999 BU,291763815560,11/27/2025,"$1,601.79",Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/291763815560
Canada Gold Maple Leaf 1/2 oz .9999 BU,363786432231,2/18/2026,"$1,641.89",$5.99,Uncirculated,silvertowne,Best Offer,https://www.ebay.com/itm/363786432231
Canada Gold Maple Leaf 1/2 oz .9999 BU,112263627734,2/10/2026,"$1,492.56",Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/112263627734
Canada Gold Maple Leaf 1/2 oz .9999 BU,161607426797,12/28/2025,"$1,584.19",$5.99,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/161607426797
Canadian Gold Maple Leaf 1/2 oz PCGS MS-69,155284256922,11/24/2025,"$1,624.01",Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/155284256922
Canada Gold Maple Leaf 1/2 oz .9999 BU,398831719880,1/15/2026,"$1,642.68",Free,Uncirculated,sdbullion,Auction,https://www.ebay.com/itm/398831719880
Canada Gold Maple Leaf 1/2 oz .9999 BU,179081178795,12/17/2025,"$1,596.38",Free,Uncirculated,keydate_coins,Auction,https://www.ebay.com/itm/179081178795
Canadian Gold Maple Leaf 1/2 oz PCGS MS-69,317049269879,1/13/2026,"$1,585.11",Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/317049269879
Canada Gold Maple Leaf 1/2 oz .9999 BU,277342149851,12/9/2025,"$1,505.07",Free,Uncirculated,liberty_coin,Buy It Now,https://www.ebay.com/itm/277342149851
Canadian Gold Maple Leaf 1/2 oz NGC MS-69,190745282960,12/17/2025,"$1,607.94",$3.99,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/190745282960
