Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Canada Gold Maple Leaf - 1/4 oz - $10 - .9999 Fine - Random Date,305681125900,"Apr 26, 2026","$1,247.64",$0.00,,,Fixed price,https://www.ebay.com/itm/305681125900,134
2026 Canada Gold Maple Leaf 1/4 oz $10 - BU,306721899369,"Apr 28, 2026","$1,378.95",$0.00,,,Fixed price,https://www.ebay.com/itm/306721899369,79
Canada Gold Maple Leaf 1/4 oz $10 BU .9999 Fine Random Date Mint Sealed Plastic,375440379909,"Apr 15, 2026","$1,291.97",$0.00,,,Fixed price,https://www.ebay.com/itm/375440379909,50
2026 $10 Gold Canadian Maple Leaf .9999 1/4 oz Brilliant Uncirculated,317620659068,"Apr 8, 2026","$1,331.63",$0.00,,,Fixed price,https://www.ebay.com/itm/317620659068,10
Canada 1/4 oz Gold Maple Leaf (Random Year),124358201278,"Apr 14, 2026","$1,376.99",$0.00,,,Fixed price,https://www.ebay.com/itm/124358201278,10
"1/4 oz Canadian Gold Maple Leaf (Random Year, BU)",386458615866,"Apr 13, 2026","$1,290.04",$0.00,,,Fixed price,https://www.ebay.com/itm/386458615866,9
,,"Jan 26, 2026","$1,288.77",$0.00,,,Fixed price,,7
2026 Gold 1/4 oz Canadian Gold Maple Leaf .9999 fine Gold 1/4 oz. RCM $10 Coin,195175503470,"Feb 11, 2026","$1,307.57",$0.00,,,Fixed price,https://www.ebay.com/itm/195175503470,4
2025 Canada 1/4 Oz Gold Gleaming Maple Leaves Reverse Proof Coin NGC PF 70 Leaf,167933971843,"Dec 4, 2025","$1,499.00",$0.00,,,Fixed price,https://www.ebay.com/itm/167933971843,3
$10 Gold Canadian Maple Leaf .9999 1/4 oz Random Year BU,205841210476,"Jan 15, 2026","$1,220.63",$0.00,,,Fixed price,https://www.ebay.com/itm/205841210476,3
2026 1/4 oz Canadian Gold Maple Leaf Coin (BU),389291249382,"Mar 1, 2026","$1,443.31",$0.00,,,Fixed price,https://www.ebay.com/itm/389291249382,4
2025 1/4 oz Canadian Gold Maple Leaf Coin (BU),395797574380,"Jan 27, 2026","$1,359.30",$0.00,,,Fixed price,https://www.ebay.com/itm/395797574380,2
2023 1/4 oz Canadian Gold Maple Leaf Coin (BU),396766671343,"Dec 11, 2025","$1,140.36",$0.00,,,Fixed price,https://www.ebay.com/itm/396766671343,3
1985 Canada 1/4 oz Gold Maple Leaf BU,112571120909,"Feb 5, 2026","$1,515.03",$49.99,,,Fixed price,https://www.ebay.com/itm/112571120909,1
2009 Canada 1/4 oz Gold Maple Leaf BU,112615929548,"Apr 5, 2026","$1,387.66",$0.00,,,Fixed price,https://www.ebay.com/itm/112615929548,1
Capital Holder For Canada Maple Leaf Gold Coins 1 1/2 1/4 1/10 1/20 White Case,114419073793,"Dec 19, 2025",$17.53,$0.00,,,Fixed price,https://www.ebay.com/itm/114419073793,1
1993 Canada 1/4 oz Gold Maple Leaf BU,116452373917,"Apr 10, 2026","$1,531.11",$0.00,,,Fixed price,https://www.ebay.com/itm/116452373917,1
1984 Canada 1/4 oz Gold Maple Leaf BU,124746654083,"Nov 30, 2025","$1,307.48",$49.99,,,Fixed price,https://www.ebay.com/itm/124746654083,1
2016 Canada 1/4 oz Gold Maple Leaf BU,124793234341,"Nov 1, 2025","$1,239.33",$0.00,,,Fixed price,https://www.ebay.com/itm/124793234341,1
1996 Canada 1/4 oz Gold Maple Leaf BU,125640572219,"Dec 8, 2025","$1,302.35",$49.99,,,Fixed price,https://www.ebay.com/itm/125640572219,1
,,"Nov 5, 2025","$1,249.99",$14.99,,,Fixed price,,1
,,"Jan 20, 2026","$1,150.00",$7.96,,,Fixed price,,1
1982-Now $10 Canada 1/4 oz Maple Leaf Screw Top Reeded Edge Coin Bezel 14k Gold,134076566037,"Dec 14, 2025",$324.99,$20.33,,,Fixed price,https://www.ebay.com/itm/134076566037,1
Canada 2026 $10 1/4-oz Gold Maple Leaf .9999 Brilliant Uncirculated,136814010541,"Jan 15, 2026","$1,318.56",$0.00,,,Fixed price,https://www.ebay.com/itm/136814010541,1
,,"Jan 21, 2026","$1,294.82",$9.95,,,Fixed price,,1
Random Year $10 1/4-oz Gold Canadian Maple Leaf .9999 GEM BU,146956470593,"Jan 13, 2026","$1,244.66",$0.00,,,Fixed price,https://www.ebay.com/itm/146956470593,1
,,"Dec 26, 2025","$1,315.00",$4.99,,,Auction,,1
,,"Jan 4, 2026","$1,201.01",$4.99,,,Auction,,1
,,"Nov 8, 2025","$1,090.00",$10.00,,,Fixed price,,1
2026 1/4 oz Fine Gold Canadian Maple Leaf .9999 Uncirculated (BU).,198113136293,"Mar 1, 2026","$1,360.97",$5.56,,,Fixed price,https://www.ebay.com/itm/198113136293,1
,,"Jan 27, 2026","$2,399.99",$47.00,,,Fixed price,,1
,,"Dec 8, 2025","$1,000.00",$4.87,,,Auction,,1
Canada 2015 Gold 1/4 oz $10 UNC Original Mint Sealed,206104573003,"Mar 8, 2026","$1,376.00",$6.07,,,Auction,https://www.ebay.com/itm/206104573003,1
Canada 2015 Gold 1/4 oz $10 UNC Original Mint Sealed Maple Leaf Gold,206141110673,"Mar 22, 2026","$1,250.00",$6.24,,,Auction,https://www.ebay.com/itm/206141110673,1
Canada 2015 Gold 1/4 oz $10 UNC Original Mint Sealed,206147391963,"Mar 22, 2026","$1,200.00",$6.24,,,Auction,https://www.ebay.com/itm/206147391963,1
,,"Jan 18, 2026",$152.00,$6.95,,,Fixed price,,1
Canada Gold Maple Leaf Coin Set 1 1/2 1/4 1/10 New Black Capital Holder 415CM4,236633694361,"Mar 18, 2026",$19.95,$0.00,,,Fixed price,https://www.ebay.com/itm/236633694361,1
,,"Jan 24, 2026","$1,308.50",$6.50,,,Auction,,1
Canadian Maple Leaf Gold Coin 2011 1/4 oz 0.999 $10 BU Uncirculated #GCM142,257337407779,"Feb 2, 2026","$1,225.00",$6.95,,,Auction,https://www.ebay.com/itm/257337407779,1
CANADA WORLD WAR LARGE 1 3/4 INCH GOLD COLOURED MAPLE LEAF W/CROWN UNIFORM BADGE,257403100455,"Mar 17, 2026",$12.50,$5.00,,,Auction,https://www.ebay.com/itm/257403100455,1
"Mack Trucks Canada Lapel Pin Maple Leaf Bulldog Gold Tone Green Eye 1 1/4""",257412600920,"Apr 17, 2026",$21.00,$7.95,,,Fixed price,https://www.ebay.com/itm/257412600920,1
canada 2020 relics of new france louis X1V 15 sol,257422505780,"Mar 24, 2026","$1,000.00",$20.00,,,Fixed price,https://www.ebay.com/itm/257422505780,1
Canada Gold Maple Leaf 1/4 oz $10 .9999 Fine 2023,257434104125,"Mar 31, 2026","$1,250.00",$5.00,,,Fixed price,https://www.ebay.com/itm/257434104125,1
Canada Gold Maple Leaf 1/4 oz $10 .9999 Fine 2017,257437801905,"Apr 2, 2026","$1,250.00",$5.00,,,Fixed price,https://www.ebay.com/itm/257437801905,1
1985 Canada 1/4 oz Gold Maple Leaf BU,257468205224,"Apr 26, 2026","$1,292.69",$5.97,,,Fixed price,https://www.ebay.com/itm/257468205224,1
,,"Jan 9, 2026","$2,000.00",$0.00,,,Auction,,1
,,"Nov 15, 2025",$950.00,$0.00,,,Auction,,1
,,"Dec 1, 2025","$1,250.00",$4.95,,,Fixed price,,1
,,"Nov 29, 2025","$1,025.00",$5.20,,,Auction,,1
"Mack Trucks Canada Lapel Pin Maple Leaf Bulldog Gold Tone Green Eye 1 1/4""",277780262669,"Mar 6, 2026",$16.00,$7.95,,,Fixed price,https://www.ebay.com/itm/277780262669,1
$10 Gold Canadian Maple Leaf .9999 1/4 oz Random Year BU,205841210476,"May 1, 2026","$1,227.51",$0.00,,,Fixed price,https://www.ebay.com/itm/205841210476,6
2016 Canada 1/4 oz Gold Maple Leaf BU,124793234341,"Apr 30, 2026","$1,406.48",$0.00,,,Fixed price,https://www.ebay.com/itm/124793234341,1
1998 Canada $5 Gold Maple Leaf w/ Privy Mark 2nd Edition w / COA 1/10 oz. #4,286832862115,"Jan 12, 2026",$543.29,$0.00,,,Fixed price,https://www.ebay.com/itm/286832862115,1
1982-Now $10 Canada 1/4 oz Maple Leaf Screw Top Reeded Edge Coin Bezel 14k Gold,287013086197,"Jan 20, 2026",$309.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287013086197,1
,,"Dec 27, 2025","$1,187.67",$7.80,,,Auction,,1
,,"Dec 27, 2025","$1,158.52",$7.50,,,Auction,,1
2022 Canada 1/4 oz Gold Maple Leaf BU,287110880443,"Feb 4, 2026","$1,250.00",$5.07,,,Fixed price,https://www.ebay.com/itm/287110880443,1
2019 1/4 oz Canada Gold Maple Leaf $10 Coin .9999 Fine BU,287144825909,"Feb 25, 2026","$1,380.01",$0.00,,,Auction,https://www.ebay.com/itm/287144825909,1
1/4 oz Gold Canadian Maple Leaf (Abrasions),287181980020,"Mar 9, 2026","$1,250.00",$7.55,,,Auction,https://www.ebay.com/itm/287181980020,1
1899 RARE FIND Canada Cup & saucer Teacup Gold encrusted Maple leaf,297841213644,"Apr 1, 2026",$40.00,$10.00,,,Fixed price,https://www.ebay.com/itm/297841213644,1
"🌟(4) 2015 Canada .9999 Gold Maple Leaf oz Coins Sealed Pouch, 0.4 oz TOTAL",298043628131,"Feb 19, 2026","$2,199.99",$0.00,,,Fixed price,https://www.ebay.com/itm/298043628131,1
1984 $10 1/4 oz .9999 Gold Canadian Maple Leaf Uncirculated Coin BU Sealed,298164018418,"Apr 22, 2026","$1,346.34",$0.00,,,Fixed price,https://www.ebay.com/itm/298164018418,1
,,"Nov 25, 2025",$11.70,$6.00,,,Fixed price,,1
2001 Canada $10 Hologram Maple Leaf 1/4 oz .9999 Fine Gold Coin,306821188156,"Mar 14, 2026","$1,100.00",$8.75,,,Fixed price,https://www.ebay.com/itm/306821188156,1
,,"Jan 23, 2026","$1,405.00",$5.17,,,Auction,,1
2001 Canada $10 Hologram Maple Leaf 1/4 oz .9999 Fine Gold Coin,326979681887,"Feb 10, 2026","$1,300.00",$48.75,,,Auction,https://www.ebay.com/itm/326979681887,1
