Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Canada $2 Polar Bear 1/2 oz .9999 Silver BU Random Year,294762820282,1/17/2026,$44.99,Free,Uncirculated,bullionshark,Best Offer,https://www.ebay.com/itm/294762820282
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,169994918800,12/8/2025,$48.34,Free,Uncirculated,keydate_coins,Buy It Now,https://www.ebay.com/itm/169994918800
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,228401637483,2/1/2026,$45.87,Free,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/228401637483
Canada $2 Polar Bear 1/2 oz .9999 Silver BU Random Year,238101377985,12/19/2025,$42.91,Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/238101377985
2020 Canadian Polar Bear 1/2 oz Silver $2 BU,160308990659,2/4/2026,$46.32,$5.99,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/160308990659
Canada $2 Polar Bear 1/2 oz .9999 Silver BU Random Year,335566537890,2/7/2026,$43.07,Free,Uncirculated,jmbullion,Best Offer,https://www.ebay.com/itm/335566537890
Canada $2 Polar Bear 1/2 oz Silver NGC MS-70,147506692634,1/30/2026,$58.41,Free,Certified,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/147506692634
Canada Polar Bear 1/2 oz Silver NGC MS-69,289426898648,1/15/2026,$56.32,Free,Certified,davidlawrence,Auction,https://www.ebay.com/itm/289426898648
2020 Canadian Polar Bear 1/2 oz Silver $2 BU,253982617263,2/12/2026,$44.11,Free,Uncirculated,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/253982617263
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,294522497336,12/7/2025,$45.24,Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/294522497336
2024 Canada Polar Bear 1/2 oz .9999 Silver Royal Canadian Mint,179422869948,12/13/2025,$48.90,$5.99,Uncirculated,apmex,Best Offer,https://www.ebay.com/itm/179422869948
2018 Canada $2 Polar Bear 1/2 oz Silver First Year,325837953314,1/10/2026,$53.54,$3.99,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/325837953314
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,398262947495,11/24/2025,$46.53,Free,Uncirculated,davidlawrence,Best Offer,https://www.ebay.com/itm/398262947495
Canada Polar Bear 1/2 oz Silver NGC MS-69,175341337059,1/24/2026,$51.75,Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/175341337059
Canada Polar Bear 1/2 oz Silver PCGS MS-69,149371933073,1/13/2026,$55.40,Free,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/149371933073
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,129038997375,12/9/2025,$44.69,$3.99,Uncirculated,govmint_official,Best Offer,https://www.ebay.com/itm/129038997375
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,113450518529,2/2/2026,$47.77,Free,Uncirculated,apmex,Auction,https://www.ebay.com/itm/113450518529
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,324714601573,11/27/2025,$48.04,$3.99,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/324714601573
Canada Polar Bear 1/2 oz Silver PCGS MS-69,362835424761,1/30/2026,$58.71,Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/362835424761
2019 Canada $2 Polar Bear 1/2 oz .9999 Fine Silver Coin RCM,321390790215,12/22/2025,$48.82,Free,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/321390790215
2020 Canadian Polar Bear 1/2 oz Silver $2 BU,394933180212,2/2/2026,$44.91,Free,Uncirculated,sdbullion,Buy It Now,https://www.ebay.com/itm/394933180212
2018 Canada $2 Polar Bear 1/2 oz Silver First Year,345687797213,12/1/2025,$46.83,Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/345687797213
