Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 11, 2026",$140.70,$0.00,,,Fixed price,,11
,,"Jan 7, 2026",$135.75,$16.80,,,Fixed price,,12
,,"Jan 10, 2026",$151.29,$16.26,,,Fixed price,,11
1 oz Geiger APMEX Silver Square Bar .999 Fine,317849973287,"Feb 27, 2026",$116.94,$8.06,,,Fixed price,https://www.ebay.com/itm/317849973287,8
1 oz Silver Bar - Geiger Edelmetalle,145543099308,"Mar 18, 2026",$98.09,$0.00,,,Fixed price,https://www.ebay.com/itm/145543099308,9
Geiger Edelmetalle 1 oz Silver Bar 999 AG In Assay Capsule Rose Gold Toning,267587855911,"Mar 18, 2026",$159.04,$9.69,,,Fixed price,https://www.ebay.com/itm/267587855911,27
,,"Dec 16, 2025",$78.22,$4.92,,,Fixed price,,9
,,"Dec 5, 2025",$77.61,$4.89,,,Fixed price,,7
,,"Jan 7, 2026",$106.48,$4.93,,,Fixed price,,6
Geiger Edelmetalle 1oz .999 Fine Silver Security Line Square Bar in Assay Case,306792207609,"Mar 15, 2026",$185.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306792207609,7
Geiger Original 1 oz Silver Bar .999 Fine Square in Sealed Capsule Germany,376976225911,"Mar 13, 2026",$174.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376976225911,5
Geiger 1 oz .999 Silver Bar Schloss Güldengossa First Generation - GE,147241060185,"Apr 27, 2026",$141.37,$0.00,,,Fixed price,https://www.ebay.com/itm/147241060185,20
,,"Dec 26, 2025",$86.33,$5.19,,,Fixed price,,6
,,"Nov 17, 2025",$125.00,$18.05,,,Fixed price,,4
,,"Jan 23, 2026",$125.00,$0.00,,,Fixed price,,4
,,"Dec 31, 2025",$112.38,$4.46,,,Fixed price,,7
Geiger Edelmetalle 1 Troy Oz .999 Fine Silver Feinsilber Bar (Original Square),336439633767,"Mar 24, 2026",$151.25,$4.23,,,Fixed price,https://www.ebay.com/itm/336439633767,4
Geiger Edelmetalle 1 oz Silver Bar .999 Fine Schloss Güldengossa,336525406075,"Apr 26, 2026",$132.50,$8.00,,,Fixed price,https://www.ebay.com/itm/336525406075,4
,,"Dec 30, 2025",$86.00,$0.00,,,Fixed price,,26
,,"Dec 19, 2025",$89.50,$0.00,,,Fixed price,,10
1 oz Silver Bar - APMEX (Square Series),114441633432,"Apr 22, 2026",$97.50,$0.00,,,Fixed price,https://www.ebay.com/itm/114441633432,3
Geiger Edelmetalle Silver Bar 1oz Square in Plastic Assay Capsule Some Toning,157653684468,"Feb 16, 2026",$176.67,$12.35,,,Fixed price,https://www.ebay.com/itm/157653684468,3
,,"Jan 19, 2026",$122.00,$7.87,,,Fixed price,,5
