Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Geiger Edelmetalle 1 Gram .999 Fine Gold Bar In Original Certificate Sealed,188551749537,"Jun 28, 2026",$175.39,$8.15,,,Auction,https://www.ebay.com/itm/188551749537,1
Geiger Edelmetalle 1 Gram .9999 Fine Gold In Hard Assay,127940450816,"Jun 25, 2026",$200.00,$5.40,,,Fixed price,https://www.ebay.com/itm/127940450816,1
Geiger Edelmetalle 1 Gram .9999 Gold Bar - Libertad Design - LIMITED EDITION,178216649101,"Jun 17, 2026",$244.92,$8.60,,,Auction,https://www.ebay.com/itm/178216649101,1
Geiger Edelmetalle Original Assay Sealed 1 Gram Gold Bar .999 1g B-serial,157984666280,"Jun 12, 2026",$190.00,$0.00,,,Auction,https://www.ebay.com/itm/157984666280,1
Geiger Edelmetalle 1 gram .9999 Gold Bar In Assay,157953664570,"Jun 2, 2026",$199.00,$5.40,,,Fixed price,https://www.ebay.com/itm/157953664570,2
GOLD GEIGER EDELMETALLE VALENTINE 1 GRAM .9999 SQUARE BAR SEALED INGOT IN ASSAY,147329861567,"May 31, 2026",$199.00,$5.62,,,Auction,https://www.ebay.com/itm/147329861567,1
1 gram Gold Bar - Geiger Edelmetalle (Christian Edition w/Assay),147339420924,"May 30, 2026",$232.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147339420924,1
1 Gram .9999 Fine Gold Bar in Assay - Geiger Edelmetalle Germany Bullion,127866331309,"May 24, 2026",$202.50,$0.00,,,Auction,https://www.ebay.com/itm/127866331309,1
Gold Tree of Life Coin Fine Gold Geiger Edelmetalle 2025 Tara Coins 1 Gram 999,157919703910,"May 19, 2026",$215.00,$5.64,,,Fixed price,https://www.ebay.com/itm/157919703910,1
Geiger Edelmetalle 1 Gram Gold Bar .9999 Loose In Plastic Flip,389889966499,"May 17, 2026",$206.49,$0.00,,,Fixed price,https://www.ebay.com/itm/389889966499,2
Geiger Edelmetalle Tara Coins Tree of Life 1 Gram .9999 Fine Gold In Hard Assay,117193702723,"May 13, 2026",$230.00,$5.72,,,Fixed price,https://www.ebay.com/itm/117193702723,1
1 gram Gold Geiger Edelmetalle in Assay .9999 Fine - German Gold,147304257526,"May 10, 2026",$199.99,$5.40,,,Fixed price,https://www.ebay.com/itm/147304257526,1
25x 1 gram Gold Bar - Geiger Edelmetalle (Encapsulated w/Assay),116694983860,"May 4, 2026","$4,289.65",$0.00,,,Fixed price,https://www.ebay.com/itm/116694983860,4
1 gram Gold Bar - Geiger Edelmetalle (Encapsulated w/Assay),143943842005,"Apr 27, 2026",$206.60,$0.00,,,Fixed price,https://www.ebay.com/itm/143943842005,13
2022 Armenia 1 gram Gold 100 Dram Noah's Ark BU,126525154129,"Apr 24, 2026",$269.73,$0.00,,,Fixed price,https://www.ebay.com/itm/126525154129,1
1 gram Gold Bar - Geiger Edelmetalle (Originals Series),116685540248,"Apr 22, 2026",$187.41,$0.00,,,Fixed price,https://www.ebay.com/itm/116685540248,14
Geiger Edelmetalle 1 Gram Gold Bar .9999 Loose Item#297,137114038096,"Apr 19, 2026",$215.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137114038096,3
1 gram 9999 Gold Geiger Edelmetalle Tara Coins Tree of Life,127770684929,"Apr 18, 2026",$259.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127770684929,1
1 g Box of 30 Geiger Edelmetalle Security Line Bar .999 Fine Gold 30 Grams RARE!,177903744867,"Apr 10, 2026","$6,000.00",$14.95,,,Fixed price,https://www.ebay.com/itm/177903744867,1
,,"Mar 24, 2026",$215.00,$0.00,,,Fixed price,,1
2025 Armenia 1 gram 999.9 Fine Gold - 100 Dram Noah's Ark BU,127739402368,"Mar 16, 2026",$230.00,$5.40,,,Fixed price,https://www.ebay.com/itm/127739402368,1
,,"Mar 16, 2026",$230.00,$5.40,,,Fixed price,,1
,,"Mar 15, 2026",$172.50,$5.00,,,Auction,,1
0.5 Gram Gold Bar From The Geiger Edelmetalle Vintage Edition Black Assay Card,157706763519,"Feb 25, 2026",$170.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157706763519,1
,,"Feb 25, 2026",$170.00,$0.00,,,Fixed price,,1
Geiger Edelmetalle 1 Gram GOLD Square Bar-Birth Assay Baby Feet Design,127680913394,"Feb 22, 2026",$192.50,$0.00,,,Auction,https://www.ebay.com/itm/127680913394,1
,,"Feb 22, 2026",$192.50,$0.00,,,Auction,,1
Geiger Edelmetalle 1 Gram 999.9 Fine Gold Tree of Life COA Tara Coins,137053105170,"Feb 21, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137053105170,1
,,"Feb 21, 2026",$250.00,$0.00,,,Fixed price,,1
Geiger Edelmetalle 1 Gram GOLD Square Bar-Birth Assay Baby Feet Design,127680913036,"Feb 19, 2026",$207.50,$0.00,,,Auction,https://www.ebay.com/itm/127680913036,1
,,"Feb 19, 2026",$207.50,$0.00,,,Auction,,1
Geiger Edelmetalle 1 Gram GOLD Square Bar-Birth Assay Baby Feet Design,127680912593,"Feb 17, 2026",$212.65,$0.00,,,Auction,https://www.ebay.com/itm/127680912593,1
Geiger Edelmetalle Original 1 Gram Gold Square - Raw / Loose / No Capsule,137028048742,"Feb 17, 2026",$202.50,$5.00,,,Auction,https://www.ebay.com/itm/137028048742,1
,,"Feb 17, 2026",$212.65,$0.00,,,Auction,,1
,,"Feb 17, 2026",$202.50,$5.00,,,Auction,,1
Geiger Edelmetalle 1 Gram GOLD Square Bar-Birth Assay Baby Feet Design,127680912208,"Feb 15, 2026",$217.50,$0.00,,,Auction,https://www.ebay.com/itm/127680912208,1
,,"Feb 15, 2026",$217.50,$0.00,,,Auction,,1
,,"Feb 5, 2026",$224.99,$0.00,,,Auction,,1
2025 Armenia 1 gram Gold 100 Dram Noah's Ark BU,146388925256,"Feb 4, 2026",$249.43,$0.00,,,Fixed price,https://www.ebay.com/itm/146388925256,5
,,"Jan 31, 2026",$197.50,$7.95,,,Fixed price,,2
