Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Geiger Edelmetalle Original 20 gram .999 Security Line Silver Bar With Assay,127938261428,"Jun 24, 2026",$102.00,$5.17,,,Fixed price,https://www.ebay.com/itm/127938261428,1
Geiger Edelmetalle 20 gram .999 Silver Bar - In Assay & COA - With Security Line,157721724165,"May 13, 2026",$159.29,$5.23,,,Fixed price,https://www.ebay.com/itm/157721724165,2
5 Gram Geiger Edelmetalle .999 Fine Silver Bar – Security Line – Square,117166460158,"May 8, 2026",$38.00,$5.97,,,Fixed price,https://www.ebay.com/itm/117166460158,1
💥 Geiger Edelmetalle Security Line 100 gram .999 Fine Silver - In Assay 💥,327002458094,"Apr 30, 2026",$447.50,$5.64,,,Fixed price,https://www.ebay.com/itm/327002458094,2
Geiger Edelmetalle 100g .999 Fine Silver Security Line Square Bar in Assay Case,298069645304,"Apr 12, 2026",$475.20,$0.00,,,Fixed price,https://www.ebay.com/itm/298069645304,12
Geiger Edelmetalle Security Line 20 gram .999 Fine Silver - In Assay,198225847440,"Mar 29, 2026",$117.00,$5.26,,,Fixed price,https://www.ebay.com/itm/198225847440,3
,,"Mar 29, 2026",$117.00,$5.26,,,Fixed price,,3
Geiger Edelmetalle 1oz .999 Fine Silver Security Line Square Bar in Assay Case,306792207609,"Mar 15, 2026",$185.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306792207609,7
Geiger Edelmetalle 1oz .999 Fine Silver Security Line Square Bar in Assay Case,117077287006,"Mar 15, 2026",$162.50,$5.00,,,Auction,https://www.ebay.com/itm/117077287006,1
,,"Mar 15, 2026",$185.00,$0.00,,,Fixed price,,7
,,"Mar 15, 2026",$162.50,$5.00,,,Auction,,1
Geiger Edelmetalle Security Line 50 gram .999 Fine Silver - In Assay,227191515537,"Mar 10, 2026",$283.37,$0.00,,,Fixed price,https://www.ebay.com/itm/227191515537,44
,,"Mar 10, 2026",$283.37,$0.00,,,Fixed price,,44
Geiger Edelmetalle 50g .999 Fine Silver Security Line Square Bar in Assay Case,298069644574,"Mar 9, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298069644574,6
,,"Mar 9, 2026",$275.00,$0.00,,,Fixed price,,6
Geiger Edelmetalle Security Line 100 gram .999 Fine Silver - In Assay,227200372501,"Mar 4, 2026",$482.02,$0.00,,,Fixed price,https://www.ebay.com/itm/227200372501,22
,,"Mar 4, 2026",$482.02,$0.00,,,Fixed price,,22
Geiger Edelmetalle 20 gram .999 Silver Bar - In Assay & COA - With Security Line,157707030951,"Mar 2, 2026",$162.34,$5.20,,,Fixed price,https://www.ebay.com/itm/157707030951,2
,,"Mar 2, 2026",$162.34,$5.20,,,Fixed price,,2
,,"Mar 2, 2026",$142.00,$5.45,,,Auction,,1
Lot of Ten (10) Geiger Edelmetalle 10g .999 Fine Silver Security Line Square Bar,298069727124,"Feb 28, 2026",$599.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298069727124,2
,,"Feb 28, 2026",$599.00,$0.00,,,Fixed price,,2
Geiger 250 gram (1/4 KILO) 999 Fine Silver Bar 8.03 Troy Oz. Security Lines,117050607453,"Feb 26, 2026",$961.00,$6.07,,,Auction,https://www.ebay.com/itm/117050607453,1
,,"Feb 26, 2026",$961.00,$6.07,,,Auction,,1
Geiger Edelmetalle 20 gram .999 Silver Bar - In Assay & COA - With Security Line,157659569111,"Feb 24, 2026",$149.85,$5.26,,,Fixed price,https://www.ebay.com/itm/157659569111,3
,,"Feb 24, 2026",$149.85,$5.26,,,Fixed price,,3
Geiger Edelmetalle Security Line 50 gram .999 Fine Silver - In Assay,117054015465,"Feb 23, 2026",$290.00,$5.77,,,Fixed price,https://www.ebay.com/itm/117054015465,1
,,"Feb 23, 2026",$290.00,$5.77,,,Fixed price,,1
,,"Feb 22, 2026",$140.00,$5.07,,,Fixed price,,1
,,"Feb 19, 2026",$450.00,$0.00,,,Fixed price,,1
Geiger Edelmetalle Security Line 5 gram .999 Fine Silver - In Assay,389624406598,"Feb 17, 2026",$39.99,$5.34,,,Fixed price,https://www.ebay.com/itm/389624406598,2
,,"Feb 17, 2026",$39.99,$5.34,,,Fixed price,,2
5 Gram Geiger Edelmetalle .999 Fine Silver Bar – Security Line – Square Series,389624434582,"Feb 15, 2026",$26.99,$6.02,,,Fixed price,https://www.ebay.com/itm/389624434582,5
,,"Feb 15, 2026",$26.99,$6.02,,,Fixed price,,5
,,"Feb 7, 2026",$47.50,$6.00,,,Fixed price,,2
,,"Feb 5, 2026",$36.79,$6.00,,,Fixed price,,12
,,"Feb 5, 2026",$96.00,$8.13,,,Fixed price,,3
,,"Feb 2, 2026",$138.75,$5.25,,,Fixed price,,6
,,"Feb 2, 2026",$270.00,$5.99,,,Auction,,1
,,"Feb 1, 2026",$68.33,$7.78,,,Fixed price,,3
,,"Jan 29, 2026",$96.40,$9.20,,,Fixed price,,3
,,"Jan 29, 2026",$305.00,$5.99,,,Auction,,1
10 oz Silver Bar - Geiger (Security Line Series),124711392950,"Jan 28, 2026","$1,183.23",$0.00,,,Fixed price,https://www.ebay.com/itm/124711392950,7
,,"Jan 28, 2026",$80.00,$4.60,,,Fixed price,,1
,,"Jan 27, 2026",$60.00,$5.20,,,Fixed price,,1
,,"Jan 26, 2026",$182.50,$0.00,,,Fixed price,,2
,,"Jan 25, 2026",$36.00,$5.07,,,Fixed price,,2
,,"Jan 25, 2026",$38.00,$5.00,,,Fixed price,,2
,,"Jan 24, 2026",$102.50,$5.65,,,Fixed price,,2
,,"Jan 23, 2026",$55.00,$5.19,,,Fixed price,,2
,,"Jan 23, 2026",$115.00,$5.39,,,Fixed price,,1
,,"Jan 21, 2026",$125.00,$5.45,,,Fixed price,,1
,,"Jan 19, 2026",$50.00,$5.25,,,Fixed price,,4
5000 gram Silver Bar - Geiger (Security Line Series),127199631337,"Jan 18, 2026","$18,660.63",$0.00,,,Fixed price,https://www.ebay.com/itm/127199631337,2
,,"Jan 16, 2026",$79.74,$7.75,,,Fixed price,,2
,,"Jan 16, 2026",$971.00,$9.95,,,Auction,,1
,,"Jan 15, 2026",$29.50,$4.99,,,Fixed price,,4
,,"Jan 13, 2026",$194.94,$5.91,,,Fixed price,,4
,,"Jan 12, 2026",$79.00,$4.65,,,Auction,,1
Geiger Edelmetalle Security Line 20 gram .999 Fine Silver - In Assay,364698775110,"Jan 9, 2026",$57.52,$0.00,,,Fixed price,https://www.ebay.com/itm/364698775110,9
100 gram Silver Bar - Geiger (Security Line Series),126952963616,"Jan 5, 2026",$315.69,$0.00,,,Fixed price,https://www.ebay.com/itm/126952963616,1
,,"Jan 4, 2026",$900.00,$8.24,,,Auction,,1
,,"Jan 4, 2026",$872.91,$8.96,,,Auction,,1
,,"Jan 3, 2026",$851.00,$8.24,,,Auction,,1
,,"Jan 3, 2026",$900.00,$52.54,,,Auction,,1
,,"Dec 28, 2025","$1,050.00",$7.36,,,Auction,,1
,,"Dec 21, 2025",$165.00,$0.00,,,Auction,,1
,,"Dec 17, 2025",$55.00,$4.87,,,Fixed price,,1
,,"Dec 16, 2025",$78.22,$4.92,,,Fixed price,,9
,,"Dec 10, 2025",$128.33,$8.30,,,Fixed price,,3
,,"Dec 5, 2025",$217.97,$8.13,,,Fixed price,,8
,,"Dec 4, 2025",$220.00,$9.60,,,Fixed price,,3
,,"Dec 2, 2025",$49.95,$8.45,,,Fixed price,,6
"500 gram Silver Bar - Geiger (Security Line Series, Scruffy)",125711624630,"Nov 29, 2025","$1,052.76",$0.00,,,Fixed price,https://www.ebay.com/itm/125711624630,1
,,"Nov 28, 2025",$78.70,$0.00,,,Fixed price,,4
,,"Nov 27, 2025",$43.99,$5.34,,,Fixed price,,7
,,"Nov 26, 2025",$74.00,$6.00,,,Fixed price,,2
,,"Nov 14, 2025",$135.00,$5.37,,,Auction,,1
,,"Nov 10, 2025",$190.50,$6.00,,,Auction,,1
