Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1 Gram Gold Geiger Square Bar (Love) Edition Assay In Original Capsule,406895528067,"May 7, 2026",$219.50,$10.00,,,Auction,https://www.ebay.com/itm/406895528067,1
Geiger 1 Gram .999 Gold Square in Original Cap (go1068),389933678581,"May 7, 2026",$210.00,$5.00,,,Fixed price,https://www.ebay.com/itm/389933678581,1
1g Gold Geiger Edelmetalle Square Bar .9999 Fine in Assay Card - Fireworks!,157875756911,"May 4, 2026",$194.50,$5.72,,,Auction,https://www.ebay.com/itm/157875756911,1
1 Gram Geiger 24K Gold 999.9 Bullion Certified in Assay Square Bar #B0998867,327123064908,"May 3, 2026",$217.00,$9.95,,,Auction,https://www.ebay.com/itm/327123064908,1
2024 1g Geiger Edelmetalle .999 Fine Gold Square *Shamrock* In Assay #C0173673,157858635412,"May 1, 2026",$221.50,$6.07,,,Auction,https://www.ebay.com/itm/157858635412,1
Geiger 1 Gram .999 Gold Square in Original Cap #7484,277941138291,"May 1, 2026",$229.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277941138291,1
Geiger 1 Gram .999 Gold Square in Original Cap,358502634582,"Apr 30, 2026",$215.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358502634582,2
Geiger Edelmetalle Gold Bar 1 Gram .9999 Fine Gold Bullion Sealed Square Assay,358494851139,"Apr 27, 2026",$200.00,$5.99,,,Fixed price,https://www.ebay.com/itm/358494851139,1
1 Gram Geiger 24K Gold 999.9 Bullion Certified in Assay Square Bar #B0998855,267645008085,"Apr 26, 2026",$227.50,$0.00,,,Auction,https://www.ebay.com/itm/267645008085,1
Geiger 1 Gram .999 Gold Square in Original Cap,198309561982,"Apr 25, 2026",$189.00,$4.78,,,Fixed price,https://www.ebay.com/itm/198309561982,1
1 Gram Gold Geiger Square Bar (Love) Edition Assay In Original Capsule,257467932120,"Apr 24, 2026",$199.00,$6.00,,,Auction,https://www.ebay.com/itm/257467932120,1
5 Gram JM Bullion .999 24k Gold Square Geiger Bar In Assay,287280501213,"Apr 23, 2026",$800.00,$0.00,,,Auction,https://www.ebay.com/itm/287280501213,1
