Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Gold Krugerrand 1/4 oz NGC MS-70,222420275446,2/7/2026,"$1,396.20",Free,Certified,mcm_online,Buy It Now,https://www.ebay.com/itm/222420275446
South Africa Gold Krugerrand 1/4 oz BU,153486765924,1/3/2026,"$1,273.74",Free,Uncirculated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/153486765924
Gold Krugerrand 1/4 oz NGC MS-69,265249207506,12/17/2025,"$1,353.72",Free,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/265249207506
Gold Krugerrand 1/4 oz PCGS MS-70,167715547796,1/3/2026,"$1,492.19",$4.99,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/167715547796
South Africa Gold Krugerrand 1/4 oz BU,396700910968,1/28/2026,"$1,293.48",$5.99,Uncirculated,moderncoinmart,Best Offer,https://www.ebay.com/itm/396700910968
South Africa Gold Krugerrand 1/4 oz BU,244622489763,2/4/2026,"$1,273.50",Free,Uncirculated,legend_numismatics,Buy It Now,https://www.ebay.com/itm/244622489763
South Africa Gold Krugerrand 1/4 oz BU,331450428575,11/23/2025,"$1,276.52",Free,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/331450428575
South Africa Gold Krugerrand 1/4 oz BU,312677553970,12/16/2025,"$1,292.24",$4.99,Uncirculated,goldhillcoins,Auction,https://www.ebay.com/itm/312677553970
South Africa Gold Krugerrand 1/4 oz BU,346805162436,12/4/2025,"$1,330.52",Free,Uncirculated,greatcollections,Best Offer,https://www.ebay.com/itm/346805162436
South Africa Gold Krugerrand 1/4 oz BU,330706930764,12/28/2025,"$1,343.14",Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/330706930764
Gold Krugerrand 1/4 oz NGC MS-70,138223132580,12/24/2025,"$1,484.11",$5.99,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/138223132580
South Africa Gold Krugerrand 1/4 oz BU,244409887413,12/21/2025,"$1,288.28",$4.99,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/244409887413
South Africa Gold Krugerrand 1/4 oz BU,334669112209,2/19/2026,"$1,311.85",Free,Uncirculated,bullionshark,Auction,https://www.ebay.com/itm/334669112209
South Africa Gold Krugerrand 1/4 oz BU,130618168439,1/28/2026,"$1,323.76",Free,Uncirculated,silvertowne,Buy It Now,https://www.ebay.com/itm/130618168439
South Africa Gold Krugerrand 1/4 oz BU,131517843800,12/10/2025,"$1,275.33",$3.99,Uncirculated,sdbullion,Best Offer,https://www.ebay.com/itm/131517843800
South Africa Gold Krugerrand 1/4 oz BU,392806968643,12/16/2025,"$1,300.84",Free,Uncirculated,boldpreciousmetals,Auction,https://www.ebay.com/itm/392806968643
