Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
90% Silver Mercury Dimes - Roll of 50 - $5 Face Value,375726133456,"Apr 13, 2026",$276.13,$0.00,,,Fixed price,https://www.ebay.com/itm/375726133456,833
* SUPERB PRICE * 90% Silver Mercury Dime/Roosevelt Silver Coins READ DESCRIPTION,365086347043,"Dec 1, 2025",$3.40,$0.00,,,Fixed price,https://www.ebay.com/itm/365086347043,424
[Lot of 10] Mercury Dimes 1916-1945 90% Silver CHOOSE HOW MANY LOTS OF 10 COINS!,155562968351,"May 15, 2026",$67.56,$15.63,,,Fixed price,https://www.ebay.com/itm/155562968351,525
Lot of 3 Mercury Dimes 1916 to 1945 Mixed 90% Silver Coins - Choose How Many!,335764082126,"May 14, 2026",$17.83,$0.91,,,Fixed price,https://www.ebay.com/itm/335764082126,598
[Removed] Item 397565780461,397565780461,"Mar 18, 2026",$36.14,$0.00,,,Fixed price,,445
[Lot of 5] Mercury Dimes 1916-1945 90% Silver CHOOSE HOW MANY LOTS OF 5 COINS!,154574519942,"May 15, 2026",$35.82,$0.00,,,Fixed price,https://www.ebay.com/itm/154574519942,349
"3 Coin Dime Lot , Mercury Roosevelt Barber 90% Silver Bullion Silver Certificate",264335749576,"May 12, 2026",$19.77,$0.00,,,Fixed price,https://www.ebay.com/itm/264335749576,261
4 Coin US Estate Lot Set Barber Dime Indian Head Liberty V & Mercury,255097988946,"May 11, 2026",$14.97,$13.04,,,Fixed price,https://www.ebay.com/itm/255097988946,268
1909-1958 Wheat Cent Roll (Avg Circ) w Mercury Dime Cap | ACTUALLY UNSEARCHED,386678594087,"May 9, 2026",$18.54,$0.00,,,Fixed price,https://www.ebay.com/itm/386678594087,344
[Removed] Item 317762504769,317762504769,"Feb 14, 2026",$18.29,$2.34,,,Fixed price,,393
Old US Coin Estate Lot Buffalo Nickel Mercury Dime Roosevelt Dime 3 Coin Set,264606766032,"May 15, 2026",$12.87,$13.83,,,Fixed price,https://www.ebay.com/itm/264606766032,223
[Removed] Item 326977469834,326977469834,"May 14, 2026",$19.02,$0.00,,,Fixed price,,246
[Lot of 5] 1916-1945 US USA Mercury Dimes Metal Coin Addition To Collectibles,187950930514,"Mar 12, 2026",$17.89,$3.99,,,Fixed price,https://www.ebay.com/itm/187950930514,282
Wheat Cent Roll With Silver Mercury Dime & Indian Head Cent Ends Unsearched,165913001221,"May 1, 2026",$20.73,$0.00,,,Fixed price,https://www.ebay.com/itm/165913001221,276
"US COINS- Silver Mercury Dime, Wheat & Steel Cent Set, OPA Token- WW2 COIN LOT",186655022382,"Apr 30, 2026",$11.54,$0.00,,,Fixed price,https://www.ebay.com/itm/186655022382,211
