Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Antique Liberty Mercury Dime Sterling Silver Vintage Dangle Coin Earrings,202774192622,"Apr 5, 2026",$31.50,$0.00,,,Fixed price,https://www.ebay.com/itm/202774192622
Authentic Silver 1928 Mercury Head Dime Coin Pendant Necklace,397683106677,"Mar 27, 2026",$17.99,$5.50,,,Fixed price,https://www.ebay.com/itm/397683106677
Vintage Eagle Mercury Mini Liberty Dime Pendant Necklace Coin Charm Metal Chain,127595003450,"Mar 20, 2026",$32.00,$7.52,,,Fixed price,https://www.ebay.com/itm/127595003450
1942 Mercury Dime Ball Marker Golf,127720221565,"Mar 18, 2026",$18.00,$4.85,,,Fixed price,https://www.ebay.com/itm/127720221565
1929-D Mercury Dime~ PCGS Graded MS64 FB ~Silver~ Free Shipping,127743538851,"Mar 21, 2026",$155.00,$0.00,,,Auction,https://www.ebay.com/itm/127743538851
VG+ 1925-D Mercury 90% Silver Dime *0500,127749570427,"Mar 23, 2026",$17.57,$0.00,,,Auction,https://www.ebay.com/itm/127749570427
1920 Philadelphia Mint Silver Mercury Dime 90% Silver,127766444853,"Mar 30, 2026",$7.00,$0.74,,,Auction,https://www.ebay.com/itm/127766444853
High Grade Lot 1938 1939 1937 1936 1935 Mercury Dime Collection *327,137149395159,"Mar 26, 2026",$35.00,$0.00,,,Auction,https://www.ebay.com/itm/137149395159
"Custom Date Dime Necklace | 20"" Chain | Silver Mercury/Roosevelt Coin |Gift Box",165520353264,"Apr 4, 2026",$37.95,$8.75,,,Fixed price,https://www.ebay.com/itm/165520353264
1924-D Mercury Dime 10C Denver AU+ Almost Uncirculated Silver US Coin,168002134646,"Mar 29, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168002134646
2 - Vintage Antique 90% Silver Mercury Dimes With Pendant Charm & Necklace,168219281558,"Mar 16, 2026",$5.50,$5.29,,,Auction,https://www.ebay.com/itm/168219281558
"1918-S, 1920 and 1931 10C Mercury Dimes Lower Grade 90% Silver (See Description)",168238508121,"Mar 26, 2026",$26.00,$0.00,,,Auction,https://www.ebay.com/itm/168238508121
1934D VF+ SILVER Mercury Dime,168241129923,"Mar 24, 2026",$7.50,$0.97,,,Auction,https://www.ebay.com/itm/168241129923
"Mercury SILVER Dimes, Lot of 6, 1940-1945, 1 SILVER Roosevelt 1943",168246177873,"Mar 26, 2026",$30.00,$5.07,,,Auction,https://www.ebay.com/itm/168246177873
