Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Mexican Silver Libertad 1/2 oz BU Low Mintage,330570792407,12/27/2025,$66.07,Free,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/330570792407
Mexico Silver Libertad 1/2 oz BU Random Year,353627227353,2/1/2026,$52.13,Free,Uncirculated,legend_numismatics,Best Offer,https://www.ebay.com/itm/353627227353
Mexican Silver Libertad 1/2 oz BU Low Mintage,295751864544,12/6/2025,$65.99,$4.99,Uncirculated,goldhillcoins,Best Offer,https://www.ebay.com/itm/295751864544
Mexico Silver Libertad 1/2 oz BU Random Year,159667560011,11/26/2025,$54.22,Free,Uncirculated,jmbullion,Auction,https://www.ebay.com/itm/159667560011
Mexican Silver Libertad 1/2 oz BU Low Mintage,137719279861,2/20/2026,$53.87,$5.99,Uncirculated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/137719279861
Mexico Silver Libertad 1/2 oz BU Random Year,278886232812,12/7/2025,$53.31,Free,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/278886232812
Mexican Silver Libertad 1/2 oz NGC MS-69,237911147596,1/9/2026,$74.43,Free,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/237911147596
Mexican Silver Libertad 1/2 oz BU Low Mintage,285351642040,2/15/2026,$56.43,$5.99,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/285351642040
Mexico Silver Libertad 1/2 oz BU Random Year,267012640416,12/20/2025,$54.02,$4.99,Uncirculated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/267012640416
Mexico Silver Libertad 1/2 oz BU Random Year,261452817187,1/21/2026,$55.05,Free,Uncirculated,goldhillcoins,Best Offer,https://www.ebay.com/itm/261452817187
Mexico Silver Libertad 1/2 oz BU Random Year,204261889297,1/5/2026,$62.86,Free,Uncirculated,pinehurst_coins,Auction,https://www.ebay.com/itm/204261889297
Mexican Silver Libertad 1/2 oz BU Low Mintage,267895771029,1/1/2026,$66.55,Free,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/267895771029
Mexico Silver Libertad 1/2 oz BU Random Year,308415771647,12/1/2025,$62.13,Free,Uncirculated,apmex,Best Offer,https://www.ebay.com/itm/308415771647
Mexican Silver Libertad 1/2 oz BU Low Mintage,153446566063,12/31/2025,$60.81,$3.99,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/153446566063
Mexico Silver Libertad 1/2 oz BU Random Year,325689500880,12/28/2025,$54.89,Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/325689500880
Mexico Silver Libertad 1/2 oz BU Random Year,273221380386,12/23/2025,$51.06,Free,Uncirculated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/273221380386
