Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2018 Mexico 1/4 oz Silver Libertad BU,257148561335,"Apr 1, 2026",$44.54,$0.00,,,Fixed price,https://www.ebay.com/itm/257148561335
2024 Mexico 1/4 oz Silver Libertad Proof (In Capsule),116441850939,"Apr 5, 2026",$41.54,$0.00,,,Fixed price,https://www.ebay.com/itm/116441850939
48 Pack 1.42 IN 36 mm Coin Capsule Holders w/ Case 4 Mexico 1 Oz Silver Libertad,406650916120,"Apr 2, 2026",$15.95,$15.13,,,Fixed price,https://www.ebay.com/itm/406650916120
2023 Proof Silver Mexican Libertad Onza 1/4 oz NGC PF70UC FR Mexico Label,315103275338,"Mar 21, 2026",$69.00,$0.00,,,Fixed price,https://www.ebay.com/itm/315103275338
2024 Proof Silver Mexican Libertad Onza 1/4 oz NGC PF70UC ER Mexico Label,176879733827,"Apr 1, 2026",$66.95,$0.00,,,Fixed price,https://www.ebay.com/itm/176879733827
2024 Mexico 1/4 oz 0.999 Silver LIBERTAD BU Fractional Silver,257389702205,"Mar 23, 2026",$33.31,$6.19,,,Fixed price,https://www.ebay.com/itm/257389702205
2023 Proof Silver Mexican Libertad Onza 1/4 oz NGC PF70UC ER Mexico Label,315103267556,"Mar 29, 2026",$69.00,$0.00,,,Fixed price,https://www.ebay.com/itm/315103267556
2024 Mexico 1/4 oz Silver Libertad BU,146084706806,"Mar 26, 2026",$37.10,$0.00,,,Fixed price,https://www.ebay.com/itm/146084706806
2024 1/4 oz LIBERTAD PROOF .999 Silver in Capsule Mexican Coin,197816170629,"Mar 28, 2026",$47.33,$5.99,,,Fixed price,https://www.ebay.com/itm/197816170629
2016 Mexico - QUARTER 1/4 OZ SILVER LIBERTAD PROOF Bullion Coin IN MINT CAPSULE,206003938752,"Mar 17, 2026",$57.00,$6.50,,,Fixed price,https://www.ebay.com/itm/206003938752
2023 Mexico Libertad 5 Coin Silver BU Set (1/20 1/10 1/4 1/2 & 1 oz) in Capsules,298053778015,"Apr 1, 2026",$294.95,$0.00,,,Fixed price,https://www.ebay.com/itm/298053778015
