Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1885-O Morgan Silver Dollar, NGC MS65, New Orleans Mint, Gem BU, No Reserve.",117083982018,"Mar 18, 2026",$167.51,$11.95,,,Auction,https://www.ebay.com/itm/117083982018
1878 S $1 MORGAN SILVER DOLLAR PCGS MS 64-3.0 GENERATION HOLDER-COLORFUL TONING-,117086173392,"Mar 16, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117086173392
1891-S $1 MORGAN SILVER DOLLAR ANACS MS-63 GREAT DETAIL 032608,117110315047,"Mar 26, 2026",$295.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117110315047
1885 0 $1 Morgan Dollar ANA First Generation MS63 PL,127747267141,"Mar 22, 2026",$190.00,$5.52,,,Auction,https://www.ebay.com/itm/127747267141
1884 Morgan Silver One Dollar Coin,127756260394,"Mar 25, 2026",$61.00,$0.00,,,Auction,https://www.ebay.com/itm/127756260394
XF 1879-O Morgan Silver Dollar (1 coin) *5644,127757919396,"Mar 26, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127757919396
Early - 1881 Morgan Silver Dollar - 90% US Coin *363,127762337310,"Mar 26, 2026",$58.00,$0.00,,,Auction,https://www.ebay.com/itm/127762337310
1882-S $1 Morgan Silver Dollar San Francisco Mint 26.6g,127773103993,"Apr 2, 2026",$59.00,$5.07,,,Auction,https://www.ebay.com/itm/127773103993
Early - 1891 Morgan Silver Dollar - 90% US Coin *192,127777420974,"Apr 2, 2026",$67.00,$0.00,,,Auction,https://www.ebay.com/itm/127777420974
Early - 1921-D Morgan Silver Dollar - 90% US Coin *433,127781234909,"Apr 4, 2026",$69.00,$0.00,,,Auction,https://www.ebay.com/itm/127781234909
1897 BU GEM MORGAN SILVER DOLLAR UNC MS++ COIN U.S. MINT FREE SHIPPING,137151168533,"Mar 27, 2026",$102.50,$0.00,,,Auction,https://www.ebay.com/itm/137151168533
Early - 1884 Morgan Silver Dollar - 90% US Coin *786,137152649429,"Mar 25, 2026",$70.87,$0.00,,,Auction,https://www.ebay.com/itm/137152649429
1885 O Morgan Silver Dollar 90% SILVER,137157178952,"Mar 29, 2026",$56.00,$5.07,,,Auction,https://www.ebay.com/itm/137157178952
1882 O $1 Morgan Silver One Dollar MS62 New Orleans NGC,137163984257,"Mar 31, 2026",$102.50,$0.00,,,Auction,https://www.ebay.com/itm/137163984257
Early - 1885-S Morgan Silver Dollar - 90% US Coin *622,137176065710,"Apr 2, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/137176065710
Better 1890 Morgan Silver Dollar - 90% US Coin - Nice Coin *820,137185222847,"Apr 5, 2026",$60.50,$0.00,,,Auction,https://www.ebay.com/itm/137185222847
1884 Morgan Silver Dollar $1 Generic Holder- Nice Original Coin,147199361439,"Mar 14, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147199361439
"1897-O Morgan Silver Dollar $1, PCGS AU55 (58?)",147209762256,"Mar 29, 2026",$218.50,$8.10,,,Auction,https://www.ebay.com/itm/147209762256
1880 S MORGAN SILVER DOLLAR UNCIRCULATED MS 63 NGC,147218194401,"Mar 29, 2026",$96.00,$10.00,,,Auction,https://www.ebay.com/itm/147218194401
2025 S Morgan & Peace Silver Dollar $1 Reverse Proof PCGS PR69 FirstStrike #2,147225754551,"Apr 2, 2026",$203.50,$4.99,,,Auction,https://www.ebay.com/itm/147225754551
1881-S Morgan Silver Dollar $1 NGC MS65 - GENERATION 3 HOLDER! - FREE SHIPPING!,157753983338,"Mar 14, 2026",$260.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157753983338
1904 O Morgan Silver Dollar ANACS MS62,157764003080,"Mar 30, 2026",$108.50,$0.00,,,Auction,https://www.ebay.com/itm/157764003080
1921 D Morgan Silver Dollar,157767768862,"Mar 25, 2026",$57.00,$7.55,,,Auction,https://www.ebay.com/itm/157767768862
03/0000028 L#8365 1878-S Morgan Silver Dollar PCGS MS62 (red) -A.8,157791586892,"Mar 28, 2026",$131.00,$0.00,,,Auction,https://www.ebay.com/itm/157791586892
03/00000029 L#585 x10 Morgan SIlver Dollars -J,157793273514,"Mar 29, 2026",$630.00,$0.00,,,Auction,https://www.ebay.com/itm/157793273514
03/90030 L#949 1896 Morgan Silver Dollar ANACS MS63 (red) -B,157797649370,"Mar 30, 2026",$90.00,$0.00,,,Auction,https://www.ebay.com/itm/157797649370
The Private Sketchbook of George T. Morgan: America's Silver Dollar Artist,168080582871,"Mar 16, 2026",$7.82,$0.00,,,Fixed price,https://www.ebay.com/itm/168080582871
1885 Morgan Silver Dollar Brilliant Uncirculated PCGS MS65 OGH 3.1 Generation,168203264504,"Mar 8, 2026",$232.00,$4.29,,,Auction,https://www.ebay.com/itm/168203264504
1878-S Morgan Silver Dollar :(NGC MS62 STAR) Blazing White/Nice Coin,168267699226,"Apr 3, 2026",$220.00,$14.00,,,Auction,https://www.ebay.com/itm/168267699226
1892-O Morgan Silver Dollar,168267721977,"Apr 3, 2026",$58.00,$5.00,,,Auction,https://www.ebay.com/itm/168267721977
1882 Morgan Silver Dollar Circulated,168271474281,"Apr 3, 2026",$55.05,$7.00,,,Auction,https://www.ebay.com/itm/168271474281
1921-D Morgan Silver Dollar AU Better Detail Strong Strike Nice Eye Appeal,177987209066,"Mar 30, 2026",$57.00,$0.00,,,Auction,https://www.ebay.com/itm/177987209066
,,"Mar 24, 2026",$665.00,$9.99,,,Auction,
1886 Silver Morgan Dollar 90% Silver Circulated Uncertified,178000863354,"Apr 2, 2026",$67.00,$5.00,,,Auction,https://www.ebay.com/itm/178000863354
NGC MS-63 1921 Morgan Silver Dollar Uncirculated,178001893399,"Apr 4, 2026",$76.00,$8.00,,,Auction,https://www.ebay.com/itm/178001893399
1890-O Morgan Silver Dollar - PCGS UNC DETAILS RESIDUE,178004741183,"Apr 5, 2026",$88.54,$1.32,,,Auction,https://www.ebay.com/itm/178004741183
Choke Gasp! The Best of 75 Years of EC Comics,187634119358,"Mar 13, 2026",$92.44,$0.00,,,Fixed price,https://www.ebay.com/itm/187634119358
1921 US Morgan Silver Dollar $1 Unc,188152642206,"Mar 19, 2026",$71.00,$4.99,,,Auction,https://www.ebay.com/itm/188152642206
1889-S Morgan Silver Dollar AU+ Condition,188192929757,"Mar 28, 2026",$167.50,$8.00,,,Auction,https://www.ebay.com/itm/188192929757
1879 $1 Morgan Silver Dollar,188194857803,"Mar 29, 2026",$86.17,$5.07,,,Auction,https://www.ebay.com/itm/188194857803
1880 Morgan Dollar San Francisco $1 Coin 90% Silver,188199435995,"Mar 30, 2026",$67.00,$5.00,,,Auction,https://www.ebay.com/itm/188199435995
Anacs 1891-O VG 10 Morgan Silver Dollar $1 Generation 7.1 Uncommon Holder,198166512325,"Mar 15, 2026",$68.00,$5.99,,,Auction,https://www.ebay.com/itm/198166512325
,,"Dec 16, 2025",$7.99,$0.00,,,Fixed price,,32
Silver Dollar Coin Ring Size 7-13 Handmade Crafted Rare Silver Morgan Men Rings,366019188506,"Mar 29, 2026",$7.73,$0.00,,,Fixed price,https://www.ebay.com/itm/366019188506,30
Silver Dollar Coin Ring Handmade Crafted Rare Silver Morgan Men Rings,376589691016,"Apr 11, 2026",$18.19,$5.99,,,Fixed price,https://www.ebay.com/itm/376589691016,19
Silver Dollar Coin Ring Size 6-13 Handmade Crafted Rare Silver Morgan Men Rings,376763472857,"Mar 9, 2026",$14.08,$6.32,,,Fixed price,https://www.ebay.com/itm/376763472857,19
Comprehensive Catalog and Encyclopedia of Morgan & Peace Silver Dollars 5th Edit,317458315639,"Apr 5, 2026",$35.15,$0.00,,,Fixed price,https://www.ebay.com/itm/317458315639,10
Silver Dollar Coin Ring Size 7-13 Handmade Crafted Rare Silver Morgan Men Rings,397659681626,"Mar 10, 2026",$8.39,$0.00,,,Fixed price,https://www.ebay.com/itm/397659681626,10
Silver Dollar Coin Ring Size 7-13 Handmade Crafted Rare Silver Morgan Men Rings,306633416078,"Feb 10, 2026",$8.99,$5.99,,,Fixed price,https://www.ebay.com/itm/306633416078,9
SCREW TOP SILVER COIN BEZEL 38.00x2.80MM FITS MORGAN/PEACE other DOLLAR COINS,392410185231,"Mar 1, 2026",$23.99,$5.07,,,Fixed price,https://www.ebay.com/itm/392410185231,10
Morgan Dollar Rings Silver Clad,387225556640,"Apr 2, 2026",$5.99,$7.61,,,Fixed price,https://www.ebay.com/itm/387225556640,4
,,"Dec 21, 2025",$8.99,$0.00,,,Fixed price,,3
Silver Dollar Coin Ring Size 6-13 Handmade Crafted Rare Silver Morgan Men Rings,336062640670,"Apr 12, 2026",$8.99,$0.00,,,Fixed price,https://www.ebay.com/itm/336062640670,3
,,"Jan 11, 2026",$9.25,$0.00,,,Fixed price,,3
,,"Oct 26, 2025",$13.32,$0.00,,,Fixed price,,3
,,"Feb 6, 2026",$6.35,$0.00,,,Fixed price,,3
Morgan Dollar Style Coin Ring Silver Tone,147231631293,"Apr 2, 2026",$11.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147231631293,2
Silver Dollar Coin Ring Size 7-13 Handmade Crafted Rare Silver Morgan Men Rings,236491355873,"Mar 13, 2026",$8.49,$0.00,,,Fixed price,https://www.ebay.com/itm/236491355873,2
,,"Dec 15, 2025",$80.95,$0.00,,,Fixed price,,2
,,"Oct 29, 2025",$9.95,$0.00,,,Fixed price,,2
Generic Morgan Silver Dollar $1 Random Year/Mint NGC MS 63,257194938382,"Jan 26, 2026",$93.99,$6.50,,,Fixed price,https://www.ebay.com/itm/257194938382,5
,,"Dec 8, 2025",$6.99,$0.00,,,Fixed price,,2
Silver Dollar Coin Ring Size 7-8 Handmade Crafted Rare Silver Morgan Men Rings,318051542673,"Mar 27, 2026",$7.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318051542673,2
Silver Dollar Coin Ring Size 7-13 Handmade Crafted Rare Silver Morgan Men Rings·,389700590605,"Mar 5, 2026",$8.68,$0.00,,,Fixed price,https://www.ebay.com/itm/389700590605,2
,,"Nov 13, 2025",$113.61,$7.50,,,Auction,,1
1881-CC Morgan Silver Dollar PCGS MS65,117090206998,"Apr 5, 2026","$1,090.50",$5.29,,,Auction,https://www.ebay.com/itm/117090206998,1
,,"Jan 5, 2026",$40.00,$6.37,,,Fixed price,,1
Silver Dollar Coin Ring Size 7-13 Handmade Crafted Rare Silver Morgan Men Rings,127665561840,"Feb 10, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127665561840,1
1904 *O* Morgan Silver Dollar NGC MS63 GENERATION 4 **FATTY**FREE SHIPPING PJ,127703666170,"Apr 9, 2026",$124.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127703666170,1
,,"Nov 28, 2025",$177.00,$4.99,,,Fixed price,,1
Lot of 2 Bullion Morgan Silver Dollars 1921 Two 90% Silver $1 US Coins Face *176,137188009243,"Apr 6, 2026",$122.51,$0.00,,,Auction,https://www.ebay.com/itm/137188009243,1
1921 PCGS MS63 Morgan Silver Dollar in 1st Generation Old Green Holder (OGH),146255934631,"Jan 22, 2026",$94.99,$5.99,,,Fixed price,https://www.ebay.com/itm/146255934631,1
,,"Dec 27, 2025",$339.00,$0.00,,,Fixed price,,1
,,"Nov 13, 2025",$81.08,$7.50,,,Auction,,1
,,"Jan 5, 2026",$4.76,$0.00,,,Fixed price,,3
,,"Dec 22, 2025",$350.00,$0.00,,,Fixed price,,1
1879-S MORGAN SILVER DOLLAR PCGS OGH 2ND GENERATION RATTLER MS64 01IH26,147103375111,"Jan 20, 2026",$126.00,$6.99,,,Fixed price,https://www.ebay.com/itm/147103375111,1
1883-CC Morgan Silver Dollar $1 Old Green Generation 2.1A PCGS MS64 CAC,147138791593,"Feb 14, 2026",$450.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147138791593,1
"AU 1903-P Morgan Silver Dollar (cleaned), U.S. $1 Coin Almost UNC",147214549072,"Mar 29, 2026",$73.00,$5.99,,,Auction,https://www.ebay.com/itm/147214549072,1
1878 P / 7 TF / MORGAN SILVER DOLLAR,147242399216,"Apr 5, 2026",$57.00,$5.07,,,Auction,https://www.ebay.com/itm/147242399216,1
,,"Jan 12, 2026",$90.00,$0.00,,,Fixed price,,1
,,"Jan 6, 2026",$90.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$128.00,$0.00,,,Fixed price,,1
,,"Nov 14, 2025",$128.00,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$90.00,$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$90.00,$0.00,,,Fixed price,,1
,,"Nov 14, 2025",$125.00,$0.00,,,Fixed price,,1
Generic CC Carson City GSA Hoard Morgan Silver Dollar COAs lot of 9 each.,156548955263,"Feb 3, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156548955263,1
,,"Dec 23, 2025",$9.45,$6.66,,,Fixed price,,1
,,"Nov 11, 2025",$24.99,$10.45,,,Fixed price,,1
,,"Oct 29, 2025",$99.99,$8.40,,,Fixed price,,1
Stauer 1921 Morgan Silver Dollar 45mm Quartz Watch 18294,157746467797,"Mar 19, 2026",$107.50,$5.77,,,Auction,https://www.ebay.com/itm/157746467797,1
,,"Oct 19, 2025",$75.00,$8.40,,,Fixed price,,1
Native American sterling silver watch turquoise stretch band Morgan Dollar face,168001851570,"Jan 17, 2026",$199.99,$21.66,,,Fixed price,https://www.ebay.com/itm/168001851570,1
1900-O/CC Mintmark Morgan Silver Dollar PCGS MS63 2nd Generation Holder,168080601203,"Jan 18, 2026","$1,151.00",$7.40,,,Auction,https://www.ebay.com/itm/168080601203,1
