Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
5 gram Gold Bar - PAMP Suisse - Fortuna - 999.9 Fine in Sealed Assay,281641717875,"May 9, 2026",$793.41,$0.00,,,Fixed price,https://www.ebay.com/itm/281641717875,366
5 gram Gold Bar - PAMP Suisse - Rosa - 999.9 Fine in Sealed Assay,406742844656,"May 8, 2026",$833.19,$0.00,,,Fixed price,https://www.ebay.com/itm/406742844656,94
2026 Pamp Suisse 5 gram 9999 Fine Gold Bar Year Of The Horse Lunar Legend Series,365279974987,"Mar 2, 2026",$866.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365279974987,50
5 gram Gold Bar-PAMP Suisse Lady Fortuna Veriscan®(In Assay),126019217273,"May 8, 2026",$875.83,$0.00,,,Fixed price,https://www.ebay.com/itm/126019217273,58
PAMP Suisse Fortuna 5 gram .9999 Gold Bar - Sealed with Assay Card,235802340745,"Apr 21, 2026",$798.23,$9.95,,,Fixed price,https://www.ebay.com/itm/235802340745,50
5 gram Gold Bar - PAMP Suisse (Cross of Christianity),116899729070,"Mar 23, 2026",$876.82,$50.29,,,Fixed price,https://www.ebay.com/itm/116899729070,62
5 gram Gold PAMP Lady Fortuna VERISCAN™ Bar w/ Assay,297180291142,"Mar 31, 2026",$791.65,$0.00,,,Fixed price,https://www.ebay.com/itm/297180291142,55
Lot of 5 - 1 Gram Gold Bar Divisible PAMP Suisse MULTIGRAM .9999 Fine Gold Bar,335314690480,"Apr 25, 2026",$893.54,$9.95,,,Fixed price,https://www.ebay.com/itm/335314690480,43
5 Gram PAMP Suisse Fortuna Veriscan Gold Bar (New w/ Assay),395129667804,"May 8, 2026",$801.22,$0.00,,,Fixed price,https://www.ebay.com/itm/395129667804,62
50 gram Gold Bar - PAMP Suisse Lady Fortuna Veriscan (In Assay),122997432165,"May 4, 2026","$7,992.72",$0.00,,,Fixed price,https://www.ebay.com/itm/122997432165,44
5 gram Gold Bar - PAMP Coca-Cola® Polar Bear & Friends,116862430429,"Feb 11, 2026",$856.04,$42.37,,,Fixed price,https://www.ebay.com/itm/116862430429,36
Pamp Suisse Arabian Falcon 5 Gram Gold Bar - w/ Assay & Frame,127688038971,"Apr 25, 2026",$933.92,$0.00,,,Fixed price,https://www.ebay.com/itm/127688038971,31
2025 Pamp Suisse Cross of Christianity 5 Gram Gold Bar - In Assay w/Sleeve,236490857156,"Feb 1, 2026",$902.85,$0.00,,,Fixed price,https://www.ebay.com/itm/236490857156,31
"2025 5 Gram Coca-Cola Polar Bear & Friends Gold Bar (New w/ Assay, Proof-Like)",335780581842,"Jan 21, 2026",$855.88,$0.00,,,Fixed price,https://www.ebay.com/itm/335780581842,17
5 gram Gold Bar - PAMP Suisse (Eid Mubarak),127708701381,"Mar 20, 2026","$1,052.81",$0.00,,,Fixed price,https://www.ebay.com/itm/127708701381,26
PAMP Suisse Rosa 5 gram .9999 Gold Bar - Sealed Assay Card,365382609817,"May 3, 2026",$926.87,$0.00,,,Fixed price,https://www.ebay.com/itm/365382609817,16
2025 5 gram Gold Bar - PAMP Lunar Legends White Snake (In Assay),126834462735,"Jan 6, 2026",$831.27,$49.99,,,Fixed price,https://www.ebay.com/itm/126834462735,17
Pamp Suisse - Arabian Horse 5 gram Gold Bar with Pendant Frame,236639644996,"May 4, 2026",$994.17,$0.00,,,Fixed price,https://www.ebay.com/itm/236639644996,17
2026 Pamp Coca Cola Polar Bear & Friends 5 Gram Gold Bar - In Assay w/Sleeve,127524618680,"Feb 22, 2026",$956.49,$0.00,,,Fixed price,https://www.ebay.com/itm/127524618680,13
5 gram Gold Bar - PAMP Suisse (Ayatul Kursi),127827761305,"May 6, 2026",$959.96,$0.00,,,Fixed price,https://www.ebay.com/itm/127827761305,27
5 gram Gold Bar - PAMP Suisse (Lucky Scarab),147185171647,"Apr 14, 2026","$1,008.52",$0.00,,,Fixed price,https://www.ebay.com/itm/147185171647,12
5 gram Gold Bar - PAMP Arabian Falcon (w/Assay & Frame),117030387037,"Apr 13, 2026","$1,056.57",$49.99,,,Fixed price,https://www.ebay.com/itm/117030387037,9
,,"Jan 29, 2026","$1,024.52",$0.00,,,Fixed price,,10
2025 Pamp Suisse Cross of Christianity 5 Gram Gold Bar - In Assay w/Sleeve,127524660223,"Feb 9, 2026","$1,020.89",$0.00,,,Fixed price,https://www.ebay.com/itm/127524660223,8
,,"Nov 23, 2025",$499.00,$0.00,,,Fixed price,,8
5 gram Gold Bar - PAMP Arabian Falcon (w/Assay & Frame),236639641073,"Apr 27, 2026",$985.79,$0.00,,,Fixed price,https://www.ebay.com/itm/236639641073,9
"5 Gram PAMP Suisse Eid Mubarak Gold Bar (Proof-Like, w/ Assay)",397708794501,"May 2, 2026",$958.05,$0.00,,,Fixed price,https://www.ebay.com/itm/397708794501,12
Sterling Silver bezel frame for 5 Gram PAMP Suisse Gold Bar – Lady Fortuna,404763383307,"May 6, 2026",$61.00,$7.25,,,Fixed price,https://www.ebay.com/itm/404763383307,9
,,"Jan 27, 2026",$960.67,$0.00,,,Fixed price,,10
2025 Pamp Suisse Cross of Christianity 5 Gram Gold Bar - In Assay w/Sleeve,127705228357,"Mar 6, 2026",$993.57,$0.00,,,Fixed price,https://www.ebay.com/itm/127705228357,10
5 Gram PAMP Suisse Christian Cross Gold Bar (New w/ Assay),389390086490,"Mar 16, 2026",$935.35,$0.00,,,Fixed price,https://www.ebay.com/itm/389390086490,7
5 Gram PAMP Suisse Fortuna Veriscan Gold Bar (New w/ Assay),394329025110,"Apr 30, 2026",$821.22,$0.00,,,Fixed price,https://www.ebay.com/itm/394329025110,7
PAMP 5 gram Gold MWIII Call of Duty Prooflike Bar in Bezel,116069536273,"Dec 25, 2025",$807.65,$0.00,,,Fixed price,https://www.ebay.com/itm/116069536273,7
Pamp Suisse Call of Duty Modern Warfare MWIII 5 Gram Gold Bar (Very Low Serial!),126434501655,"Apr 2, 2026","$1,003.37",$0.00,,,Fixed price,https://www.ebay.com/itm/126434501655,10
Gold-Plated Stainless Steel Plain-Front Bezel 5 gram Pamp Gold Bar 22.1mm 13.1mm,115988944409,"Apr 21, 2026",$133.42,$18.56,,,Fixed price,https://www.ebay.com/itm/115988944409,6
Pamp Suisse Eid Mubarak 5 Gram Gold Bar in Assay w/ Sleeve - Low Serial,127702730740,"Feb 25, 2026","$1,255.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127702730740,10
5 Gram PAMP Suisse Lunar Tiger Gold Bar (New w/ Assay),157847796681,"Apr 29, 2026",$876.83,$0.00,,,Fixed price,https://www.ebay.com/itm/157847796681,5
Lot of 5 - 1 gram Gold Bar PAMP Suisse Fortuna .9999 Fine Gold - In Sealed Assay,235544324902,"Apr 12, 2026",$874.32,$0.00,,,Fixed price,https://www.ebay.com/itm/235544324902,5
,,"Jan 16, 2026",$890.01,$0.00,,,Fixed price,,5
"5 gram Gold Bar - PAMP Suisse Lady Fortuna (Vintage, In Assay)",141475211664,"Feb 28, 2026",$899.81,$0.00,,,Fixed price,https://www.ebay.com/itm/141475211664,4
5 gram Gold Bar – PAMP America the Free: Bald Eagle (Assay),147251690980,"May 7, 2026",$945.32,$49.99,,,Fixed price,https://www.ebay.com/itm/147251690980,4
PIRATE GOLD .5 GRAMS .9999 FINE SKULL & CROSSBONES BAR SEALED IN ASSAY CARD,177693392741,"Mar 10, 2026",$125.50,$5.09,,,Fixed price,https://www.ebay.com/itm/177693392741,4
,,"Jan 21, 2026",$775.00,$9.99,,,Fixed price,,4
Pamp Suisse Eid Mubarak 5 Gram Gold Bar in Assay w/ Sleeve,236663284253,"Mar 22, 2026","$1,039.75",$0.00,,,Fixed price,https://www.ebay.com/itm/236663284253,4
*NEW Pamp Suisse Arabian Horse 5 Gram Gold Bar w/ Assay & Frame,267571881306,"Feb 14, 2026","$1,158.36",$0.00,,,Fixed price,https://www.ebay.com/itm/267571881306,5
,,"Jan 18, 2026",$877.78,$0.00,,,Fixed price,,3
Pamp Suisse Eid Mubarak 5 Gram Gold Bar in Assay w/ Sleeve,127810410103,"Apr 21, 2026",$910.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127810410103,3
,,"Jan 12, 2026",$735.00,$8.00,,,Fixed price,,3
2026 Pamp Suisse 5 gram Gold & 10 Gram Silver Year Of Horse Lunar Legends,227130545126,"Feb 10, 2026","$1,133.00",$7.68,,,Fixed price,https://www.ebay.com/itm/227130545126,3
,,"Jan 28, 2026",$499.90,$0.00,,,Fixed price,,3
