Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 26, 2026",$101.67,$5.76,,,Fixed price,,18
,,"Jan 23, 2026",$104.00,$0.00,,,Fixed price,,10
,,"Feb 4, 2026",$107.75,$18.54,,,Fixed price,,5
,,"Jan 29, 2026",$116.59,$5.27,,,Fixed price,,5
,,"Dec 9, 2025",$87.50,$0.00,,,Fixed price,,2
1 oz Coca Cola Vintage Sign Shaped Silver Bar PAMP Suisse,326200355715,"May 8, 2026",$111.84,$0.00,,,Fixed price,https://www.ebay.com/itm/326200355715,9
,,"Dec 14, 2025",$109.00,$4.50,,,Fixed price,,1
1 oz Coca Cola Vintage Sign Shaped Silver Bar PAMP Suisse,127708705001,"May 8, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127708705001,1
,,"Feb 3, 2026",$280.00,$21.56,,,Fixed price,,1
,,"Jan 8, 2026",$99.00,$6.54,,,Fixed price,,1
PAMP Suisse 1oz 999 Colorized Silver Coca-Cola® Vintage 1930s Sign-Shaped NIB,177839666285,"Feb 22, 2026",$119.99,$21.49,,,Fixed price,https://www.ebay.com/itm/177839666285,1
PAMP Vintage Coca-Cola 1 Oz Silver - Limiter Mintage /2500 - .999 Silver Medal,227187232795,"Feb 18, 2026",$125.00,$14.50,,,Fixed price,https://www.ebay.com/itm/227187232795,1
2024 Pamp Suisse Coca-Cola Bottle Shaped 1 oz Silver Bar with Metal Bank NEW,277713922854,"Feb 21, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277713922854,1
,,"Jan 15, 2026",$100.00,$0.00,,,Fixed price,,1
Coca-Cola 1 oz .999 Silver Colorized Santa Bar New In Box Limited Mintage 1500,327125249679,"May 3, 2026",$115.50,$31.95,,,Auction,https://www.ebay.com/itm/327125249679,1
2024 Coca-Cola 1 oz .999 Silver Colorized Santa Bar,335695013812,"Jan 29, 2026",$129.95,$21.09,,,Fixed price,https://www.ebay.com/itm/335695013812,1
,,"Dec 13, 2025",$77.00,$5.15,,,Fixed price,,1
,,"Dec 18, 2025",$160.00,$9.74,,,Fixed price,,1
,,"Dec 13, 2025",$95.00,$4.80,,,Fixed price,,1
PAMP Coca-Cola 1oz SILVER Holiday Bottle COin in Vending Tin Bank w/COA Mint! 🔥,389679249837,"Mar 6, 2026",$132.50,$11.95,,,Auction,https://www.ebay.com/itm/389679249837,1
,,"Feb 3, 2026",$109.95,$2.25,,,Auction,,1
2025 Niue Pamp Coca-Cola® 1oz Silver Happy Holidays Bottle Coin/Antqd Tin+BONUS,406459948815,"Mar 1, 2026",$327.95,$23.37,,,Fixed price,https://www.ebay.com/itm/406459948815,1
