Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2020 Mouse & 2021 Ox Perth Mint Lunar Series III 1oz Silver Coins BU Lot of 2,117074871541,"May 18, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117074871541,1
2020 Lunar Series III Mouse 1oz Silver Gilded Coin Perth Mint Certificate #04243,168349378340,"May 9, 2026",$231.50,$5.73,,,Auction,https://www.ebay.com/itm/168349378340,1
"2020 1oz Silver Lunar III series, The year of the Mouse Capsule. Gem BU!!",168340923023,"May 9, 2026",$96.00,$6.01,,,Fixed price,https://www.ebay.com/itm/168340923023,3
2020-P Australia Year of Mouse NGC MS70 1oz Silver Lunar Series III Gem,206179111331,"Apr 20, 2026",$119.00,$5.45,,,Fixed price,https://www.ebay.com/itm/206179111331,1
"2020 1oz Silver Lunar III series, The year of the Mouse Capsule. Gem BU!!",127797538451,"Apr 9, 2026",$99.00,$5.95,,,Fixed price,https://www.ebay.com/itm/127797538451,1
2020 P Australia Silver Lunar Year of the MOUSE NGC MS 70 1oz $1 Coin Series III,254358856312,"Apr 9, 2026",$156.81,$19.35,,,Fixed price,https://www.ebay.com/itm/254358856312,15
"2020 1oz Silver Australia Lunar III series, The year of the Mouse Capsule. Gem!!",127797537520,"Apr 8, 2026",$99.00,$5.95,,,Fixed price,https://www.ebay.com/itm/127797537520,1
2020-P Australia Year of Mouse NGC MS70 1oz Silver Lunar Series III Gem,168285696078,"Apr 4, 2026",$123.49,$8.00,,,Fixed price,https://www.ebay.com/itm/168285696078,1
2020 $1 Australian Lunar Series III Year of the Mouse 1oz Silver Proof Coin,168200443732,"Mar 25, 2026",$249.94,$0.00,,,Fixed price,https://www.ebay.com/itm/168200443732,1
2020 Australian- 1oz Silver Proof- Year of the Mouse- Lunar Series III w/COA,188089420447,"Feb 24, 2026",$198.00,$6.95,,,Fixed price,https://www.ebay.com/itm/188089420447,1
,,"Feb 24, 2026",$198.00,$6.95,,,Fixed price,,1
,,"Feb 5, 2026",$159.00,$9.99,,,Fixed price,,1
,,"Feb 1, 2026",$988.00,$7.55,,,Fixed price,,1
,,"Jan 27, 2026",$675.00,$100.00,,,Fixed price,,1
,,"Jan 21, 2026",$175.00,$6.25,,,Fixed price,,1
