Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2022 Lunar III Tiger 1 oz Gold NGC MS-69,276821045947,2/22/2026,"$5,871.11",$3.99,Certified,liberty_coin,Auction,https://www.ebay.com/itm/276821045947
2022 Australia Lunar III Tiger 1 oz Gold BU,398613151480,2/11/2026,"$5,686.97",$3.99,Uncirculated,greatcollections,Buy It Now,https://www.ebay.com/itm/398613151480
2022 Australia Lunar III Tiger 1 oz Gold BU,211126012404,12/20/2025,"$5,609.64",$3.99,Uncirculated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/211126012404
2022 Lunar III Tiger 1 oz Gold PCGS MS-69,339293250722,2/22/2026,"$5,599.57",Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/339293250722
2022 Australia Lunar III Tiger 1 oz Gold BU,143726041562,2/27/2026,"$5,601.83",Free,Uncirculated,keydate_coins,Auction,https://www.ebay.com/itm/143726041562
2022 Australia Lunar III Tiger 1 oz Gold BU,101731936289,12/22/2025,"$5,715.17",$5.99,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/101731936289
2022 Australia Lunar III Tiger 1 oz Gold BU,380676660887,1/17/2026,"$5,610.05",Free,Uncirculated,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/380676660887
2022 Australia Lunar III Tiger 1 oz Gold BU,316512126690,1/7/2026,"$5,487.54",Free,Uncirculated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/316512126690
2022 Australia Lunar III Tiger 1 oz Gold BU,210754021241,12/12/2025,"$5,504.74",Free,Uncirculated,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/210754021241
2022 Australia Lunar III Tiger 1 oz Gold BU,107911389678,1/28/2026,"$5,638.62",$5.99,Uncirculated,apmex,Auction,https://www.ebay.com/itm/107911389678
2022 Australia Lunar III Tiger 1 oz Gold BU,370763409412,2/26/2026,"$5,644.80",Free,Uncirculated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/370763409412
2022 Lunar III Tiger Gold PCGS MS-70,303766528555,1/27/2026,"$7,074.06",Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/303766528555
2022 Lunar III Tiger 1 oz Gold PCGS MS-69,272839449936,1/22/2026,"$5,699.20",Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/272839449936
2022 Australia Lunar III Tiger 1 oz Gold BU,142190162741,1/2/2026,"$5,694.83",Free,Uncirculated,silvertowne,Auction,https://www.ebay.com/itm/142190162741
