Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"2022 1oz Silver Australia Lunar III series, the year of the Tiger Capsule. Gem!!",397963141779,"May 29, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397963141779,1
2022-P Australia 1oz Silver Year of the Tiger Lunar Series III PCGS MS70 First S,327141846012,"May 17, 2026",$127.50,$0.00,,,Auction,https://www.ebay.com/itm/327141846012,1
2022-P Australia 1oz Silver Year of the Tiger Lunar Series III PCGS MS70 First S,298236761435,"Apr 26, 2026",$107.50,$0.00,,,Auction,https://www.ebay.com/itm/298236761435,1
"2022 1oz Silver Australia Lunar III series, the year of the Tiger Capsule. Gem!!",127797535088,"Apr 8, 2026",$109.00,$5.95,,,Fixed price,https://www.ebay.com/itm/127797535088,1
"2022 1oz Silver Coin, Lunar III series, the year of the Tiger Capsule. Gem BU!",127797534196,"Apr 7, 2026",$109.00,$5.95,,,Fixed price,https://www.ebay.com/itm/127797534196,1
2022-P Australia 1oz Silver Year of the Tiger Lunar Series III PCGS MS70 First S,298180350102,"Apr 7, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/298180350102,1
2022-P Australia 1oz Silver Year of the Tiger Lunar Series III PCGS MS70 First S,327068458854,"Apr 1, 2026",$154.49,$0.00,,,Auction,https://www.ebay.com/itm/327068458854
2022 Proof Australia Year of the Tiger Lunar Series III 1oz .999 Silver COA/BOX,366280770128,"Apr 1, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366280770128
,,"Feb 21, 2026",$102.79,$5.95,,,Fixed price,,5
,,"Feb 15, 2026",$110.00,$0.00,,,Auction,,1
,,"Jan 16, 2026",$140.00,$8.00,,,Fixed price,,1
