Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2024 P125 Perth Mint Lunar Year of the Dragon (Series III) 1/2 oz Gold Coin - BU,287292270150,"May 4, 2026","$2,425.00",$0.00,,,Auction,https://www.ebay.com/itm/287292270150,1
"2024 Australian Year of the Dragon Coin UNC 1/2 oz Ruthenium & Gold, 1 of 1000",178011672403,"Apr 5, 2026",$100.00,$18.48,,,Auction,https://www.ebay.com/itm/178011672403,1
NEW! 1/2 Ounce .999 Gold UNC 2024 Australian Lunar Dragon Coin in Mint Capsule,236673998388,"Mar 20, 2026","$2,695.00",$0.00,,,Fixed price,https://www.ebay.com/itm/236673998388,1
"2024 Australia Year of the Dragon Ruthenium & Gold 1 of 1,000 ICG Brilliant Unc",157738522184,"Mar 16, 2026",$123.50,$5.77,,,Auction,https://www.ebay.com/itm/157738522184,1
2024 ICG Brilliant Uncirculated Dragon Coin Ruthenium & Gold Edition 50¢ BU,157418354319,"Mar 16, 2026",$88.66,$5.27,,,Fixed price,https://www.ebay.com/itm/157418354319,1
2024 Australia 1/2 Oz Gold Lunar Year of the Dragon - .9999 BU - In Capsule,206128441966,"Mar 16, 2026","$2,550.00",$11.16,,,Auction,https://www.ebay.com/itm/206128441966,1
"2024 Year Of The Dragon Australia Silver Half Dollar, Black/Gold Ruthenium! S137",277763132625,"Mar 7, 2026",$75.30,$5.70,,,Auction,https://www.ebay.com/itm/277763132625,1
2024 Gold & Ruthenium Gilded Silver Perth Year of Dragon Australia 1/2 oz Coin,267574889318,"Mar 4, 2026",$105.00,$6.09,,,Fixed price,https://www.ebay.com/itm/267574889318,1
2024 Perth Mint Lunar Dragon 1/2 oz Silver Gold & Ruthenium Gilded ICG,306771533717,"Mar 1, 2026",$92.50,$5.42,,,Fixed price,https://www.ebay.com/itm/306771533717,2
"🌟BEST GIFT🌟2024 Australian Year of Dragon Coin 1/2oz Ruthenium & Gold,1of 1000",236596795572,"Mar 1, 2026",$90.00,$5.30,,,Fixed price,https://www.ebay.com/itm/236596795572,1
"2 2024 Year Of The Dragon Australia Silver Half Dollars, Black/Gold Ruthenium!!!",277745059630,"Feb 28, 2026",$144.99,$5.70,,,Auction,https://www.ebay.com/itm/277745059630,1
"2024 Australian Year of the Dragon Coin 1/2 oz Ruthenium & Gold, 1 of 1000",205902659200,"Feb 28, 2026",$99.49,$3.00,,,Fixed price,https://www.ebay.com/itm/205902659200,2
2024 Australia Perth Mint Lunar Dragon (Series III) 1/2 oz Gold Coin,126921608879,"Feb 27, 2026","$2,994.20",$0.00,,,Fixed price,https://www.ebay.com/itm/126921608879,2
"2024 Australian Year of the Dragon Coin UNC 1/2 oz Ruthenium & Gold, 1 of 1000",389639092042,"Feb 22, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/389639092042,1
2024 Gold & Ruthenium Gilded Silver Perth Year of Dragon Australia 1/2 oz Coin,267577407387,"Feb 22, 2026",$100.00,$5.52,,,Auction,https://www.ebay.com/itm/267577407387,1
"2024 Australia Year of the Dragon Ruthenium & Gold 1 of 1,000 ICG Brilliant Unc",157680513329,"Feb 20, 2026",$92.00,$21.18,,,Auction,https://www.ebay.com/itm/157680513329,1
"2024 Australian Year of the Dragon Coin UNC 1/2 oz Ruthenium & Gold, 1 of 1000",177869142167,"Feb 17, 2026",$100.00,$5.77,,,Auction,https://www.ebay.com/itm/177869142167,1
"2024 Australian Year of the Dragon Coin UNC 1/2 oz Ruthenium & Gold, 1 of 1000",397620608911,"Feb 17, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397620608911,1
Gold Lunar DRAGON S925 Sterling Silver Bezel 1/2 Ounce Silver Coin Keychain,167199056527,"Feb 14, 2026",$125.00,$5.52,,,Fixed price,https://www.ebay.com/itm/167199056527,1
2024 “Year Of The Dragon” - “Ruthenium & Gold” 1/2 OZ,406695364974,"Feb 14, 2026",$115.00,$5.52,,,Fixed price,https://www.ebay.com/itm/406695364974,1
,,"Feb 2, 2026",$73.00,$5.77,,,Fixed price,,1
,,"Feb 2, 2026",$75.00,$6.00,,,Fixed price,,1
,,"Feb 1, 2026",$100.00,$5.62,,,Auction,,1
,,"Jan 28, 2026",$225.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$58.50,$0.00,,,Fixed price,,1
,,"Jan 26, 2026",$74.99,$5.45,,,Fixed price,,1
,,"Jan 21, 2026",$48.00,$8.10,,,Fixed price,,1
,,"Jan 19, 2026","$1,200.00",$17.95,,,Fixed price,,1
,,"Jan 15, 2026",$275.00,$0.00,,,Fixed price,,1
,,"Jan 15, 2026","$2,418.43",$0.00,,,Fixed price,,2
,,"Jan 1, 2026",$60.00,$0.00,,,Fixed price,,1
,,"Dec 25, 2025","$9,400.00",$5.20,,,Fixed price,,1
,,"Dec 10, 2025",$60.00,$5.15,,,Fixed price,,1
,,"Dec 5, 2025",$64.99,$0.00,,,Fixed price,,1
