Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2025 Lunar III Snake 1 oz Gold NGC MS-69,152334742624,1/31/2026,"$5,593.77",Free,Certified,apmex,Auction,https://www.ebay.com/itm/152334742624
2025 Australia Lunar III Snake 1 oz Gold BU,150395139023,1/26/2026,"$5,421.12",Free,Uncirculated,keydate_coins,Best Offer,https://www.ebay.com/itm/150395139023
2025 Lunar III Snake 1 oz Gold PCGS MS-69,125757601709,2/18/2026,"$5,341.03",Free,Certified,silvertowne,Buy It Now,https://www.ebay.com/itm/125757601709
2025 Lunar III Snake 1 oz Gold NGC MS-69,233454276222,12/12/2025,"$5,525.23",Free,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/233454276222
2025 Lunar III Snake 1 oz Gold PCGS MS-69,182359550956,1/6/2026,"$5,321.11",Free,Certified,pinehurst_coins,Best Offer,https://www.ebay.com/itm/182359550956
2025 Lunar III Snake 1 oz Gold NGC MS-69,335607739088,11/23/2025,"$5,373.03",Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/335607739088
2025 Australia Lunar III Snake 1 oz Gold BU,246158929651,2/11/2026,"$5,292.15",Free,Uncirculated,goldhillcoins,Auction,https://www.ebay.com/itm/246158929651
2025 Australia Lunar III Snake 1 oz Gold BU,260433065090,1/4/2026,"$5,257.83",Free,Uncirculated,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/260433065090
2025 Lunar III Snake 1 oz Gold NGC MS-69,333540678406,12/20/2025,"$5,312.37",$3.99,Certified,jmbullion,Buy It Now,https://www.ebay.com/itm/333540678406
2025 Australia Lunar III Snake 1 oz Gold BU,361666910271,1/29/2026,"$5,318.98",Free,Uncirculated,moderncoinmart,Auction,https://www.ebay.com/itm/361666910271
2025 Lunar III Snake 1 oz Gold NGC MS-69,344528431566,1/13/2026,"$5,330.03",$3.99,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/344528431566
2025 Lunar III Snake 1 oz Gold PCGS MS-69,148041744138,11/23/2025,"$5,532.18",Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/148041744138
2025 Australia Lunar III Snake 1 oz Gold BU,388445994258,2/7/2026,"$5,301.41",Free,Uncirculated,mcm_online,Best Offer,https://www.ebay.com/itm/388445994258
2025 Australia Lunar III Snake 1 oz Gold BU,343290893600,12/19/2025,"$5,459.72",Free,Uncirculated,sdbullion,Auction,https://www.ebay.com/itm/343290893600
2025 Australia Lunar III Snake 1 oz Gold BU,189396713750,1/18/2026,"$5,235.91",$3.99,Uncirculated,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/189396713750
2025 Lunar III Snake 1 oz Gold PCGS MS-69,383924746256,1/3/2026,"$5,542.00",Free,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/383924746256
2025 Australia Lunar III Snake 1 oz Gold BU,125463188347,12/24/2025,"$5,456.98",Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/125463188347
2025 Australia Lunar III Snake 1 oz Gold BU,219006366973,2/19/2026,"$5,386.36",Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/219006366973
