Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2025 Year of the Snake 1/2 oz .9999 Silver Lunar Coin Perth Australia Ltd Mint🐍,116569654259,"Jan 28, 2026",$52.51,$0.00,,,Fixed price,https://www.ebay.com/itm/116569654259,18
2025 50c Australian Silver Lunar Year Of The Snake 1/2 oz Brilliant Uncirculated,177419749440,"Feb 15, 2026",$54.91,$0.00,,,Fixed price,https://www.ebay.com/itm/177419749440,25
2025 COLORED Lunar Year of the SNAKE 1/2oz Silver Half $ Coin In Capsule 50c,326521472624,"Feb 5, 2026",$48.26,$0.00,,,Fixed price,https://www.ebay.com/itm/326521472624,13
2025 Year of the SNAKE BABY 1/2oz .9999 Silver Proof Half Dollar Coin Lunar,326344018091,"Feb 7, 2026",$82.10,$0.00,,,Fixed price,https://www.ebay.com/itm/326344018091,10
"2025 Australia 1/2 oz Silver Lunar Snake BU (Colorized, SIII)",146478629586,"Apr 5, 2026",$62.61,$0.00,,,Fixed price,https://www.ebay.com/itm/146478629586,7
2025 Australia Colored Silver Lunar Year of the SNAKE NGC MS 70 1/2 oz Coin,256928567582,"Apr 11, 2026",$99.46,$0.00,,,Fixed price,https://www.ebay.com/itm/256928567582,11
2025 Australia 1/2 oz Silver Lunar Snake Colorized 'Fu' (in Card),116429018895,"Jan 18, 2026",$44.06,$0.00,,,Fixed price,https://www.ebay.com/itm/116429018895,7
2025 Proof Lunar Year of the Snake Perth Australia 1/2 oz Silver Coin Ltd Mint🐍,116569639640,"Apr 11, 2026",$69.79,$0.00,,,Fixed price,https://www.ebay.com/itm/116569639640,8
2025 Tuvalu 1/2 oz Silver Lunar Baby Snake Proof (Colorized),126809901240,"Feb 27, 2026",$75.40,$0.00,,,Fixed price,https://www.ebay.com/itm/126809901240,6
2025 Australia 1/2 oz Silver Lunar Snake BU (Series III),256815918156,"Jan 19, 2026",$44.96,$0.00,,,Fixed price,https://www.ebay.com/itm/256815918156,8
Lot of 10 - 2025 50c Australian Silver Lunar Year Of The Snake 1/2 oz BU,317241671383,"Feb 6, 2026",$526.84,$0.00,,,Fixed price,https://www.ebay.com/itm/317241671383,9
"2025 Australia 1/2 oz Silver Lunar Snake BU (Colorized, SIII)",187673358064,"Jan 31, 2026",$60.59,$9.53,,,Fixed price,https://www.ebay.com/itm/187673358064,5
2025 Australia .9999 Silver Lunar Year of the Snake NGC MS70 1/2oz 50c Coin FR,267018760664,"Jan 26, 2026",$92.47,$0.00,,,Fixed price,https://www.ebay.com/itm/267018760664,7
2025 P Australia Silver Lunar Series III Year of the Snake 1/2 oz 50C - BU,305796652395,"Apr 7, 2026",$39.74,$0.00,,,Fixed price,https://www.ebay.com/itm/305796652395,5
2025 P Australia Silver Lunar Year of the Snake 1/2 oz 50C - 1 Roll 20 BU Coins,375663598266,"Nov 21, 2025",$553.08,$0.00,,,Fixed price,https://www.ebay.com/itm/375663598266,6
