Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2010 Australia Lunar Year of the Tiger 1 oz .9999 Silver Coin w/ Perth Capsule,198304684209,"Apr 24, 2026",$97.14,$6.90,,,Fixed price,https://www.ebay.com/itm/198304684209,7
2010 ** Australia Lunar 50 cents ** Year of the Tiger ** 1/2 Oz Colorized **,117081794684,"Apr 6, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117081794684,2
,,"Nov 27, 2025",$67.50,$5.23,,,Fixed price,,2
,,"Jan 8, 2026",$111.25,$0.00,,,Fixed price,,4
2010 Australia -The Year of the Tiger 1 Oz Silver Coin in Original Capsule,257318297922,"Feb 3, 2026",$104.50,$6.95,,,Fixed price,https://www.ebay.com/itm/257318297922,2
,,"Dec 24, 2025",$87.18,$0.00,,,Fixed price,,2
[Removed] Item 397295827515,397295827515,"Jan 19, 2026",$163.43,$10.00,,,Fixed price,,2
,,"Nov 6, 2025",$60.00,$0.00,,,Fixed price,,1
,,"Nov 6, 2025",$65.00,$4.00,,,Fixed price,,1
,,"Jan 26, 2026",$110.00,$5.52,,,Fixed price,,1
,,"Jan 2, 2026",$149.00,$8.89,,,Auction,,1
,,"Dec 19, 2025",$79.99,$4.99,,,Fixed price,,1
2010 Australia Year of the Tiger 1/2oz Silver Coin,146956786091,"Jan 19, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146956786091,1
2007/2010 Australia Lunar I Year of the Tiger 1 Oz Gilded Gilt Silver Coin,153171973088,"Feb 15, 2026",$299.99,$24.99,,,Fixed price,https://www.ebay.com/itm/153171973088,1
2007/2010 Australia 1 Oz Lunar I Year of the Tiger $1 Silver Coin BU Perth Mint,154522452129,"Dec 10, 2025",$169.40,$29.99,,,Fixed price,https://www.ebay.com/itm/154522452129,1
2010 Australia Lunar II $1 Year of the Tiger 1 Oz Silver Color Coin Golden Ring,155286210590,"Jan 9, 2026",$249.99,$29.99,,,Fixed price,https://www.ebay.com/itm/155286210590,1
,,"Dec 6, 2025",$74.00,$4.52,,,Fixed price,,1
,,"Dec 30, 2025",$85.00,$4.65,,,Fixed price,,1
2007- 2010 Series Perth Mint Australia $1 Lunar Year of Tiger Silver 1 oz Coin,157749485623,"Mar 20, 2026",$129.00,$8.99,,,Auction,https://www.ebay.com/itm/157749485623,1
,,"Nov 23, 2025",$34.13,$3.95,,,Auction,,1
Scarce 2007 2010 dual date Australian Lunar Tiger series I .999 silver [Y6],168139931672,"Feb 11, 2026",$150.00,$4.88,,,Fixed price,https://www.ebay.com/itm/168139931672,1
2010/2007 Australia 1oz Silver Lunar Year of the Tiger - Coin & Capsule Only,168206028513,"Mar 11, 2026",$137.50,$5.56,,,Auction,https://www.ebay.com/itm/168206028513,1
2007 2010 Australia Lunar I Year of the Tiger 1 Oz Gilded Silver Coin $1,168302104531,"Apr 11, 2026",$380.03,$29.99,,,Fixed price,https://www.ebay.com/itm/168302104531,1
,,"Nov 3, 2025",$55.00,$3.99,,,Fixed price,,1
,,"Dec 28, 2025",$85.99,$6.95,,,Fixed price,,1
,,"Jan 4, 2026",$109.99,$6.99,,,Auction,,1
,,"Jan 20, 2026",$51.00,$5.52,,,Auction,,1
2010 Australia 1 oz Silver Year of the Tiger BU Series I,177807701233,"Feb 4, 2026",$162.50,$10.65,,,Auction,https://www.ebay.com/itm/177807701233,1
,,"Dec 9, 2025",$140.00,$9.50,,,Fixed price,,1
,,"Nov 24, 2025",$68.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$49.95,$4.60,,,Fixed price,,1
,,"Nov 1, 2025",$325.00,$0.00,,,Fixed price,,1
Australia 50 cents Year of the Tiger 1/2 Oz Lunar Series II coin 2010 year,188208833098,"Apr 1, 2026",$75.00,$5.52,,,Auction,https://www.ebay.com/itm/188208833098,1
,,"Jan 26, 2026",$112.49,$0.00,,,Auction,,1
SMALL LOT OF (2) 2007/2010 AUSTRALIAN LUNAR YEAR OF THE TIGER 1 oz. SILVER COINS,198174781250,"Mar 14, 2026",$270.00,$8.30,,,Auction,https://www.ebay.com/itm/198174781250,1
2010 $1 Year of the Tiger Australia Silver Coin NGC MS69 1oz .999,198191225772,"Mar 17, 2026",$105.00,$5.77,,,Fixed price,https://www.ebay.com/itm/198191225772,1
,,"Dec 24, 2025",$90.00,$10.00,,,Fixed price,,2
,,"Nov 2, 2025",$114.08,$5.00,,,Auction,,1
,,"Nov 20, 2025",$107.50,$0.00,,,Auction,,1
2010 Australian Tiger 1 oz .999 Fine SIlver Coin Lunar Series II Perth Mint,206073224160,"Mar 5, 2026",$120.00,$5.45,,,Fixed price,https://www.ebay.com/itm/206073224160,1
2007/2010 AUSTRALIAN LUNAR YEAR OF THE TIGER 1 oz. SILVER COIN *BU* ~ Series 1,206093369334,"Feb 28, 2026",$128.50,$7.95,,,Auction,https://www.ebay.com/itm/206093369334,1
SMALL LOT OF (2) 2007/2010 AUSTRALIAN LUNAR YEAR OF THE TIGER 1 oz. SILVER COIN,206106107391,"Mar 5, 2026",$277.00,$7.95,,,Auction,https://www.ebay.com/itm/206106107391,1
,,"Dec 16, 2025",$84.99,$7.50,,,Fixed price,,1
,,"Jan 7, 2026",$95.00,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$81.00,$0.00,,,Fixed price,,2
,,"Jan 11, 2026",$125.00,$8.35,,,Fixed price,,1
2010 $15 Proof Canadian Lunar Series Year of the Tiger 1 oz .999 Silver Coin,257335683838,"Feb 7, 2026",$85.00,$4.25,,,Auction,https://www.ebay.com/itm/257335683838,1
,,"Dec 13, 2025",$66.02,$4.25,,,Auction,,1
,,"Dec 28, 2025",$153.95,$3.95,,,Fixed price,,1
"2010 NGC MS69 Australia""Year of the Tiger"" Lunar Series II, 50 Cents",267562904121,"Feb 15, 2026",$94.05,$5.95,,,Fixed price,https://www.ebay.com/itm/267562904121,1
,,"Dec 27, 2025",$449.95,$5.95,,,Fixed price,,1
2010 Australian Silver Lunar Tiger 1 OZ,277670344709,"Feb 3, 2026",$89.99,$26.48,,,Fixed price,https://www.ebay.com/itm/277670344709,1
2010 Australia 1/2 oz Silver Lunar Tiger – NGC MS69 – Perth Mint,277795005149,"Mar 12, 2026",$75.00,$13.81,,,Fixed price,https://www.ebay.com/itm/277795005149,1
2007 (2010) Perth Mint Lunar Series I Year of The Tiger 1 oz Silver Coin In Cap,277900090712,"Apr 23, 2026",$129.99,$5.45,,,Auction,https://www.ebay.com/itm/277900090712,1
,,"Jan 14, 2026",$129.99,$5.20,,,Fixed price,,1
,,"Nov 10, 2025",$64.99,$4.86,,,Fixed price,,1
,,"Jan 4, 2026",$42.00,$4.99,,,Auction,,1
,,"Jan 19, 2026",$100.00,$5.00,,,Fixed price,,1
,,"Jan 14, 2026",$139.99,$5.20,,,Fixed price,,1
,,"Nov 15, 2025",$74.99,$4.00,,,Fixed price,,2
,,"Nov 22, 2025",$64.95,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$78.99,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$73.00,$7.37,,,Auction,,1
2010 (2007) $1 Australia Lunar Series 1 Year of the Tiger 1 oz Silver Coin,306652038768,"Dec 10, 2025",$105.60,$0.00,,,Fixed price,https://www.ebay.com/itm/306652038768,3
,,"Jan 13, 2026",$80.00,$0.00,,,Fixed price,,1
,,"Jan 19, 2026",$116.00,$2.75,,,Auction,,1
,,"Jan 21, 2026",$51.00,$2.75,,,Auction,,1
,,"Jan 21, 2026",$122.50,$2.75,,,Auction,,1
A 2010 Australia 1oz Silver Lunar Year of the Tiger - Coin & Capsule,306809064547,"Mar 14, 2026",$123.50,$5.00,,,Auction,https://www.ebay.com/itm/306809064547,1
,,"Dec 31, 2025",$100.00,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$170.50,$4.99,,,Auction,,1
2010 1 oz Australian Lunar Series II Year of the Tiger Gilded Edition COA.,317864451062,"Feb 11, 2026",$134.99,$0.00,,,Fixed price,https://www.ebay.com/itm/317864451062,1
2010 & 2007 1 Oz 999 Silver Australian Lunar Series Year of the Tiger Perth Mint,318005193221,"Mar 21, 2026",$150.00,$5.52,,,Auction,https://www.ebay.com/itm/318005193221,1
2007/2010 AUSTRALIAN LUNAR YEAR OF THE TIGER 1 oz. SILVER COIN *BU* ~ Series 1,318040382470,"Mar 28, 2026",$125.50,$5.49,,,Auction,https://www.ebay.com/itm/318040382470,1
,,"Nov 6, 2025",$115.95,$5.37,,,Fixed price,,1
,,"Jan 14, 2026",$115.95,$4.88,,,Fixed price,,1
,,"Jan 26, 2026",$249.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$47.00,$4.95,,,Fixed price,,1
,,"Nov 9, 2025",$95.00,$4.50,,,Auction,,1
,,"Jan 1, 2026",$98.00,$5.95,,,Fixed price,,1
,,"Jan 10, 2026",$125.00,$4.65,,,Fixed price,,1
2010 AUSTRALIA YEAR OF THE TIGER 1 OZ SILVER COIN .999 IN CAPSULE,336428086340,"Feb 16, 2026",$113.50,$5.07,,,Auction,https://www.ebay.com/itm/336428086340,1
Perth Mint Australian Lunar 2010 Gold Gilded Year of the Tiger 1 oz Silver Coin,336448085719,"Feb 23, 2026",$112.00,$5.16,,,Fixed price,https://www.ebay.com/itm/336448085719,1
2010-P Australia $1 Silver Lunar Year of The Tiger 1 oz NGC MS-70,336526379281,"Apr 9, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336526379281,1
